cityname,url
home-sweet-home,https://www.instagram.com/explore/locations/511972649177747/home-sweet-home/
ang-mo-kio,https://www.instagram.com/explore/locations/895895/ang-mo-kio/
artbox,https://www.instagram.com/explore/locations/44169691/artbox/
dog-run-bishan-park,https://www.instagram.com/explore/locations/362182838/dog-run-bishan-park/
twenty-grammes,https://www.instagram.com/explore/locations/1015958977/twenty-grammes/
amk-hub,https://www.instagram.com/explore/locations/101524302370663/amk-hub/
amk-hub,https://www.instagram.com/explore/locations/525261/amk-hub/
cathay-cineplexes,https://www.instagram.com/explore/locations/2366066880123841/cathay-cineplexes/
hai-di-lao-plaza-singapura,https://www.instagram.com/explore/locations/217641055493337/hai-di-lao-plaza-singapura/
ampm-cafe,https://www.instagram.com/explore/locations/111477030723302/ampm-cafe/
arab-streetsingapore,https://www.instagram.com/explore/locations/279573538/arab-streetsingapore/
s-11-amk-711-food-gathering,https://www.instagram.com/explore/locations/8267395/s-11-amk-711-food-gathering/
fish-chicks,https://www.instagram.com/explore/locations/1021268356/fish-chicks/
im-kim-korean-bbq-shabu-shabu,https://www.instagram.com/explore/locations/100485771807874/im-kim-korean-bbq-shabu-shabu/
marina-bayfront,https://www.instagram.com/explore/locations/229159842/marina-bayfront/
yakiniku-like-singapore,https://www.instagram.com/explore/locations/105371455388865/yakiniku-like-singapore/
phuket-town-mookata-ang-mo-kio,https://www.instagram.com/explore/locations/104637951059822/phuket-town-mookata-ang-mo-kio/
kiki,https://www.instagram.com/explore/locations/635392563757511/kiki/
fish-and-co-at-amk,https://www.instagram.com/explore/locations/100516/fish-and-co-at-amk/
banh-mi-saigon,https://www.instagram.com/explore/locations/270991086670146/banh-mi-saigon/
bishan-ang-mo-kio-park,https://www.instagram.com/explore/locations/1027767969/bishan-ang-mo-kio-park/
loklok-1991s-by-daniel-meng,https://www.instagram.com/explore/locations/111506073684255/loklok-1991s-by-daniel-meng/
eighteen-chefs,https://www.instagram.com/explore/locations/185814271826426/eighteen-chefs/
anderson-secondary-school,https://www.instagram.com/explore/locations/239239220/anderson-secondary-school/
cheng-san-market-food-centre-blk527,https://www.instagram.com/explore/locations/239842777/cheng-san-market-food-centre-blk527/
eighteen-chefs-at-amk-hub,https://www.instagram.com/explore/locations/245657019/eighteen-chefs-at-amk-hub/
ang-mo-kio-new-town,https://www.instagram.com/explore/locations/216875218/ang-mo-kio-new-town/
malaysia-boleh-sg,https://www.instagram.com/explore/locations/186516795617236/malaysia-boleh-sg/
seattle-usa,https://www.instagram.com/explore/locations/248876411809134/seattle-usa/
ang-mo-kio-hub,https://www.instagram.com/explore/locations/11452975/ang-mo-kio-hub/
sushi-go,https://www.instagram.com/explore/locations/105490478939025/sushi-go/
the-pine-garden,https://www.instagram.com/explore/locations/557821843/the-pine-garden/
ichiban-sushi,https://www.instagram.com/explore/locations/441543769963170/ichiban-sushi/
aw-amk-hub,https://www.instagram.com/explore/locations/334306804139249/aw-amk-hub/
pepper-lunch-singapore,https://www.instagram.com/explore/locations/108280330882373/pepper-lunch-singapore/
deyi-secondary-school,https://www.instagram.com/explore/locations/499837176/deyi-secondary-school/
jubilee-square,https://www.instagram.com/explore/locations/241271463/jubilee-square/
im-kim-korean-bbq-shabu-shabu,https://www.instagram.com/explore/locations/1888958111184655/im-kim-korean-bbq-shabu-shabu/
collins-grille,https://www.instagram.com/explore/locations/214118932633506/collins-grille/
ichiban-sushi-ang-mo-kio,https://www.instagram.com/explore/locations/242160744/ichiban-sushi-ang-mo-kio/
cheng-san-community-club,https://www.instagram.com/explore/locations/253652063/cheng-san-community-club/
park-central-amk,https://www.instagram.com/explore/locations/518605606/park-central-amk/
sweet-cheeks-gelato,https://www.instagram.com/explore/locations/547575849509746/sweet-cheeks-gelato/
cathay-cineplex-amk-hub,https://www.instagram.com/explore/locations/244358566/cathay-cineplex-amk-hub/
fitness-first-singapore,https://www.instagram.com/explore/locations/112952780174626/fitness-first-singapore/
centro-residences-at-ang-mo-kio,https://www.instagram.com/explore/locations/252692153/centro-residences-at-ang-mo-kio/
ang-mo-kio-avenue-10-singapore,https://www.instagram.com/explore/locations/560918551/ang-mo-kio-avenue-10-singapore/
im-tired,https://www.instagram.com/explore/locations/320700748/im-tired/
guitar-emerge,https://www.instagram.com/explore/locations/126529030747818/guitar-emerge/
ajisen-ramen,https://www.instagram.com/explore/locations/1746585725591689/ajisen-ramen/
fitness-first-ang-mo-kio-hub,https://www.instagram.com/explore/locations/235349518/fitness-first-ang-mo-kio-hub/
nakhon-kitchen,https://www.instagram.com/explore/locations/279049914/nakhon-kitchen/
canopy-bishan-park,https://www.instagram.com/explore/locations/718737256/canopy-bishan-park/
ang-mo-kio-swimming-complex,https://www.instagram.com/explore/locations/236745929/ang-mo-kio-swimming-complex/
magic-kitchen-ang-mo-kio,https://www.instagram.com/explore/locations/1042755122458102/magic-kitchen-ang-mo-kio/
fish-co-ang-mo-kio-hub,https://www.instagram.com/explore/locations/615637/fish-co-ang-mo-kio-hub/
82bunsik,https://www.instagram.com/explore/locations/109428947576467/82bunsik/
