cityname,url
raffles-country-club-singapore,https://www.instagram.com/explore/locations/240656830/raffles-country-club-singapore/
multi-mission-range-complex,https://www.instagram.com/explore/locations/259387891/multi-mission-range-complex/
coca-cola-singapore-beverages,https://www.instagram.com/explore/locations/30859/coca-cola-singapore-beverages/
raffles-country-club,https://www.instagram.com/explore/locations/372330733218064/raffles-country-club/
raffles-country-club,https://www.instagram.com/explore/locations/146987839173866/raffles-country-club/
pasir-lebar-camp-training-ground,https://www.instagram.com/explore/locations/317803536/pasir-lebar-camp-training-ground/
fu-lin-men-grand-banquet-,https://www.instagram.com/explore/locations/770615202/fu-lin-men-grand-banquet-/
shan-shui-palace-raffles-country-club,https://www.instagram.com/explore/locations/263069726/shan-shui-palace-raffles-country-club/
raffles-country-club,https://www.instagram.com/explore/locations/226373516/raffles-country-club/
aye-tuas,https://www.instagram.com/explore/locations/134445039994849/aye-tuas/
mmrc-range,https://www.instagram.com/explore/locations/565053269/mmrc-range/
tuas-checkpoint-arrival-car-a1,https://www.instagram.com/explore/locations/279082606/tuas-checkpoint-arrival-car-a1/
hoya-medical-singapore-pte-ltd,https://www.instagram.com/explore/locations/426755382/hoya-medical-singapore-pte-ltd/
pasir-laba-ammunition-depot,https://www.instagram.com/explore/locations/1338214336312707/pasir-laba-ammunition-depot/
raffles-golf-country-club,https://www.instagram.com/explore/locations/305363716/raffles-golf-country-club/
choa-chu-kang-waterworks,https://www.instagram.com/explore/locations/117894402/choa-chu-kang-waterworks/
fu-lin-men-at-raffles-country-club,https://www.instagram.com/explore/locations/1030236332/fu-lin-men-at-raffles-country-club/
safti-300m-live-firing-range,https://www.instagram.com/explore/locations/446388825375445/safti-300m-live-firing-range/
safti-100m-range-1,https://www.instagram.com/explore/locations/52438828/safti-100m-range-1/
safti-300m-range,https://www.instagram.com/explore/locations/8805084/safti-300m-range/
pub-tengeh-pumping-station,https://www.instagram.com/explore/locations/323391802/pub-tengeh-pumping-station/
pasir-laba-camp-mmrc-range,https://www.instagram.com/explore/locations/555289431187422/pasir-laba-camp-mmrc-range/
mitsui-high-tec-singapore-pte-ltd,https://www.instagram.com/explore/locations/1018753104/mitsui-high-tec-singapore-pte-ltd/
