cityname,url
bedok-singapore,https://www.instagram.com/explore/locations/215011467/bedok-singapore/
bedok-mall,https://www.instagram.com/explore/locations/997409210378702/bedok-mall/
bedok,https://www.instagram.com/explore/locations/462142170/bedok/
haidilao-singapore,https://www.instagram.com/explore/locations/350318978713770/haidilao-singapore/
black-white-label,https://www.instagram.com/explore/locations/104250458157469/black-white-label/
-bedok-mall,https://www.instagram.com/explore/locations/1783696735261907/-bedok-mall/
chai-chee,https://www.instagram.com/explore/locations/977388359/chai-chee/
blackink,https://www.instagram.com/explore/locations/579852114/blackink/
masjid-al-ansar,https://www.instagram.com/explore/locations/235980689/masjid-al-ansar/
golden-village-bedok,https://www.instagram.com/explore/locations/242680523173103/golden-village-bedok/
xiao-long-kan-hotpot,https://www.instagram.com/explore/locations/119773296086499/xiao-long-kan-hotpot/
chai-chee-street,https://www.instagram.com/explore/locations/1735745/chai-chee-street/
pornhubb,https://www.instagram.com/explore/locations/515910947/pornhubb/
masjid-al-ansar,https://www.instagram.com/explore/locations/135742376456240/masjid-al-ansar/
swensens-at-bedok-mall,https://www.instagram.com/explore/locations/222591920/swensens-at-bedok-mall/
anytime-fitness-bedok-central-at-djitsun-mall-bedok,https://www.instagram.com/explore/locations/324426089/anytime-fitness-bedok-central-at-djitsun-mall-bedok/
bedok-residences,https://www.instagram.com/explore/locations/911810743/bedok-residences/
bethesda-cathedral,https://www.instagram.com/explore/locations/2109537/bethesda-cathedral/
singapura,https://www.instagram.com/explore/locations/223134702314442/singapura/
bedok-bus-interchange,https://www.instagram.com/explore/locations/229556754/bedok-bus-interchange/
dian-xiao-er,https://www.instagram.com/explore/locations/240592689/dian-xiao-er/
sanook-kitchen-at-bedok-mall,https://www.instagram.com/explore/locations/556271348222672/sanook-kitchen-at-bedok-mall/
coffeesarangcafe,https://www.instagram.com/explore/locations/107326224534610/coffeesarangcafe/
itacho-sushi-bedok-mall,https://www.instagram.com/explore/locations/104952490956129/itacho-sushi-bedok-mall/
ping-yi-greens,https://www.instagram.com/explore/locations/1022069603/ping-yi-greens/
warung-singapore-express,https://www.instagram.com/explore/locations/971214963037115/warung-singapore-express/
chai-chee-rd-singapore,https://www.instagram.com/explore/locations/308690530/chai-chee-rd-singapore/
tamjai-samgor-singapore,https://www.instagram.com/explore/locations/101760518423899/tamjai-samgor-singapore/
wingstop-singapore,https://www.instagram.com/explore/locations/1844936392390111/wingstop-singapore/
royz-et-vous,https://www.instagram.com/explore/locations/336675566714302/royz-et-vous/
uglydough,https://www.instagram.com/explore/locations/111595273699409/uglydough/
slumberlandzzzz,https://www.instagram.com/explore/locations/544700691/slumberlandzzzz/
chai-chee-road,https://www.instagram.com/explore/locations/438096/chai-chee-road/
bedok-town-square,https://www.instagram.com/explore/locations/193161911228857/bedok-town-square/
garang-grill-by-new-ubin-seafood,https://www.instagram.com/explore/locations/390029194710924/garang-grill-by-new-ubin-seafood/
cash-studio-bedok,https://www.instagram.com/explore/locations/238118550/cash-studio-bedok/
swensens-bedok-mall,https://www.instagram.com/explore/locations/2240602249370181/swensens-bedok-mall/
chai-chee-road,https://www.instagram.com/explore/locations/390943196/chai-chee-road/
no-need-to-know,https://www.instagram.com/explore/locations/568529778/no-need-to-know/
everywhereanywhere,https://www.instagram.com/explore/locations/804846772/everywhereanywhere/
eighteen-chefs,https://www.instagram.com/explore/locations/442517503206145/eighteen-chefs/
mcdonalds-bedok-interchange,https://www.instagram.com/explore/locations/234821605/mcdonalds-bedok-interchange/
minal-shopping-street,https://www.instagram.com/explore/locations/102558748952606/minal-shopping-street/
al-ansar-mosque,https://www.instagram.com/explore/locations/441148/al-ansar-mosque/
cash-studio-family-karaoke-box,https://www.instagram.com/explore/locations/802946/cash-studio-family-karaoke-box/
chai-chee-street-intans-kitchen,https://www.instagram.com/explore/locations/545638842/chai-chee-street-intans-kitchen/
bedok-mall-haidilao,https://www.instagram.com/explore/locations/456267984767073/bedok-mall-haidilao/
eighteen-chefs-bedok-mall,https://www.instagram.com/explore/locations/947215534/eighteen-chefs-bedok-mall/
le-petit-paris-sg,https://www.instagram.com/explore/locations/116894944760162/le-petit-paris-sg/
kampong-chai-chee-ktv,https://www.instagram.com/explore/locations/16636694/kampong-chai-chee-ktv/
