cityname,url
masjid-al-taqua,https://www.instagram.com/explore/locations/25188511/masjid-al-taqua/
bedok-reservoir-singapore,https://www.instagram.com/explore/locations/1025198129/bedok-reservoir-singapore/
singapura-dan-malaysia,https://www.instagram.com/explore/locations/917080895/singapura-dan-malaysia/
bedok-methodist-church,https://www.instagram.com/explore/locations/3177526/bedok-methodist-church/
al-taqua-mosque,https://www.instagram.com/explore/locations/1211382/al-taqua-mosque/
jln-bilal,https://www.instagram.com/explore/locations/1652790154980247/jln-bilal/
eastwood-drive,https://www.instagram.com/explore/locations/787729/eastwood-drive/
bedok-gardens,https://www.instagram.com/explore/locations/6261056/bedok-gardens/
taman-bedok,https://www.instagram.com/explore/locations/1766726/taman-bedok/
seandainya-waktu-bisa-diputar-kembali,https://www.instagram.com/explore/locations/197238967142204/seandainya-waktu-bisa-diputar-kembali/
wfh,https://www.instagram.com/explore/locations/105477881134072/wfh/
kebahagiaanmu-adala-prioritas-utama-bagiku,https://www.instagram.com/explore/locations/1015521396/kebahagiaanmu-adala-prioritas-utama-bagiku/
berhenti-berharap,https://www.instagram.com/explore/locations/577104767/berhenti-berharap/
newater-singapore,https://www.instagram.com/explore/locations/504226153/newater-singapore/
world-wildlife-day,https://www.instagram.com/explore/locations/100539188325520/world-wildlife-day/
high-flyer,https://www.instagram.com/explore/locations/108939410851150/high-flyer/
the-black-white-room,https://www.instagram.com/explore/locations/451908719/the-black-white-room/
al-taqua-mosque,https://www.instagram.com/explore/locations/841541522902733/al-taqua-mosque/
limau-grove,https://www.instagram.com/explore/locations/31742402/limau-grove/
haji-salam-singapore,https://www.instagram.com/explore/locations/167339000475679/haji-salam-singapore/
womens-sports,https://www.instagram.com/explore/locations/101974381505373/womens-sports/
casa-flora,https://www.instagram.com/explore/locations/264975251/casa-flora/
sunswim,https://www.instagram.com/explore/locations/101492854911796/sunswim/
salam-walk,https://www.instagram.com/explore/locations/6981648/salam-walk/
tanah-merah-limau-garden,https://www.instagram.com/explore/locations/481092668/tanah-merah-limau-garden/
try-this,https://www.instagram.com/explore/locations/103315061473872/try-this/
jalan-bilal,https://www.instagram.com/explore/locations/70028825/jalan-bilal/
panash,https://www.instagram.com/explore/locations/331923290988705/panash/
bedok-methodist-church-kindergarten,https://www.instagram.com/explore/locations/6209345/bedok-methodist-church-kindergarten/
bedok-ville-singapore,https://www.instagram.com/explore/locations/459924618/bedok-ville-singapore/
the-esplanade-at-marina-bay-sands-singapore,https://www.instagram.com/explore/locations/1007554903/the-esplanade-at-marina-bay-sands-singapore/
bilal-lane,https://www.instagram.com/explore/locations/50765918/bilal-lane/
in-a-classroom,https://www.instagram.com/explore/locations/247380215314966/in-a-classroom/
jalan-greja,https://www.instagram.com/explore/locations/10441295/jalan-greja/
