cityname,url
ite-college-west,https://www.instagram.com/explore/locations/19973/ite-college-west/
ite-college-west,https://www.instagram.com/explore/locations/150853021690127/ite-college-west/
teck-whye-estate,https://www.instagram.com/explore/locations/1016065681/teck-whye-estate/
phillipines,https://www.instagram.com/explore/locations/788821049/phillipines/
singapura,https://www.instagram.com/explore/locations/118059847160744/singapura/
stadium-nasional-bukit-jalilkuala-lumpur-malaysia,https://www.instagram.com/explore/locations/333260671/stadium-nasional-bukit-jalilkuala-lumpur-malaysia/
hongkong-disneyland,https://www.instagram.com/explore/locations/284075211/hongkong-disneyland/
purple-world3,https://www.instagram.com/explore/locations/362193462/purple-world3/
pioneer-junior-college,https://www.instagram.com/explore/locations/907619838/pioneer-junior-college/
jalan-teck-whye,https://www.instagram.com/explore/locations/4680178/jalan-teck-whye/
blk-151-jalan-teck-whye,https://www.instagram.com/explore/locations/2549670/blk-151-jalan-teck-whye/
teck-whye-secondary-school,https://www.instagram.com/explore/locations/833677/teck-whye-secondary-school/
hillsta,https://www.instagram.com/explore/locations/256656090/hillsta/
teck-whye-lane,https://www.instagram.com/explore/locations/982341/teck-whye-lane/
zdj-clothing-general-merchandise,https://www.instagram.com/explore/locations/691589114513793/zdj-clothing-general-merchandise/
pioneer-junior-college,https://www.instagram.com/explore/locations/1220514/pioneer-junior-college/
teck-whye-lrt-station,https://www.instagram.com/explore/locations/216307441/teck-whye-lrt-station/
bukit-batok-4th-hq-division,https://www.instagram.com/explore/locations/250206687/bukit-batok-4th-hq-division/
blk-143-teck-whye-coffee-shop,https://www.instagram.com/explore/locations/227392835/blk-143-teck-whye-coffee-shop/
rasa-rasa-160a-jalan-teck-whye,https://www.instagram.com/explore/locations/279191634/rasa-rasa-160a-jalan-teck-whye/
teck-whye-avenue,https://www.instagram.com/explore/locations/237810092/teck-whye-avenue/
teck-whye-crescent,https://www.instagram.com/explore/locations/4714200/teck-whye-crescent/
sinaran-seafood-catering-service,https://www.instagram.com/explore/locations/236163431/sinaran-seafood-catering-service/
malaysia-twin-tower,https://www.instagram.com/explore/locations/282386181790206/malaysia-twin-tower/
rockport-city,https://www.instagram.com/explore/locations/1027088711/rockport-city/
mcdonalds-chua-chu-kang-cc,https://www.instagram.com/explore/locations/234861108/mcdonalds-chua-chu-kang-cc/
teck-whye-lane-singapore,https://www.instagram.com/explore/locations/237977154/teck-whye-lane-singapore/
