cityname,url
universal-studios-singapore,https://www.instagram.com/explore/locations/104388297780480/universal-studios-singapore/
bukit-panjang-plaza,https://www.instagram.com/explore/locations/423276698030053/bukit-panjang-plaza/
pang-sua-pond,https://www.instagram.com/explore/locations/2208363042721296/pang-sua-pond/
segar-gardens,https://www.instagram.com/explore/locations/3349589/segar-gardens/
ajummas-korean-restaurant,https://www.instagram.com/explore/locations/1030155906/ajummas-korean-restaurant/
al-iman-mosque,https://www.instagram.com/explore/locations/687015/al-iman-mosque/
blossom-residences,https://www.instagram.com/explore/locations/251268235/blossom-residences/
zhenghua-park,https://www.instagram.com/explore/locations/807640/zhenghua-park/
fajar-hills,https://www.instagram.com/explore/locations/1652785091462334/fajar-hills/
fajar-hills,https://www.instagram.com/explore/locations/416259777/fajar-hills/
winx-club,https://www.instagram.com/explore/locations/796024289/winx-club/
senja-cashew-community-centre,https://www.instagram.com/explore/locations/103108274677978/senja-cashew-community-centre/
bukit-panjang-plaza-shopping-centre,https://www.instagram.com/explore/locations/214224925/bukit-panjang-plaza-shopping-centre/
hari2-hari-raya,https://www.instagram.com/explore/locations/349313934/hari2-hari-raya/
malaysia-jb,https://www.instagram.com/explore/locations/275691928/malaysia-jb/
andes-by-astons,https://www.instagram.com/explore/locations/487283158346394/andes-by-astons/
phucket-thailand,https://www.instagram.com/explore/locations/473653248/phucket-thailand/
senja-cashew-community-club,https://www.instagram.com/explore/locations/559023/senja-cashew-community-club/
fajar-spring,https://www.instagram.com/explore/locations/550500834/fajar-spring/
the-gym-nation,https://www.instagram.com/explore/locations/39400593/the-gym-nation/
jelapang-road,https://www.instagram.com/explore/locations/1545817/jelapang-road/
fajar-road,https://www.instagram.com/explore/locations/3351866/fajar-road/
segar-vale,https://www.instagram.com/explore/locations/82038944/segar-vale/
seletar-aerospace,https://www.instagram.com/explore/locations/365702896837464/seletar-aerospace/
segar-meadows,https://www.instagram.com/explore/locations/4085878/segar-meadows/
segar-grove,https://www.instagram.com/explore/locations/19171235/segar-grove/
greenridge-secondary-school,https://www.instagram.com/explore/locations/506422464/greenridge-secondary-school/
masjid-al-iman,https://www.instagram.com/explore/locations/144288675582856/masjid-al-iman/
senja-cashew-swimming-complex,https://www.instagram.com/explore/locations/239310939/senja-cashew-swimming-complex/
greenridge-shopping-centre,https://www.instagram.com/explore/locations/2186915/greenridge-shopping-centre/
mcdonalds-bukit-panjang-plaza,https://www.instagram.com/explore/locations/16627742/mcdonalds-bukit-panjang-plaza/
bukit-panjang-hawker-centre-market,https://www.instagram.com/explore/locations/1023637458/bukit-panjang-hawker-centre-market/
bukit-panjang-ring-rd,https://www.instagram.com/explore/locations/6516063/bukit-panjang-ring-rd/
