cityname,url
bukit-timah-singapore,https://www.instagram.com/explore/locations/227511061/bukit-timah-singapore/
little-diner,https://www.instagram.com/explore/locations/26584579/little-diner/
meat-nchill-steak-nribs-restaurant,https://www.instagram.com/explore/locations/632236697/meat-nchill-steak-nribs-restaurant/
brazil-churrasco,https://www.instagram.com/explore/locations/214224692/brazil-churrasco/
sixth-avenue-singapore,https://www.instagram.com/explore/locations/213020757/sixth-avenue-singapore/
caruso-italian-restaurant,https://www.instagram.com/explore/locations/258768850/caruso-italian-restaurant/
sixth-avenue,https://www.instagram.com/explore/locations/1022396973/sixth-avenue/
alphafit,https://www.instagram.com/explore/locations/248989875/alphafit/
sixth-avenue-mrt-station,https://www.instagram.com/explore/locations/261644816/sixth-avenue-mrt-station/
specialised-aquatics-solutions,https://www.instagram.com/explore/locations/748929348639601/specialised-aquatics-solutions/
pasta-fresca-da-salvatore,https://www.instagram.com/explore/locations/1973644596276337/pasta-fresca-da-salvatore/
9round-bukit-timah,https://www.instagram.com/explore/locations/100155381374753/9round-bukit-timah/
the-tea-party-cafe,https://www.instagram.com/explore/locations/1040773/the-tea-party-cafe/
lazy-lizard-sixth-avenue,https://www.instagram.com/explore/locations/248254516/lazy-lizard-sixth-avenue/
6th-avenue-wanton-mee,https://www.instagram.com/explore/locations/200945893730457/6th-avenue-wanton-mee/
the-living-cafe,https://www.instagram.com/explore/locations/110394791622830/the-living-cafe/
pantai-sipelot-pujiharjo-malang-selatan,https://www.instagram.com/explore/locations/259392331/pantai-sipelot-pujiharjo-malang-selatan/
the-tea-party-at-biopolis,https://www.instagram.com/explore/locations/96022251122/the-tea-party-at-biopolis/
6th-avenue,https://www.instagram.com/explore/locations/5721761/6th-avenue/
balanced-living-singapore,https://www.instagram.com/explore/locations/248329192/balanced-living-singapore/
guthrie-house-fifth-avenue,https://www.instagram.com/explore/locations/763336211/guthrie-house-fifth-avenue/
little-lazy-lizard,https://www.instagram.com/explore/locations/112118983465034/little-lazy-lizard/
good-good-eating-house-6th-avenue,https://www.instagram.com/explore/locations/292726866/good-good-eating-house-6th-avenue/
the-coffee-bean-tea-leaf,https://www.instagram.com/explore/locations/263900255/the-coffee-bean-tea-leaf/
sa-among-panimalay,https://www.instagram.com/explore/locations/444363662/sa-among-panimalay/
simply-bread,https://www.instagram.com/explore/locations/397992324283574/simply-bread/
bukit-timah-6th-avenue,https://www.instagram.com/explore/locations/604080039/bukit-timah-6th-avenue/
ikeda-spa-bukit-timah,https://www.instagram.com/explore/locations/393154177/ikeda-spa-bukit-timah/
the-tea-party-sixth-avenue-centre,https://www.instagram.com/explore/locations/216873274/the-tea-party-sixth-avenue-centre/
sixth-avenue,https://www.instagram.com/explore/locations/108363365009165/sixth-avenue/
6th-avenue-kopitown,https://www.instagram.com/explore/locations/1010035971/6th-avenue-kopitown/
royalville,https://www.instagram.com/explore/locations/2453557/royalville/
the-right-salon,https://www.instagram.com/explore/locations/1023245829/the-right-salon/
omar-shariff-authentic-indian-cuisine,https://www.instagram.com/explore/locations/7219114/omar-shariff-authentic-indian-cuisine/
brazil-churrasco,https://www.instagram.com/explore/locations/442858/brazil-churrasco/
china-town-singapore,https://www.instagram.com/explore/locations/368037123/china-town-singapore/
momentum-lab,https://www.instagram.com/explore/locations/358065965/momentum-lab/
gerai-medan,https://www.instagram.com/explore/locations/107748488052058/gerai-medan/
the-straits-wine-company,https://www.instagram.com/explore/locations/320377211991881/the-straits-wine-company/
guthrie-house-six-ave,https://www.instagram.com/explore/locations/237783451/guthrie-house-six-ave/
lalaland-6th-ave,https://www.instagram.com/explore/locations/105181512509637/lalaland-6th-ave/
b-f-dental-clinic-singapore,https://www.instagram.com/explore/locations/187523178805374/b-f-dental-clinic-singapore/
mad4math-bukit-timah-pte-ltd,https://www.instagram.com/explore/locations/316790863/mad4math-bukit-timah-pte-ltd/
apolo-banana-leaf,https://www.instagram.com/explore/locations/100488701944672/apolo-banana-leaf/
simply-bread-sixth-ave,https://www.instagram.com/explore/locations/287767502/simply-bread-sixth-ave/
changiairport,https://www.instagram.com/explore/locations/268092555/changiairport/
breadtalk-toast-box,https://www.instagram.com/explore/locations/302200850470051/breadtalk-toast-box/
masters-tang,https://www.instagram.com/explore/locations/1034822146/masters-tang/
simply-bread-gutherie-house,https://www.instagram.com/explore/locations/352621219/simply-bread-gutherie-house/
the-coffee-bean-6th-avenue-guthrie-house,https://www.instagram.com/explore/locations/248965315/the-coffee-bean-6th-avenue-guthrie-house/
sa-among-balay,https://www.instagram.com/explore/locations/274722576/sa-among-balay/
indian-curry-house-6th-avenue-centre-singapore,https://www.instagram.com/explore/locations/283118736/indian-curry-house-6th-avenue-centre-singapore/
