cityname,url
the-st-regis-singapore,https://www.instagram.com/explore/locations/257307/the-st-regis-singapore/
four-seasons-hotel-singapore,https://www.instagram.com/explore/locations/1425111/four-seasons-hotel-singapore/
hard-rock-cafe-singapore,https://www.instagram.com/explore/locations/212990307/hard-rock-cafe-singapore/
fat-cow,https://www.instagram.com/explore/locations/5765182/fat-cow/
botanical-gardens-singapore,https://www.instagram.com/explore/locations/237770618/botanical-gardens-singapore/
manhattan-bar,https://www.instagram.com/explore/locations/251241152/manhattan-bar/
tokyojapan,https://www.instagram.com/explore/locations/614535653/tokyojapan/
tanglin-mall,https://www.instagram.com/explore/locations/1020156222/tanglin-mall/
orchard-hotel-singapore,https://www.instagram.com/explore/locations/103164621891719/orchard-hotel-singapore/
jamies-italian-singapore,https://www.instagram.com/explore/locations/214921143/jamies-italian-singapore/
nassim-hill-bakery-bistro-bar,https://www.instagram.com/explore/locations/24516548/nassim-hill-bakery-bistro-bar/
the-singapore-edition,https://www.instagram.com/explore/locations/117780948012295/the-singapore-edition/
central-region-singapore,https://www.instagram.com/explore/locations/807203664/central-region-singapore/
brown-butter,https://www.instagram.com/explore/locations/110125680549931/brown-butter/
hana-restaurant,https://www.instagram.com/explore/locations/281303952/hana-restaurant/
nobu-singapore,https://www.instagram.com/explore/locations/107443995044810/nobu-singapore/
tanglin-mall,https://www.instagram.com/explore/locations/28196/tanglin-mall/
social-place-singapore,https://www.instagram.com/explore/locations/111073916898445/social-place-singapore/
basilico-at-the-regent-hotel,https://www.instagram.com/explore/locations/262021974/basilico-at-the-regent-hotel/
embassy-of-the-republic-of-indonesia-singapore,https://www.instagram.com/explore/locations/524736/embassy-of-the-republic-of-indonesia-singapore/
indonesian-embassy-singapore,https://www.instagram.com/explore/locations/140250619691235/indonesian-embassy-singapore/
benjamin-browns,https://www.instagram.com/explore/locations/219029797/benjamin-browns/
muddy-murphys,https://www.instagram.com/explore/locations/80710/muddy-murphys/
club-aura,https://www.instagram.com/explore/locations/627158750641303/club-aura/
conrad-singapore-orchard,https://www.instagram.com/explore/locations/102236132748785/conrad-singapore-orchard/
one-ninety,https://www.instagram.com/explore/locations/1868986/one-ninety/
old-airport-road-market-and-food-centre,https://www.instagram.com/explore/locations/1868087/old-airport-road-market-and-food-centre/
shinji-by-kanesaka,https://www.instagram.com/explore/locations/925742267591140/shinji-by-kanesaka/
scoop-wholefoods-singapore,https://www.instagram.com/explore/locations/831293193876869/scoop-wholefoods-singapore/
akashi-orchard-parade-hotel,https://www.instagram.com/explore/locations/1525866/akashi-orchard-parade-hotel/
social-place,https://www.instagram.com/explore/locations/105617214337017/social-place/
basilico-regent-hotel,https://www.instagram.com/explore/locations/574947/basilico-regent-hotel/
high-commission-of-malaysia-singapore,https://www.instagram.com/explore/locations/4697020/high-commission-of-malaysia-singapore/
singapore-changi-airportterminal3,https://www.instagram.com/explore/locations/561452079/singapore-changi-airportterminal3/
hua-ting-restaurant,https://www.instagram.com/explore/locations/256816371523306/hua-ting-restaurant/
summer-palace-the-regent-singapore,https://www.instagram.com/explore/locations/245116060/summer-palace-the-regent-singapore/
korat-thai-cafe,https://www.instagram.com/explore/locations/218566948/korat-thai-cafe/
orchard-parade-hotel,https://www.instagram.com/explore/locations/136940/orchard-parade-hotel/
jade-palace-,https://www.instagram.com/explore/locations/250443479/jade-palace-/
akanoya-robatayaki,https://www.instagram.com/explore/locations/223993460/akanoya-robatayaki/
forum-the-shopping-mall,https://www.instagram.com/explore/locations/473875/forum-the-shopping-mall/
orchard-towers,https://www.instagram.com/explore/locations/802763/orchard-towers/
tunglok-signatures-orchard-rendezvous-hotel,https://www.instagram.com/explore/locations/325281721216160/tunglok-signatures-orchard-rendezvous-hotel/
summer-hill-sg,https://www.instagram.com/explore/locations/1811251165871981/summer-hill-sg/
hard-rock-cafe-singapore,https://www.instagram.com/explore/locations/20823/hard-rock-cafe-singapore/
delfi-orchard,https://www.instagram.com/explore/locations/531164/delfi-orchard/
the-peranakan,https://www.instagram.com/explore/locations/1709751445934160/the-peranakan/
lino,https://www.instagram.com/explore/locations/253323296565844/lino/
tea-lounge,https://www.instagram.com/explore/locations/241152058/tea-lounge/
treetops-executive-residences-singapore,https://www.instagram.com/explore/locations/3874877/treetops-executive-residences-singapore/
club-sonar,https://www.instagram.com/explore/locations/69797084/club-sonar/
st-regis-hotel-singapore,https://www.instagram.com/explore/locations/1029154220/st-regis-hotel-singapore/
marina-bay-sand-singapore,https://www.instagram.com/explore/locations/256810078/marina-bay-sand-singapore/
park90,https://www.instagram.com/explore/locations/2280649972165895/park90/
tab,https://www.instagram.com/explore/locations/122163/tab/
tanglin-shopping-centre,https://www.instagram.com/explore/locations/1031392818/tanglin-shopping-centre/
pano-kato-grill-pizza-deli,https://www.instagram.com/explore/locations/101189097950206/pano-kato-grill-pizza-deli/
crab-in-da-bag,https://www.instagram.com/explore/locations/214971492/crab-in-da-bag/
hana-singapore,https://www.instagram.com/explore/locations/1033749296/hana-singapore/
yan-ting,https://www.instagram.com/explore/locations/112741602683118/yan-ting/
rendezvous-hotels,https://www.instagram.com/explore/locations/100179945147475/rendezvous-hotels/
brasserie-les-saveurs,https://www.instagram.com/explore/locations/1365512/brasserie-les-saveurs/
kiyose,https://www.instagram.com/explore/locations/39237718/kiyose/
orchard-rendezvous-hotel,https://www.instagram.com/explore/locations/102144494632942/orchard-rendezvous-hotel/
st-regis-hotel-singapore,https://www.instagram.com/explore/locations/985331228/st-regis-hotel-singapore/
brunetti-tanglin-mall,https://www.instagram.com/explore/locations/5063004/brunetti-tanglin-mall/
crescent-girlsschool,https://www.instagram.com/explore/locations/507384409/crescent-girlsschool/
hua-ting-orchard-hotel,https://www.instagram.com/explore/locations/1157466/hua-ting-orchard-hotel/
the-drunken-poet,https://www.instagram.com/explore/locations/1023234782/the-drunken-poet/
j65-jen-hotel-tanglin,https://www.instagram.com/explore/locations/103906534353322/j65-jen-hotel-tanglin/
horsesmouthbarsg,https://www.instagram.com/explore/locations/173285196139052/horsesmouthbarsg/
the-coffee-bean-tea-leaf-at-the-forum-galleria,https://www.instagram.com/explore/locations/269787847/the-coffee-bean-tea-leaf-at-the-forum-galleria/
seoul-restaurant-at-regent-hotel,https://www.instagram.com/explore/locations/314047738/seoul-restaurant-at-regent-hotel/
como-shambhala,https://www.instagram.com/explore/locations/263003841/como-shambhala/
foc-pim-pam,https://www.instagram.com/explore/locations/1589317784707896/foc-pim-pam/
male-hq,https://www.instagram.com/explore/locations/1021261297/male-hq/
akashi-orchard-rendezvous-hotel,https://www.instagram.com/explore/locations/107914600871350/akashi-orchard-rendezvous-hotel/
stile-fashion-notes,https://www.instagram.com/explore/locations/236139947/stile-fashion-notes/
uma-uma-ramen-forum,https://www.instagram.com/explore/locations/214262167/uma-uma-ramen-forum/
unkai-sushi-singapore,https://www.instagram.com/explore/locations/101855712287209/unkai-sushi-singapore/
the-benjamins,https://www.instagram.com/explore/locations/925834907/the-benjamins/
orchard-towers-400-orchard-road,https://www.instagram.com/explore/locations/283503440/orchard-towers-400-orchard-road/
tunglok-signatures-orchard-parade-hotel,https://www.instagram.com/explore/locations/243564365/tunglok-signatures-orchard-parade-hotel/
camden-medical-centre,https://www.instagram.com/explore/locations/426704/camden-medical-centre/
steeples-deli,https://www.instagram.com/explore/locations/318784785/steeples-deli/
happy-mothers-day-i-love-u-mom,https://www.instagram.com/explore/locations/274816332/happy-mothers-day-i-love-u-mom/
thai-tantric-restaurant,https://www.instagram.com/explore/locations/1269600849832198/thai-tantric-restaurant/
dan-ryans-singapore,https://www.instagram.com/explore/locations/784099/dan-ryans-singapore/
forum-the-shopping-mall,https://www.instagram.com/explore/locations/252304551998483/forum-the-shopping-mall/
jade-palace-seafood-restaurant-forum-shopping-mall,https://www.instagram.com/explore/locations/219917270/jade-palace-seafood-restaurant-forum-shopping-mall/
tenshin,https://www.instagram.com/explore/locations/1105603/tenshin/
yantra,https://www.instagram.com/explore/locations/652712675187944/yantra/
st-regis-hotel,https://www.instagram.com/explore/locations/382337042/st-regis-hotel/
tea-lounge-regent-hotel-singapore,https://www.instagram.com/explore/locations/3106007/tea-lounge-regent-hotel-singapore/
brewerkz,https://www.instagram.com/explore/locations/446776982322958/brewerkz/
takashimaya-shoping-mall-orchard-road-singapore,https://www.instagram.com/explore/locations/237894405/takashimaya-shoping-mall-orchard-road-singapore/
ipreciation,https://www.instagram.com/explore/locations/295776832/ipreciation/
dolcetto-by-basilico,https://www.instagram.com/explore/locations/244179964/dolcetto-by-basilico/
lafiandra-ristorante,https://www.instagram.com/explore/locations/398485920975424/lafiandra-ristorante/
basilico,https://www.instagram.com/explore/locations/103677915971182/basilico/
julia-gabriel-centre-singapore,https://www.instagram.com/explore/locations/3065045/julia-gabriel-centre-singapore/
orchard-cafe-orchard-hotel,https://www.instagram.com/explore/locations/702291/orchard-cafe-orchard-hotel/
little-farms,https://www.instagram.com/explore/locations/107408642131645/little-farms/
shinji-by-kanesaka-at-st-regis,https://www.instagram.com/explore/locations/256129646/shinji-by-kanesaka-at-st-regis/
ming-arcade-cashbox-studio,https://www.instagram.com/explore/locations/215687943/ming-arcade-cashbox-studio/
the-coffee-bean-tea-leaf-at-forum-orchard,https://www.instagram.com/explore/locations/1791487/the-coffee-bean-tea-leaf-at-forum-orchard/
the-regent-hotel-singapore,https://www.instagram.com/explore/locations/300913917/the-regent-hotel-singapore/
gyu-san-singapore,https://www.instagram.com/explore/locations/110230485452457/gyu-san-singapore/
bintan-island-indonesia,https://www.instagram.com/explore/locations/215655877/bintan-island-indonesia/
jewel-coffee,https://www.instagram.com/explore/locations/973799545/jewel-coffee/
cable-car-santosa-singapore,https://www.instagram.com/explore/locations/239156717/cable-car-santosa-singapore/
paul-singapore,https://www.instagram.com/explore/locations/315846182229576/paul-singapore/
