cityname,url
fatcat-ice-cream-bar,https://www.instagram.com/explore/locations/518354426/fatcat-ice-cream-bar/
heartbeatbedok,https://www.instagram.com/explore/locations/1035061398/heartbeatbedok/
percolate,https://www.instagram.com/explore/locations/244271688/percolate/
bedok-interchange-hawker-center,https://www.instagram.com/explore/locations/215039101/bedok-interchange-hawker-center/
bedok-stadium,https://www.instagram.com/explore/locations/1376323/bedok-stadium/
bedok-point,https://www.instagram.com/explore/locations/607352/bedok-point/
blk-216-bedok-hawker-centre,https://www.instagram.com/explore/locations/220862981/blk-216-bedok-hawker-centre/
gymmboxx-bedok-point,https://www.instagram.com/explore/locations/1030009014/gymmboxx-bedok-point/
jurong-point,https://www.instagram.com/explore/locations/377777539/jurong-point/
hay-gelato-bedok,https://www.instagram.com/explore/locations/111218357364389/hay-gelato-bedok/
nangfa-thai-kitchen,https://www.instagram.com/explore/locations/1022815326/nangfa-thai-kitchen/
418-skate-shop,https://www.instagram.com/explore/locations/73693787/418-skate-shop/
activesg-bedok-sport-centre,https://www.instagram.com/explore/locations/1035625538/activesg-bedok-sport-centre/
kooks-creamery,https://www.instagram.com/explore/locations/102417805666135/kooks-creamery/
new-upper-changi-road,https://www.instagram.com/explore/locations/1016467/new-upper-changi-road/
ba-shu-si-chuan-singapore,https://www.instagram.com/explore/locations/2051508938414150/ba-shu-si-chuan-singapore/
singapore-silat-federation,https://www.instagram.com/explore/locations/238021112/singapore-silat-federation/
king-of-fried-rice,https://www.instagram.com/explore/locations/104618988433882/king-of-fried-rice/
bedok-north-rd,https://www.instagram.com/explore/locations/94071864/bedok-north-rd/
sarawak-delicacy-laksa-kolo-mee,https://www.instagram.com/explore/locations/358958591270930/sarawak-delicacy-laksa-kolo-mee/
hay-gelato,https://www.instagram.com/explore/locations/103597188229528/hay-gelato/
nakhon-kitchen-thai-cuisine,https://www.instagram.com/explore/locations/940151/nakhon-kitchen-thai-cuisine/
xiaolongkan-chinese-hotpot,https://www.instagram.com/explore/locations/105348381109429/xiaolongkan-chinese-hotpot/
nakhon-kitchen-136-bedok-north,https://www.instagram.com/explore/locations/210164199697006/nakhon-kitchen-136-bedok-north/
jing-long-seafood-restaurant,https://www.instagram.com/explore/locations/245479203/jing-long-seafood-restaurant/
bedok-public-library,https://www.instagram.com/explore/locations/122894357780396/bedok-public-library/
bedok-central,https://www.instagram.com/explore/locations/512662112839337/bedok-central/
tenderbest-makcik-market,https://www.instagram.com/explore/locations/2350064555014702/tenderbest-makcik-market/
jb-johor-bahru,https://www.instagram.com/explore/locations/400336759/jb-johor-bahru/
singapore-zoo-river-safari,https://www.instagram.com/explore/locations/1434465553296458/singapore-zoo-river-safari/
shh,https://www.instagram.com/explore/locations/905352727/shh/
jianghu-hotpot,https://www.instagram.com/explore/locations/1223860741112367/jianghu-hotpot/
burgs-by-project-warung,https://www.instagram.com/explore/locations/358069508042925/burgs-by-project-warung/
tak-perlu-tau-aku-kat-mane,https://www.instagram.com/explore/locations/303620935/tak-perlu-tau-aku-kat-mane/
bedok-community-center,https://www.instagram.com/explore/locations/237027982/bedok-community-center/
buddy-hoagies-cafe-grill,https://www.instagram.com/explore/locations/916110365214854/buddy-hoagies-cafe-grill/
mukmin-restaurant,https://www.instagram.com/explore/locations/947114567/mukmin-restaurant/
anytime-fitness-bedok-south-bedok-cc,https://www.instagram.com/explore/locations/117665039640541/anytime-fitness-bedok-south-bedok-cc/
bedok-north-woods,https://www.instagram.com/explore/locations/608103959364764/bedok-north-woods/
district-9,https://www.instagram.com/explore/locations/139053966167706/district-9/
