cityname,url
lolas-cafe,https://www.instagram.com/explore/locations/212965941/lolas-cafe/
in-ur-heart,https://www.instagram.com/explore/locations/369999640/in-ur-heart/
nakhon-kitchen,https://www.instagram.com/explore/locations/28090/nakhon-kitchen/
yaowarat-thai-kway-chap,https://www.instagram.com/explore/locations/508884196180253/yaowarat-thai-kway-chap/
8-degrees,https://www.instagram.com/explore/locations/217522811/8-degrees/
ice-edge-cafe,https://www.instagram.com/explore/locations/942918047/ice-edge-cafe/
hell-on-earth,https://www.instagram.com/explore/locations/802769609/hell-on-earth/
ponggol-nasi-lemak,https://www.instagram.com/explore/locations/218583443/ponggol-nasi-lemak/
ice-edge-cafe,https://www.instagram.com/explore/locations/979901/ice-edge-cafe/
qi-xiang-chicken-pot,https://www.instagram.com/explore/locations/287720005358558/qi-xiang-chicken-pot/
lolas-cafe,https://www.instagram.com/explore/locations/88778888/lolas-cafe/
kovan-singapore,https://www.instagram.com/explore/locations/1024540934/kovan-singapore/
qi-wei-chicken-claypot,https://www.instagram.com/explore/locations/251179075/qi-wei-chicken-claypot/
bbw-burger-beer-waffle,https://www.instagram.com/explore/locations/70007449/bbw-burger-beer-waffle/
serangoon-junior-college,https://www.instagram.com/explore/locations/501382423/serangoon-junior-college/
ng-kuan-pan-mee,https://www.instagram.com/explore/locations/107170264184475/ng-kuan-pan-mee/
wan-xing-mala-xiang-guo,https://www.instagram.com/explore/locations/2299221933641838/wan-xing-mala-xiang-guo/
888-mookata,https://www.instagram.com/explore/locations/1526239874117516/888-mookata/
forte-bowl-jforte-sportainment-centre,https://www.instagram.com/explore/locations/837794123/forte-bowl-jforte-sportainment-centre/
hougang-community-club,https://www.instagram.com/explore/locations/1032264173/hougang-community-club/
naked-ice-cream,https://www.instagram.com/explore/locations/104679255228504/naked-ice-cream/
lucky-cat,https://www.instagram.com/explore/locations/102992778290075/lucky-cat/
starlight-salon,https://www.instagram.com/explore/locations/156055863/starlight-salon/
alkovesg,https://www.instagram.com/explore/locations/108559922066702/alkovesg/
udders-ice-cream,https://www.instagram.com/explore/locations/109990390377533/udders-ice-cream/
kovan-residences,https://www.instagram.com/explore/locations/215422783/kovan-residences/
masjid-en-naeem,https://www.instagram.com/explore/locations/1747742/masjid-en-naeem/
