cityname,url
pulau-tekong,https://www.instagram.com/explore/locations/1017097161/pulau-tekong/
pulau-tekong,https://www.instagram.com/explore/locations/511497229/pulau-tekong/
pulau-tekong,https://www.instagram.com/explore/locations/1017368503/pulau-tekong/
puala-tekong-rocky-hill-camp-4,https://www.instagram.com/explore/locations/252117588825646/puala-tekong-rocky-hill-camp-4/
ao-tekong,https://www.instagram.com/explore/locations/770350191/ao-tekong/
tekong,https://www.instagram.com/explore/locations/1030001954/tekong/
pulau-tekong,https://www.instagram.com/explore/locations/1031303155/pulau-tekong/
pulau-tekong-100m-range,https://www.instagram.com/explore/locations/51615281/pulau-tekong-100m-range/
basic-military,https://www.instagram.com/explore/locations/109445581771910/basic-military/
chia-tong-quah-estate-singapore,https://www.instagram.com/explore/locations/1031027753/chia-tong-quah-estate-singapore/
