cityname,url
clementi-singapore,https://www.instagram.com/explore/locations/221577153/clementi-singapore/
clementi-market-and-hawker-centre,https://www.instagram.com/explore/locations/236177703/clementi-market-and-hawker-centre/
clementi,https://www.instagram.com/explore/locations/361920909/clementi/
unknown-place,https://www.instagram.com/explore/locations/255444452/unknown-place/
321-clementi,https://www.instagram.com/explore/locations/391938799/321-clementi/
we-cinemas,https://www.instagram.com/explore/locations/667982555/we-cinemas/
browstudio,https://www.instagram.com/explore/locations/1461212584173581/browstudio/
im-kim-korean-bbq-shabu-shabu,https://www.instagram.com/explore/locations/110125604164120/im-kim-korean-bbq-shabu-shabu/
siam-square-mookata-clementi,https://www.instagram.com/explore/locations/501262633399990/siam-square-mookata-clementi/
prata-alley,https://www.instagram.com/explore/locations/107959392975489/prata-alley/
blackball-singapore,https://www.instagram.com/explore/locations/13246975/blackball-singapore/
fitness-first-singapore,https://www.instagram.com/explore/locations/113595350109805/fitness-first-singapore/
fitness-first-platinum-at-321-clementi,https://www.instagram.com/explore/locations/751194846/fitness-first-platinum-at-321-clementi/
arowana-avenue,https://www.instagram.com/explore/locations/2436753396611144/arowana-avenue/
anytime-fitness-clementi-city,https://www.instagram.com/explore/locations/763011597212915/anytime-fitness-clementi-city/
dajie-clementi,https://www.instagram.com/explore/locations/293989461329868/dajie-clementi/
saizeriya-at-321-clementi,https://www.instagram.com/explore/locations/763148627/saizeriya-at-321-clementi/
evertop-hainanese-boneless-chicken-rice-clementi,https://www.instagram.com/explore/locations/2128895120658535/evertop-hainanese-boneless-chicken-rice-clementi/
wimi-ice-cream,https://www.instagram.com/explore/locations/863314233/wimi-ice-cream/
jinjja-chicken,https://www.instagram.com/explore/locations/441579329567452/jinjja-chicken/
clementi-mrt,https://www.instagram.com/explore/locations/966560916/clementi-mrt/
yakiniku-ouji,https://www.instagram.com/explore/locations/146285239358916/yakiniku-ouji/
huangtudi-xian-delights,https://www.instagram.com/explore/locations/101131171628242/huangtudi-xian-delights/
little-myanmar,https://www.instagram.com/explore/locations/512474145899789/little-myanmar/
grantral-mall,https://www.instagram.com/explore/locations/337190910195882/grantral-mall/
polyclinic-clementi,https://www.instagram.com/explore/locations/110111975753255/polyclinic-clementi/
art-friend-at-clementi,https://www.instagram.com/explore/locations/247912531/art-friend-at-clementi/
jacks-place,https://www.instagram.com/explore/locations/105962134404727/jacks-place/
gecory,https://www.instagram.com/explore/locations/1025395579/gecory/
449-clementi-coffee-shop,https://www.instagram.com/explore/locations/283787165393765/449-clementi-coffee-shop/
nakara-thai-cuisine,https://www.instagram.com/explore/locations/104524405262438/nakara-thai-cuisine/
clementi-448-market-food-centre,https://www.instagram.com/explore/locations/103429548799660/clementi-448-market-food-centre/
soup-restaurant-clementi-mall,https://www.instagram.com/explore/locations/2757662/soup-restaurant-clementi-mall/
kowloon-express,https://www.instagram.com/explore/locations/366922968/kowloon-express/
clementi-avenue-2,https://www.instagram.com/explore/locations/349634512/clementi-avenue-2/
arab-street-singapore,https://www.instagram.com/explore/locations/254727984/arab-street-singapore/
kowloon-express-321-clementi,https://www.instagram.com/explore/locations/837883666/kowloon-express-321-clementi/
ulu-pandan,https://www.instagram.com/explore/locations/398382759/ulu-pandan/
evertop-hainanese-boneless-chicken-rice,https://www.instagram.com/explore/locations/2610094/evertop-hainanese-boneless-chicken-rice/
ootoya-japanese-restaurant-clementi-mall,https://www.instagram.com/explore/locations/222059843/ootoya-japanese-restaurant-clementi-mall/
clementi-avenue-3,https://www.instagram.com/explore/locations/18789762/clementi-avenue-3/
mount-kinabalu-sabah,https://www.instagram.com/explore/locations/585995603/mount-kinabalu-sabah/
clementi-mrt-station,https://www.instagram.com/explore/locations/213536906/clementi-mrt-station/
yakinikuoh,https://www.instagram.com/explore/locations/1934802146770795/yakinikuoh/
meet-noodles,https://www.instagram.com/explore/locations/101179647973266/meet-noodles/
depressedsadangrytearing-up-land,https://www.instagram.com/explore/locations/391417352/depressedsadangrytearing-up-land/
frozen-korea-ice-dessert-cafe,https://www.instagram.com/explore/locations/614800425/frozen-korea-ice-dessert-cafe/
koi-cafe-clementi,https://www.instagram.com/explore/locations/2187249/koi-cafe-clementi/
anytime-fitness-clementi,https://www.instagram.com/explore/locations/100207448274541/anytime-fitness-clementi/
brothers-rojak-see-lam-hern-coffeeshop,https://www.instagram.com/explore/locations/241840911/brothers-rojak-see-lam-hern-coffeeshop/
thai-express-clementi-mall,https://www.instagram.com/explore/locations/29305730/thai-express-clementi-mall/
lechonsg,https://www.instagram.com/explore/locations/320984788/lechonsg/
clementi-325-food-house,https://www.instagram.com/explore/locations/366551637425052/clementi-325-food-house/
la-jiang-shan-hotpot-bbq,https://www.instagram.com/explore/locations/107700601491361/la-jiang-shan-hotpot-bbq/
eng-wah-321-clementi,https://www.instagram.com/explore/locations/679391104/eng-wah-321-clementi/
chai-ho-satay-clementi,https://www.instagram.com/explore/locations/236908281/chai-ho-satay-clementi/
sushi-express-at-clementi-mall,https://www.instagram.com/explore/locations/681906536/sushi-express-at-clementi-mall/
clementi-mrt-station,https://www.instagram.com/explore/locations/433383256828971/clementi-mrt-station/
clementi-polyclinic,https://www.instagram.com/explore/locations/382380899/clementi-polyclinic/
fitness-first-321-clementi,https://www.instagram.com/explore/locations/488949954769430/fitness-first-321-clementi/
mcdonalds-clementi-avenue-3,https://www.instagram.com/explore/locations/259951460/mcdonalds-clementi-avenue-3/
ajisen-ramen,https://www.instagram.com/explore/locations/1385960/ajisen-ramen/
bingsu,https://www.instagram.com/explore/locations/1144884325555764/bingsu/
homeey,https://www.instagram.com/explore/locations/850572640/homeey/
toast-box-at-clementi-mall,https://www.instagram.com/explore/locations/1265278/toast-box-at-clementi-mall/
toastbox,https://www.instagram.com/explore/locations/241811947/toastbox/
fitness-first-321-clementi,https://www.instagram.com/explore/locations/706632742830104/fitness-first-321-clementi/
pearlista,https://www.instagram.com/explore/locations/1032167265/pearlista/
clementi-town-centre,https://www.instagram.com/explore/locations/633014/clementi-town-centre/
tian-tian-chicken-rice-at-clementi,https://www.instagram.com/explore/locations/329462793/tian-tian-chicken-rice-at-clementi/
boon-kee-wanton-noodle,https://www.instagram.com/explore/locations/3928523/boon-kee-wanton-noodle/
soup-restaurant-clementi-mall,https://www.instagram.com/explore/locations/234963290/soup-restaurant-clementi-mall/
448-clementi-market,https://www.instagram.com/explore/locations/243682409/448-clementi-market/
botak-jonesblk-325-clementi,https://www.instagram.com/explore/locations/251957054/botak-jonesblk-325-clementi/
clementi-florist-aquarium-c328,https://www.instagram.com/explore/locations/1100726010104689/clementi-florist-aquarium-c328/
block-443-clementi-ave-3,https://www.instagram.com/explore/locations/638092764/block-443-clementi-ave-3/
tianfu-szechuan-cuisine,https://www.instagram.com/explore/locations/277225956/tianfu-szechuan-cuisine/
the-lazy-painter,https://www.instagram.com/explore/locations/927884215/the-lazy-painter/
jurong-east,https://www.instagram.com/explore/locations/1050051371833604/jurong-east/
marina-keppel-bay,https://www.instagram.com/explore/locations/270000948/marina-keppel-bay/
tans-tu-tu-coconut-cake,https://www.instagram.com/explore/locations/666335047145595/tans-tu-tu-coconut-cake/
grantral-mall,https://www.instagram.com/explore/locations/107865280658799/grantral-mall/
ya-kun-kaya-toast-clementi-mall,https://www.instagram.com/explore/locations/3558893/ya-kun-kaya-toast-clementi-mall/
whampoa-soya-bean,https://www.instagram.com/explore/locations/2133342543363492/whampoa-soya-bean/
328-food-house,https://www.instagram.com/explore/locations/116865113044945/328-food-house/
toasties-at-clementi-321,https://www.instagram.com/explore/locations/1024543132/toasties-at-clementi-321/
western-fusion,https://www.instagram.com/explore/locations/1782535648631678/western-fusion/
kaffe-toast-thai-noodle-bar,https://www.instagram.com/explore/locations/108010823940583/kaffe-toast-thai-noodle-bar/
kbb-korean-bbq-buffet,https://www.instagram.com/explore/locations/290637495/kbb-korean-bbq-buffet/
clementi-central,https://www.instagram.com/explore/locations/1672073/clementi-central/
pizza-hut,https://www.instagram.com/explore/locations/1105161/pizza-hut/
about-your-nails,https://www.instagram.com/explore/locations/1022456388/about-your-nails/
block-454-clementi-heights,https://www.instagram.com/explore/locations/624326205/block-454-clementi-heights/
botak-jones,https://www.instagram.com/explore/locations/532068/botak-jones/
b9-dental-centre,https://www.instagram.com/explore/locations/978194982/b9-dental-centre/
our-solution-pte-ltd,https://www.instagram.com/explore/locations/385568483/our-solution-pte-ltd/
my-sweetie-room-singapore,https://www.instagram.com/explore/locations/734821643303563/my-sweetie-room-singapore/
eatpraylove,https://www.instagram.com/explore/locations/235938260/eatpraylove/
hong-kao-liao-li,https://www.instagram.com/explore/locations/2390951050971518/hong-kao-liao-li/
mei-heong-yuen-321,https://www.instagram.com/explore/locations/864083034/mei-heong-yuen-321/
sree-maha-mariaman-temple-yishun-singapore,https://www.instagram.com/explore/locations/761262239/sree-maha-mariaman-temple-yishun-singapore/
city-vibe-clementi,https://www.instagram.com/explore/locations/260734666/city-vibe-clementi/
first-class-at-321-clementi-eng-wah-cinema,https://www.instagram.com/explore/locations/871356979/first-class-at-321-clementi-eng-wah-cinema/
clementi-crest,https://www.instagram.com/explore/locations/1023582563/clementi-crest/
321-clementi-fitness-first,https://www.instagram.com/explore/locations/1778721729032521/321-clementi-fitness-first/
to-infinity-and-beyond,https://www.instagram.com/explore/locations/262397944477164/to-infinity-and-beyond/
incheon,https://www.instagram.com/explore/locations/274653385881114/incheon/
