cityname,url
hwa-chong-institution,https://www.instagram.com/explore/locations/12981385/hwa-chong-institution/
hwa-chong-junior-college,https://www.instagram.com/explore/locations/214974197/hwa-chong-junior-college/
my-chemical-romance,https://www.instagram.com/explore/locations/342345482/my-chemical-romance/
hwa-chong-international-school,https://www.instagram.com/explore/locations/270668490/hwa-chong-international-school/
padang,https://www.instagram.com/explore/locations/493034797/padang/
duchess-avenue,https://www.instagram.com/explore/locations/27668851/duchess-avenue/
tjgtc-the-junior-gymnastics-training-centre,https://www.instagram.com/explore/locations/287723914/tjgtc-the-junior-gymnastics-training-centre/
princess-of-wales,https://www.instagram.com/explore/locations/241202342/princess-of-wales/
coronation-road,https://www.instagram.com/explore/locations/2534982/coronation-road/
duchess-residences,https://www.instagram.com/explore/locations/280111519007311/duchess-residences/
duchess-crest,https://www.instagram.com/explore/locations/6232226/duchess-crest/
hwa-chong-international-school,https://www.instagram.com/explore/locations/110845078939737/hwa-chong-international-school/
victoria-park-villas-landed-estate-singapore,https://www.instagram.com/explore/locations/397113301/victoria-park-villas-landed-estate-singapore/
coronation-drive,https://www.instagram.com/explore/locations/236771504/coronation-drive/
hwa-chong-cheng-yi-auditorium,https://www.instagram.com/explore/locations/937364/hwa-chong-cheng-yi-auditorium/
hwa-chong-salt-centre,https://www.instagram.com/explore/locations/273292841/hwa-chong-salt-centre/
batu-batu-pulau-tengah,https://www.instagram.com/explore/locations/683513280/batu-batu-pulau-tengah/
hwa-chong-international-school,https://www.instagram.com/explore/locations/1384601/hwa-chong-international-school/
hwa-chong-institution,https://www.instagram.com/explore/locations/109399754035747/hwa-chong-institution/
the-chinese-high-school-singapore,https://www.instagram.com/explore/locations/687028952/the-chinese-high-school-singapore/
7g,https://www.instagram.com/explore/locations/128941177177400/7g/
hwa-chong-institution-drama-centre,https://www.instagram.com/explore/locations/269883466/hwa-chong-institution-drama-centre/
duchess-cres-duchess-ave,https://www.instagram.com/explore/locations/1023325346/duchess-cres-duchess-ave/
hmun,https://www.instagram.com/explore/locations/1026640159/hmun/
universal-studio-sentosa-singapore,https://www.instagram.com/explore/locations/239297395/universal-studio-sentosa-singapore/
kopassus-di-batujajar-bandun,https://www.instagram.com/explore/locations/1022577411/kopassus-di-batujajar-bandun/
the-chinese-high-school-clock-tower-building,https://www.instagram.com/explore/locations/341132301/the-chinese-high-school-clock-tower-building/
the-chinese-high-school,https://www.instagram.com/explore/locations/115371208474390/the-chinese-high-school/
in-the-hell-in-my-house,https://www.instagram.com/explore/locations/297997840222522/in-the-hell-in-my-house/
the-tresor,https://www.instagram.com/explore/locations/45576631/the-tresor/
hwa-chong-institution-college-auditorium,https://www.instagram.com/explore/locations/268146689/hwa-chong-institution-college-auditorium/
duchess-manor,https://www.instagram.com/explore/locations/41810456/duchess-manor/
duchess-park,https://www.instagram.com/explore/locations/434173804022187/duchess-park/
coronation-gardens-singapore,https://www.instagram.com/explore/locations/107086069310064/coronation-gardens-singapore/
hwa-chong-institution,https://www.instagram.com/explore/locations/1028233120/hwa-chong-institution/
upper-changi-road-east,https://www.instagram.com/explore/locations/639440680/upper-changi-road-east/
mouldgonecom,https://www.instagram.com/explore/locations/436910199829271/mouldgonecom/
prince-of-wales-road,https://www.instagram.com/explore/locations/1786787/prince-of-wales-road/
nanyang-primary-school,https://www.instagram.com/explore/locations/317488058947714/nanyang-primary-school/
duchess-crest-condo,https://www.instagram.com/explore/locations/226173530824262/duchess-crest-condo/
hwa-chong-institution-high-school-council,https://www.instagram.com/explore/locations/282190313/hwa-chong-institution-high-school-council/
duchess-road,https://www.instagram.com/explore/locations/533563563/duchess-road/
kallang-road,https://www.instagram.com/explore/locations/1030835731/kallang-road/
gratus,https://www.instagram.com/explore/locations/190001581358498/gratus/
piety-bakery,https://www.instagram.com/explore/locations/2038647923076831/piety-bakery/
hwachong-high-institution,https://www.instagram.com/explore/locations/479979255/hwachong-high-institution/
kantong-kosong-ga-punya-duit,https://www.instagram.com/explore/locations/457507974382184/kantong-kosong-ga-punya-duit/
the-hwa-chong-institution-mediatech-club,https://www.instagram.com/explore/locations/1024189060/the-hwa-chong-institution-mediatech-club/
duchess-road,https://www.instagram.com/explore/locations/710396/duchess-road/
duchess-manor,https://www.instagram.com/explore/locations/307208306772415/duchess-manor/
hwa-chong-jc-lt3,https://www.instagram.com/explore/locations/601571630/hwa-chong-jc-lt3/
coronation-grove,https://www.instagram.com/explore/locations/275550881/coronation-grove/
duchess-crest,https://www.instagram.com/explore/locations/2075855072727753/duchess-crest/
nanyang-primary-school-playground,https://www.instagram.com/explore/locations/757615107923661/nanyang-primary-school-playground/
hwa-chong-institution-college-section-right-wing-11a10-bench,https://www.instagram.com/explore/locations/292748154/hwa-chong-institution-college-section-right-wing-11a10-bench/
duchess-place,https://www.instagram.com/explore/locations/343028419/duchess-place/
hwachong-canteen,https://www.instagram.com/explore/locations/1384622/hwachong-canteen/
auditorium-hwa-chong-jc,https://www.instagram.com/explore/locations/437992694/auditorium-hwa-chong-jc/
siem-reap-city,https://www.instagram.com/explore/locations/161188247285155/siem-reap-city/
st-ignatius-annexe-hall,https://www.instagram.com/explore/locations/700907566977200/st-ignatius-annexe-hall/
hwa-chong-kah-kee-hall,https://www.instagram.com/explore/locations/610213488/hwa-chong-kah-kee-hall/
hwa-chong-institution-high-school-auditorium,https://www.instagram.com/explore/locations/12346122/hwa-chong-institution-high-school-auditorium/
hwa-chong-dojo,https://www.instagram.com/explore/locations/1023428737/hwa-chong-dojo/
hwa-chong-institution-gymnasium,https://www.instagram.com/explore/locations/531635547/hwa-chong-institution-gymnasium/
28-duchess-road,https://www.instagram.com/explore/locations/413246985362966/28-duchess-road/
hwa-chong-institution-kah-kee-hall,https://www.instagram.com/explore/locations/81322134/hwa-chong-institution-kah-kee-hall/
capiz,https://www.instagram.com/explore/locations/789767668/capiz/
idontbully,https://www.instagram.com/explore/locations/306329282851711/idontbully/
hwa-chong-institution-4q,https://www.instagram.com/explore/locations/790403520/hwa-chong-institution-4q/
hwa-chong-international-school-boarding-school-canteen,https://www.instagram.com/explore/locations/303471740356565/hwa-chong-international-school-boarding-school-canteen/
hwa-chong-track-field,https://www.instagram.com/explore/locations/814957355/hwa-chong-track-field/
tresor,https://www.instagram.com/explore/locations/1012773846/tresor/
hci-canteen,https://www.instagram.com/explore/locations/26015059/hci-canteen/
hwa-chong-high-school-canteen,https://www.instagram.com/explore/locations/290475697/hwa-chong-high-school-canteen/
duchess-park,https://www.instagram.com/explore/locations/1016299724/duchess-park/
remind,https://www.instagram.com/explore/locations/100768441448662/remind/
jl-batu-jajar,https://www.instagram.com/explore/locations/148134328585522/jl-batu-jajar/
hwa-chong-canteen-guo-tiao-mian-stall,https://www.instagram.com/explore/locations/157461027643615/hwa-chong-canteen-guo-tiao-mian-stall/
hwa-chong-basketball-court,https://www.instagram.com/explore/locations/161229509/hwa-chong-basketball-court/
auditorium-hcjc,https://www.instagram.com/explore/locations/287832328/auditorium-hcjc/
hwa-chong-model-asean-summit-hcmas,https://www.instagram.com/explore/locations/1842322269392269/hwa-chong-model-asean-summit-hcmas/
hwa-chong-institution-college-orientation-2014-feu-de-joie,https://www.instagram.com/explore/locations/597190386/hwa-chong-institution-college-orientation-2014-feu-de-joie/
hwa-chong-institution-college,https://www.instagram.com/explore/locations/339046210/hwa-chong-institution-college/
di-kolong-ranjang,https://www.instagram.com/explore/locations/100340333439570/di-kolong-ranjang/
di-dalam-memori-ku,https://www.instagram.com/explore/locations/460747417272927/di-dalam-memori-ku/
the-republic-cultural-centre,https://www.instagram.com/explore/locations/339944770/the-republic-cultural-centre/
tulung-asahan-city,https://www.instagram.com/explore/locations/1030836854/tulung-asahan-city/
hcjc,https://www.instagram.com/explore/locations/339978024/hcjc/
hwa-chong-conflict-resolution-and-inquiry-hccri,https://www.instagram.com/explore/locations/706254659419336/hwa-chong-conflict-resolution-and-inquiry-hccri/
hwa-chong-100th-anniversary,https://www.instagram.com/explore/locations/2162551057291590/hwa-chong-100th-anniversary/
hwa-chong-institution-terraces,https://www.instagram.com/explore/locations/342094632/hwa-chong-institution-terraces/
asianways,https://www.instagram.com/explore/locations/230474593696772/asianways/
american-club,https://www.instagram.com/explore/locations/337151561/american-club/
light-of-kindness,https://www.instagram.com/explore/locations/103761864464114/light-of-kindness/
hwa-chong-international-school,https://www.instagram.com/explore/locations/1994180290888094/hwa-chong-international-school/
hwa-chong-photographic-society,https://www.instagram.com/explore/locations/605010442911682/hwa-chong-photographic-society/
hwa-chong-instituition,https://www.instagram.com/explore/locations/349113417/hwa-chong-instituition/
oei-tiong-ham-memorial-hall,https://www.instagram.com/explore/locations/1932587343488176/oei-tiong-ham-memorial-hall/
hwa-chong-junior-college-ct-benches,https://www.instagram.com/explore/locations/879234837/hwa-chong-junior-college-ct-benches/
hwa-chong-infocomm-robotics-society,https://www.instagram.com/explore/locations/121522721525805/hwa-chong-infocomm-robotics-society/
thinkerview,https://www.instagram.com/explore/locations/114349420319471/thinkerview/
hcunite-hwa-chong,https://www.instagram.com/explore/locations/1027204452/hcunite-hwa-chong/
rumah-dinasku,https://www.instagram.com/explore/locations/284953385/rumah-dinasku/
hwa-chong-instituition-lecture-theatre-4,https://www.instagram.com/explore/locations/806779883/hwa-chong-instituition-lecture-theatre-4/
hcjc-girls-toilet,https://www.instagram.com/explore/locations/195436727144100/hcjc-girls-toilet/
kuo-chian-library-hwa-chong-insti,https://www.instagram.com/explore/locations/584025699/kuo-chian-library-hwa-chong-insti/
sholawat-nariyah,https://www.instagram.com/explore/locations/364396126994008/sholawat-nariyah/
victoria-park-villas,https://www.instagram.com/explore/locations/587419664801180/victoria-park-villas/
hwa-chong-institution-kuo-chuan-house,https://www.instagram.com/explore/locations/1027298374/hwa-chong-institution-kuo-chuan-house/
duchess-avenue,https://www.instagram.com/explore/locations/101832272353033/duchess-avenue/
hua-chong-institution,https://www.instagram.com/explore/locations/1027988849/hua-chong-institution/
hwa-chong-institute,https://www.instagram.com/explore/locations/475450654/hwa-chong-institute/
hospital,https://www.instagram.com/explore/locations/1020509579/hospital/
the-square,https://www.instagram.com/explore/locations/898982762/the-square/
hcis,https://www.instagram.com/explore/locations/262244704/hcis/
4joy,https://www.instagram.com/explore/locations/203471543018618/4joy/
pullman-residences,https://www.instagram.com/explore/locations/115548503158887/pullman-residences/
hcis-heartbeat,https://www.instagram.com/explore/locations/434744465/hcis-heartbeat/
hcco-mph,https://www.instagram.com/explore/locations/203897872975085/hcco-mph/
lulllul,https://www.instagram.com/explore/locations/103029415870875/lulllul/
in-bed-at-home,https://www.instagram.com/explore/locations/293282497384897/in-bed-at-home/
danareja-lor,https://www.instagram.com/explore/locations/246954705412396/danareja-lor/
in-your-wardrobe,https://www.instagram.com/explore/locations/103257307714775/in-your-wardrobe/
duchess-crest-blk-52-unit-01-01,https://www.instagram.com/explore/locations/442601399463053/duchess-crest-blk-52-unit-01-01/
kamar-pengantin-barugelap-gelapan-haaa,https://www.instagram.com/explore/locations/339663009433899/kamar-pengantin-barugelap-gelapan-haaa/
kolese-junior-hwa-chong,https://www.instagram.com/explore/locations/730614659/kolese-junior-hwa-chong/
lazy-bed,https://www.instagram.com/explore/locations/427439697306489/lazy-bed/
hwa-chong-youth,https://www.instagram.com/explore/locations/100353858273526/hwa-chong-youth/
48-astrid-meadows-coronation-rd-west-singapore,https://www.instagram.com/explore/locations/1031096257/48-astrid-meadows-coronation-rd-west-singapore/
hwa-chong-institution-college-library,https://www.instagram.com/explore/locations/612625498/hwa-chong-institution-college-library/
hwa-chong-institution-38th-high-school-council,https://www.instagram.com/explore/locations/1017700206/hwa-chong-institution-38th-high-school-council/
tan-kah-kee-statue,https://www.instagram.com/explore/locations/291834602/tan-kah-kee-statue/
hcis-canteen,https://www.instagram.com/explore/locations/100568104911924/hcis-canteen/
rick-owens-cock-ring,https://www.instagram.com/explore/locations/106890368159964/rick-owens-cock-ring/
kong-chian-library,https://www.instagram.com/explore/locations/8713088/kong-chian-library/
hwa-chong-4th-floor-boys-toilet,https://www.instagram.com/explore/locations/385601880/hwa-chong-4th-floor-boys-toilet/
hwa-chong-college-field,https://www.instagram.com/explore/locations/611143454/hwa-chong-college-field/
at-my-room,https://www.instagram.com/explore/locations/427562810/at-my-room/
reading-room,https://www.instagram.com/explore/locations/488808204/reading-room/
project-grace,https://www.instagram.com/explore/locations/108505800713262/project-grace/
the-chinese-high-school,https://www.instagram.com/explore/locations/451266506/the-chinese-high-school/
asl-cosmetics-singapura-by-dato-aliff-syukri,https://www.instagram.com/explore/locations/109945257004944/asl-cosmetics-singapura-by-dato-aliff-syukri/
nygh-hall,https://www.instagram.com/explore/locations/312095579/nygh-hall/
hci-high-school-smtp,https://www.instagram.com/explore/locations/175222662556405/hci-high-school-smtp/
oei-teong-ham-hall,https://www.instagram.com/explore/locations/256370908055917/oei-teong-ham-hall/
new-fb,https://www.instagram.com/explore/locations/420610554678726/new-fb/
hwa-chong-international-school-pre-u-1i,https://www.instagram.com/explore/locations/636275267/hwa-chong-international-school-pre-u-1i/
aphelion-council,https://www.instagram.com/explore/locations/175677909235469/aphelion-council/
the-patio,https://www.instagram.com/explore/locations/413425325375066/the-patio/
shaw-centre,https://www.instagram.com/explore/locations/154913221306164/shaw-centre/
kah-kee-hall,https://www.instagram.com/explore/locations/779512296/kah-kee-hall/
duchess-ave-135,https://www.instagram.com/explore/locations/188230247866993/duchess-ave-135/
nanyang-kindergarten,https://www.instagram.com/explore/locations/1034191211/nanyang-kindergarten/
hci,https://www.instagram.com/explore/locations/913986923/hci/
the-unorthodox,https://www.instagram.com/explore/locations/592381631244515/the-unorthodox/
inside-bus-157,https://www.instagram.com/explore/locations/311922982/inside-bus-157/
duchess-crest-tennis-courts,https://www.instagram.com/explore/locations/373391733229045/duchess-crest-tennis-courts/
hwa-chong-institution-1i2,https://www.instagram.com/explore/locations/756541372/hwa-chong-institution-1i2/
jing-xian-library,https://www.instagram.com/explore/locations/1079737998874723/jing-xian-library/
f1-singapore,https://www.instagram.com/explore/locations/409025273/f1-singapore/
hwa-chong-music-and-dance-lumni,https://www.instagram.com/explore/locations/1027256461/hwa-chong-music-and-dance-lumni/
proed-lounge,https://www.instagram.com/explore/locations/1001725349/proed-lounge/
hwa-chong-institution-shooting-range,https://www.instagram.com/explore/locations/1034285694/hwa-chong-institution-shooting-range/
rakhes,https://www.instagram.com/explore/locations/108172087615767/rakhes/
simplychampagne,https://www.instagram.com/explore/locations/101466207990055/simplychampagne/
hwa-chong-b133,https://www.instagram.com/explore/locations/1028940881/hwa-chong-b133/
ares-faculty-committee-1920,https://www.instagram.com/explore/locations/107928554082207/ares-faculty-committee-1920/
bugis-street,https://www.instagram.com/explore/locations/342151334/bugis-street/
45-minden-road,https://www.instagram.com/explore/locations/708039453/45-minden-road/
sierra-leone,https://www.instagram.com/explore/locations/972207223/sierra-leone/
marriot,https://www.instagram.com/explore/locations/1030497974/marriot/
hcjc-library,https://www.instagram.com/explore/locations/1024954694/hcjc-library/
hwa-chong-a315,https://www.instagram.com/explore/locations/204167056277386/hwa-chong-a315/
hwa-chong-junior-college-level-3-consultation-area,https://www.instagram.com/explore/locations/1016904796/hwa-chong-junior-college-level-3-consultation-area/
donna-carmella,https://www.instagram.com/explore/locations/189826981095058/donna-carmella/
study,https://www.instagram.com/explore/locations/169020696517008/study/
bukit-828,https://www.instagram.com/explore/locations/114161629968994/bukit-828/
hci-track,https://www.instagram.com/explore/locations/759307131/hci-track/
methodist-girlsschool,https://www.instagram.com/explore/locations/330561058/methodist-girlsschool/
mabes-pengangguran,https://www.instagram.com/explore/locations/137446363009001/mabes-pengangguran/
njc-biology-lab,https://www.instagram.com/explore/locations/314248598594740/njc-biology-lab/
hci-lecture-theatre-1,https://www.instagram.com/explore/locations/277078826271913/hci-lecture-theatre-1/
hcjc-canteen,https://www.instagram.com/explore/locations/385372242/hcjc-canteen/
duchess-ave,https://www.instagram.com/explore/locations/351117928267384/duchess-ave/
36-coronation-road,https://www.instagram.com/explore/locations/447457381980651/36-coronation-road/
astons-the-cathay-singapore,https://www.instagram.com/explore/locations/287334008069472/astons-the-cathay-singapore/
hwa-chong-international-resident,https://www.instagram.com/explore/locations/278470448880770/hwa-chong-international-resident/
hwa-chong-library,https://www.instagram.com/explore/locations/182204571853071/hwa-chong-library/
gymnasism-hwa-chong-institution,https://www.instagram.com/explore/locations/193950514861975/gymnasism-hwa-chong-institution/
tennis-court,https://www.instagram.com/explore/locations/205633576162653/tennis-court/
hwa-chong-institution-college-a210,https://www.instagram.com/explore/locations/385641243/hwa-chong-institution-college-a210/
marina-bay,https://www.instagram.com/explore/locations/923765734/marina-bay/
in-the-toilet,https://www.instagram.com/explore/locations/710251054/in-the-toilet/
arab-street,https://www.instagram.com/explore/locations/326685008/arab-street/
bukit-timah-25-duchess-rd,https://www.instagram.com/explore/locations/305049029529619/bukit-timah-25-duchess-rd/
hwa-chong-canteen-college,https://www.instagram.com/explore/locations/214671371881156/hwa-chong-canteen-college/
chopsuey-cafe-dempsey,https://www.instagram.com/explore/locations/419612798114537/chopsuey-cafe-dempsey/
hwa-chong-international-science-research-centre-seminar-room,https://www.instagram.com/explore/locations/577622692670273/hwa-chong-international-science-research-centre-seminar-room/
28-coronation-drive,https://www.instagram.com/explore/locations/425369144195620/28-coronation-drive/
duchess-playground,https://www.instagram.com/explore/locations/163220190542308/duchess-playground/
3b1-classroom-d,https://www.instagram.com/explore/locations/1012523565/3b1-classroom-d/
the-chinese-high-school,https://www.instagram.com/explore/locations/278987265802155/the-chinese-high-school/
ladies-halloween-party,https://www.instagram.com/explore/locations/288118071795150/ladies-halloween-party/
