cityname,url
blk-58-bedok-south-hawker-centre,https://www.instagram.com/explore/locations/229524506/blk-58-bedok-south-hawker-centre/
tanah-merah-singgapore,https://www.instagram.com/explore/locations/337125559688919/tanah-merah-singgapore/
siglap-community-centre,https://www.instagram.com/explore/locations/2223060/siglap-community-centre/
ecp,https://www.instagram.com/explore/locations/1008010334/ecp/
eco,https://www.instagram.com/explore/locations/531531668/eco/
bedok-view-secondary-school,https://www.instagram.com/explore/locations/1415443/bedok-view-secondary-school/
hannah-montana-concert,https://www.instagram.com/explore/locations/636676279/hannah-montana-concert/
temasek-secondary-school,https://www.instagram.com/explore/locations/246292501/temasek-secondary-school/
bedok-south-ave-3,https://www.instagram.com/explore/locations/16619895/bedok-south-ave-3/
bedok-courtbedok-south-avenue-3singapore-condominium,https://www.instagram.com/explore/locations/332707332/bedok-courtbedok-south-avenue-3singapore-condominium/
bedok-southsingapore,https://www.instagram.com/explore/locations/1025047596/bedok-southsingapore/
temasek-secondary-school,https://www.instagram.com/explore/locations/504300745/temasek-secondary-school/
grandeur-park-residences,https://www.instagram.com/explore/locations/588307721358065/grandeur-park-residences/
bedok-south-avenue-3-block-69,https://www.instagram.com/explore/locations/402877280/bedok-south-avenue-3-block-69/
baiti-jannati,https://www.instagram.com/explore/locations/405739385/baiti-jannati/
bedok-south-horizon,https://www.instagram.com/explore/locations/320177505108778/bedok-south-horizon/
eco-condo-singapore,https://www.instagram.com/explore/locations/103666461433821/eco-condo-singapore/
58-minced-meat-mee-minced-pork-noodle-58,https://www.instagram.com/explore/locations/144072889880851/58-minced-meat-mee-minced-pork-noodle-58/
parbury-hill-condo,https://www.instagram.com/explore/locations/225242238/parbury-hill-condo/
homey,https://www.instagram.com/explore/locations/310865708/homey/
happy-birthday-girl,https://www.instagram.com/explore/locations/501737604/happy-birthday-girl/
anytime-fitness-siglap-cc,https://www.instagram.com/explore/locations/106923525066011/anytime-fitness-siglap-cc/
east-coast-road,https://www.instagram.com/explore/locations/300856220/east-coast-road/
