cityname,url
tampines-singapore,https://www.instagram.com/explore/locations/1246772342115844/tampines-singapore/
east-region-singapore,https://www.instagram.com/explore/locations/820701277/east-region-singapore/
the-float-marina-bay,https://www.instagram.com/explore/locations/432564217/the-float-marina-bay/
anytime-fitness-tampines-east-tampines-mart,https://www.instagram.com/explore/locations/1035174736/anytime-fitness-tampines-east-tampines-mart/
the-eden-at-tampines-condo-singapore,https://www.instagram.com/explore/locations/238680640/the-eden-at-tampines-condo-singapore/
ngee-ann-secondary-school,https://www.instagram.com/explore/locations/236059972/ngee-ann-secondary-school/
tampines-mart,https://www.instagram.com/explore/locations/1149353945173865/tampines-mart/
mekah-saudi-arabia,https://www.instagram.com/explore/locations/145152285616398/mekah-saudi-arabia/
melville-park,https://www.instagram.com/explore/locations/1653218/melville-park/
sinagpore-city-singapore,https://www.instagram.com/explore/locations/214769832/sinagpore-city-singapore/
savannah-condo,https://www.instagram.com/explore/locations/694496/savannah-condo/
teletubbies-land,https://www.instagram.com/explore/locations/458671307/teletubbies-land/
homie,https://www.instagram.com/explore/locations/265508814/homie/
east-spring-secondary-school,https://www.instagram.com/explore/locations/498207797/east-spring-secondary-school/
at-the-sky,https://www.instagram.com/explore/locations/251964989/at-the-sky/
living-hope-methodist-church,https://www.instagram.com/explore/locations/2026497/living-hope-methodist-church/
mcdonalds-tampines-st-32,https://www.instagram.com/explore/locations/236166603/mcdonalds-tampines-st-32/
rejoyoso-malang-jatim,https://www.instagram.com/explore/locations/481696063/rejoyoso-malang-jatim/
kopitiam,https://www.instagram.com/explore/locations/4992930/kopitiam/
tampines-st-33,https://www.instagram.com/explore/locations/228336086/tampines-st-33/
hotel-angelo,https://www.instagram.com/explore/locations/563058352/hotel-angelo/
naseer-umar-pte-ltd,https://www.instagram.com/explore/locations/393246736/naseer-umar-pte-ltd/
p-a-r-a-d-i-s-e,https://www.instagram.com/explore/locations/324675707/p-a-r-a-d-i-s-e/
rindu-dia-uh,https://www.instagram.com/explore/locations/1501228676688636/rindu-dia-uh/
english-premier-league,https://www.instagram.com/explore/locations/994845851/english-premier-league/
city-of-townsville,https://www.instagram.com/explore/locations/648473561/city-of-townsville/
metta-welfare-association,https://www.instagram.com/explore/locations/237666157/metta-welfare-association/
istana-alf,https://www.instagram.com/explore/locations/1009520579/istana-alf/
my-favourite-place,https://www.instagram.com/explore/locations/362296165/my-favourite-place/
idk-where-i-am,https://www.instagram.com/explore/locations/268139936/idk-where-i-am/
changi-rise,https://www.instagram.com/explore/locations/408036/changi-rise/
aeypkas-room-simei-melville-park,https://www.instagram.com/explore/locations/1018474173/aeypkas-room-simei-melville-park/
fort-caning-park,https://www.instagram.com/explore/locations/320172340/fort-caning-park/
california-united-states,https://www.instagram.com/explore/locations/271468145/california-united-states/
changi-rise-condo,https://www.instagram.com/explore/locations/3518894/changi-rise-condo/
favorites-by-naz,https://www.instagram.com/explore/locations/533074914/favorites-by-naz/
the-eden,https://www.instagram.com/explore/locations/925830/the-eden/
east-spring-secondary-school,https://www.instagram.com/explore/locations/133751187248894/east-spring-secondary-school/
snow-city,https://www.instagram.com/explore/locations/340068059/snow-city/
birthday-city,https://www.instagram.com/explore/locations/1762346757356903/birthday-city/
east-spring-primary-school,https://www.instagram.com/explore/locations/3345122/east-spring-primary-school/
yms-edutech-math-science-psle-o-level-specialist-with-islamic-values,https://www.instagram.com/explore/locations/619034036/yms-edutech-math-science-psle-o-level-specialist-with-islamic-values/
east-spring-secondary-school,https://www.instagram.com/explore/locations/178221342199792/east-spring-secondary-school/
powerpuffgals-headquaters,https://www.instagram.com/explore/locations/429092495/powerpuffgals-headquaters/
nimble,https://www.instagram.com/explore/locations/325266561174597/nimble/
punggol-waterway,https://www.instagram.com/explore/locations/242693805/punggol-waterway/
ferozs-residence,https://www.instagram.com/explore/locations/472992092730213/ferozs-residence/
juara-village-tioman,https://www.instagram.com/explore/locations/943057964/juara-village-tioman/
arkham-asylum,https://www.instagram.com/explore/locations/119286318174458/arkham-asylum/
universal-studio-sentosa,https://www.instagram.com/explore/locations/270783361/universal-studio-sentosa/
tokyo-disneysea,https://www.instagram.com/explore/locations/453351512/tokyo-disneysea/
pulau-ubin-npcc-camp-resilence,https://www.instagram.com/explore/locations/246982838/pulau-ubin-npcc-camp-resilence/
rainy-season,https://www.instagram.com/explore/locations/505564681/rainy-season/
ur-moms-house,https://www.instagram.com/explore/locations/102245349857126/ur-moms-house/
artistori,https://www.instagram.com/explore/locations/326858666/artistori/
europe,https://www.instagram.com/explore/locations/156544987733936/europe/
a-cave,https://www.instagram.com/explore/locations/102872856460403/a-cave/
sentosa-imbiah-lookout,https://www.instagram.com/explore/locations/241343885/sentosa-imbiah-lookout/
1010s-homesweethome,https://www.instagram.com/explore/locations/355917976/1010s-homesweethome/
terminal-2-changi-airport,https://www.instagram.com/explore/locations/271677266/terminal-2-changi-airport/
pantat-kau,https://www.instagram.com/explore/locations/848535062/pantat-kau/
bilik-tidur-zzzzzzzz-_,https://www.instagram.com/explore/locations/260020920/bilik-tidur-zzzzzzzz-_/
east-spring-secondary-school,https://www.instagram.com/explore/locations/1064324/east-spring-secondary-school/
tampines-st-32,https://www.instagram.com/explore/locations/419978683/tampines-st-32/
gotham-city,https://www.instagram.com/explore/locations/1023896348/gotham-city/
tampines-mart,https://www.instagram.com/explore/locations/412164892/tampines-mart/
krabithailand,https://www.instagram.com/explore/locations/251195292/krabithailand/
mcdonalds-tampines-mart,https://www.instagram.com/explore/locations/36893008/mcdonalds-tampines-mart/
ngee-ann-secondary-school,https://www.instagram.com/explore/locations/108078095887025/ngee-ann-secondary-school/
metta-cafe,https://www.instagram.com/explore/locations/672150007/metta-cafe/
putri-kristal-services,https://www.instagram.com/explore/locations/616673284/putri-kristal-services/
iffah-muslimah-hair-beauty-salon,https://www.instagram.com/explore/locations/876429751/iffah-muslimah-hair-beauty-salon/
changi-chalet,https://www.instagram.com/explore/locations/1021998168/changi-chalet/
tampines-red-block,https://www.instagram.com/explore/locations/113811832028197/tampines-red-block/
love-land,https://www.instagram.com/explore/locations/234931976/love-land/
metta-school,https://www.instagram.com/explore/locations/101105751831187/metta-school/
yamari-by-tsujirihei-honten,https://www.instagram.com/explore/locations/1789062484549057/yamari-by-tsujirihei-honten/
bintan,https://www.instagram.com/explore/locations/1015439729/bintan/
tingkat-peramakan,https://www.instagram.com/explore/locations/107912614440268/tingkat-peramakan/
metta-school,https://www.instagram.com/explore/locations/1463744/metta-school/
tampines-avenue-7,https://www.instagram.com/explore/locations/581075/tampines-avenue-7/
blk-367-tampines-st-34,https://www.instagram.com/explore/locations/236653819/blk-367-tampines-st-34/
sentosa,https://www.instagram.com/explore/locations/482676204/sentosa/
blk-342-tampines-street-33,https://www.instagram.com/explore/locations/10983716/blk-342-tampines-street-33/
simei-rise,https://www.instagram.com/explore/locations/8258706/simei-rise/
