cityname,url
the-grandstand,https://www.instagram.com/explore/locations/219087868/the-grandstand/
ristorante-da-valentino,https://www.instagram.com/explore/locations/214418938/ristorante-da-valentino/
chatuchaksg,https://www.instagram.com/explore/locations/3151475548211279/chatuchaksg/
dutch-colony-coffee-co,https://www.instagram.com/explore/locations/77409550/dutch-colony-coffee-co/
the-social-outcast,https://www.instagram.com/explore/locations/279962942887427/the-social-outcast/
premier-pitch-turf-city,https://www.instagram.com/explore/locations/221898573/premier-pitch-turf-city/
wooftopia-singapore,https://www.instagram.com/explore/locations/102762727775491/wooftopia-singapore/
ah-yat-seafood-restaurant,https://www.instagram.com/explore/locations/1224672/ah-yat-seafood-restaurant/
turf-city,https://www.instagram.com/explore/locations/45231/turf-city/
centaurs-sports,https://www.instagram.com/explore/locations/253633945/centaurs-sports/
omakase-burger,https://www.instagram.com/explore/locations/39403648/omakase-burger/
gallop-stable-at-turf-club,https://www.instagram.com/explore/locations/543717722627060/gallop-stable-at-turf-club/
slappy-cakes-singapore,https://www.instagram.com/explore/locations/213102729/slappy-cakes-singapore/
turf-city,https://www.instagram.com/explore/locations/1027853192/turf-city/
ah-yat-seafood,https://www.instagram.com/explore/locations/282955409226573/ah-yat-seafood/
dancing-crab-singapore,https://www.instagram.com/explore/locations/257496002/dancing-crab-singapore/
kult-kafe,https://www.instagram.com/explore/locations/1024226365/kult-kafe/
tunglok-xihe-peking-duck,https://www.instagram.com/explore/locations/44146849/tunglok-xihe-peking-duck/
ristorante-da-valentino-at-turf-club,https://www.instagram.com/explore/locations/26593308/ristorante-da-valentino-at-turf-club/
wherever-you-want,https://www.instagram.com/explore/locations/655591757/wherever-you-want/
gallop-stable-at-horsecity,https://www.instagram.com/explore/locations/947361627/gallop-stable-at-horsecity/
bucketta-seafood-bar-and-bistro,https://www.instagram.com/explore/locations/109882301509750/bucketta-seafood-bar-and-bistro/
oceans-of-seafood,https://www.instagram.com/explore/locations/89970116/oceans-of-seafood/
owen-seafood-restaurant,https://www.instagram.com/explore/locations/802212/owen-seafood-restaurant/
hotchic2,https://www.instagram.com/explore/locations/109314520712475/hotchic2/
sunny-heights-at-turf-city,https://www.instagram.com/explore/locations/406633736/sunny-heights-at-turf-city/
tessarina,https://www.instagram.com/explore/locations/1222757/tessarina/
sunny-chong-dog-training-school,https://www.instagram.com/explore/locations/208059789206761/sunny-chong-dog-training-school/
brazilian-cultural-center-singapore,https://www.instagram.com/explore/locations/230218568/brazilian-cultural-center-singapore/
bar-bar-black-sheep,https://www.instagram.com/explore/locations/266788350918580/bar-bar-black-sheep/
barreworks-dance-studio,https://www.instagram.com/explore/locations/1504144132954464/barreworks-dance-studio/
cats-safari-singapore,https://www.instagram.com/explore/locations/296540100/cats-safari-singapore/
tribeca-bar-bistro-singapore,https://www.instagram.com/explore/locations/101024775287984/tribeca-bar-bistro-singapore/
valentinos,https://www.instagram.com/explore/locations/95717461/valentinos/
wao-fitness,https://www.instagram.com/explore/locations/101121325393650/wao-fitness/
turf-city,https://www.instagram.com/explore/locations/1035174233/turf-city/
merlion-sports-city,https://www.instagram.com/explore/locations/1009739257/merlion-sports-city/
pasta-fresca-da-salvatore,https://www.instagram.com/explore/locations/869019/pasta-fresca-da-salvatore/
100-turf-club-road,https://www.instagram.com/explore/locations/386562341846164/100-turf-club-road/
centaurs-turf-city,https://www.instagram.com/explore/locations/219780092/centaurs-turf-city/
pure-motors-pte-ltd,https://www.instagram.com/explore/locations/223214801023079/pure-motors-pte-ltd/
cafe-tailor-made,https://www.instagram.com/explore/locations/101524732453952/cafe-tailor-made/
kult-kafe,https://www.instagram.com/explore/locations/100839038018155/kult-kafe/
sweatbox-yoga,https://www.instagram.com/explore/locations/641363799/sweatbox-yoga/
lewu-cafe-sg,https://www.instagram.com/explore/locations/297552631/lewu-cafe-sg/
the-karting-arena,https://www.instagram.com/explore/locations/107924541575907/the-karting-arena/
blu-kouzina,https://www.instagram.com/explore/locations/1212431/blu-kouzina/
the-cavern-inn,https://www.instagram.com/explore/locations/109036990544830/the-cavern-inn/
cloud-forest-gardens-by-the-bay,https://www.instagram.com/explore/locations/268582283/cloud-forest-gardens-by-the-bay/
the-grandstand-at-turf-city,https://www.instagram.com/explore/locations/217237647/the-grandstand-at-turf-city/
lavitaco,https://www.instagram.com/explore/locations/107142595473001/lavitaco/
wao-fitness,https://www.instagram.com/explore/locations/103604152636011/wao-fitness/
dutch-colony-coffee-co-at-pasarbella,https://www.instagram.com/explore/locations/1113371665351972/dutch-colony-coffee-co-at-pasarbella/
pasarbella-turf-club-road,https://www.instagram.com/explore/locations/238821323/pasarbella-turf-club-road/
horsecity,https://www.instagram.com/explore/locations/867809/horsecity/
nazreen-ballroom,https://www.instagram.com/explore/locations/105202700946464/nazreen-ballroom/
on1-sports-bistro,https://www.instagram.com/explore/locations/322804994858609/on1-sports-bistro/
tunglok-xihe-peking-duck,https://www.instagram.com/explore/locations/105310994700106/tunglok-xihe-peking-duck/
