cityname,url
ulu-pandan-park-connector,https://www.instagram.com/explore/locations/242006377/ulu-pandan-park-connector/
siam-square-mookata-bukit-panjang-junction-10,https://www.instagram.com/explore/locations/1179691715429134/siam-square-mookata-bukit-panjang-junction-10/
on-the-way,https://www.instagram.com/explore/locations/310786658/on-the-way/
clementi-camp-2pdf-home-of-the-defenders,https://www.instagram.com/explore/locations/413860133/clementi-camp-2pdf-home-of-the-defenders/
the-trilinq,https://www.instagram.com/explore/locations/235109693534811/the-trilinq/
sunset-railway-cafe,https://www.instagram.com/explore/locations/1022291820/sunset-railway-cafe/
pusinggggggggggggggg,https://www.instagram.com/explore/locations/1029213976/pusinggggggggggggggg/
langit-mendung,https://www.instagram.com/explore/locations/943974876/langit-mendung/
clementi-fire-station-station-13,https://www.instagram.com/explore/locations/293614487/clementi-fire-station-station-13/
clementi-camp,https://www.instagram.com/explore/locations/1013651/clementi-camp/
regent-park-condojln-lempeng,https://www.instagram.com/explore/locations/240036270/regent-park-condojln-lempeng/
clementi-avenue-6,https://www.instagram.com/explore/locations/739152/clementi-avenue-6/
sunset-way-connector,https://www.instagram.com/explore/locations/819024899/sunset-way-connector/
baker-cook-singapore,https://www.instagram.com/explore/locations/100788574643436/baker-cook-singapore/
faber-drive,https://www.instagram.com/explore/locations/672841/faber-drive/
park-west-condominium,https://www.instagram.com/explore/locations/6653773/park-west-condominium/
f45-training-sunset-singapore,https://www.instagram.com/explore/locations/501608097326305/f45-training-sunset-singapore/
faber-crest,https://www.instagram.com/explore/locations/7274684/faber-crest/
nan-hua-pri-sch,https://www.instagram.com/explore/locations/407517616/nan-hua-pri-sch/
parc-clematis,https://www.instagram.com/explore/locations/328184741185259/parc-clematis/
my-stomach,https://www.instagram.com/explore/locations/143747249047240/my-stomach/
playdays,https://www.instagram.com/explore/locations/1562250/playdays/
sungei-ulu-pandan-the-river-by-our-home,https://www.instagram.com/explore/locations/250938495/sungei-ulu-pandan-the-river-by-our-home/
loona,https://www.instagram.com/explore/locations/107105758415311/loona/
nan-hua-primary-school,https://www.instagram.com/explore/locations/855722/nan-hua-primary-school/
sasural,https://www.instagram.com/explore/locations/211927555603114/sasural/
singapore-buddhist-youth-mission,https://www.instagram.com/explore/locations/765595064/singapore-buddhist-youth-mission/
masih-menunggu-dan-menunggu,https://www.instagram.com/explore/locations/401816184/masih-menunggu-dan-menunggu/
faber-heights,https://www.instagram.com/explore/locations/1862873/faber-heights/
blk-206-clementi-ave-6,https://www.instagram.com/explore/locations/320955657/blk-206-clementi-ave-6/
classic-cakes-sunset-way,https://www.instagram.com/explore/locations/234733781/classic-cakes-sunset-way/
menunggu,https://www.instagram.com/explore/locations/272574850/menunggu/
parc-clematis-by-singhaiyi-group,https://www.instagram.com/explore/locations/336875853648282/parc-clematis-by-singhaiyi-group/
sunset-close,https://www.instagram.com/explore/locations/9422146/sunset-close/
clementi-gateway,https://www.instagram.com/explore/locations/288609864669259/clementi-gateway/
jalan-jalan-cuci-mata,https://www.instagram.com/explore/locations/404057288/jalan-jalan-cuci-mata/
logishubclementi,https://www.instagram.com/explore/locations/11864223/logishubclementi/
regent-park-condominium,https://www.instagram.com/explore/locations/2936047/regent-park-condominium/
tunglok-heen,https://www.instagram.com/explore/locations/1432213257016071/tunglok-heen/
ulu-pandan-canal-sg,https://www.instagram.com/explore/locations/1034514840/ulu-pandan-canal-sg/
esperar,https://www.instagram.com/explore/locations/102613604884365/esperar/
malam-mingguan-yuk,https://www.instagram.com/explore/locations/896446399/malam-mingguan-yuk/
clementi-camp-8sir,https://www.instagram.com/explore/locations/383431469/clementi-camp-8sir/
sunset-way-playground,https://www.instagram.com/explore/locations/812304/sunset-way-playground/
blk-303-clementi-ave-4,https://www.instagram.com/explore/locations/2130675/blk-303-clementi-ave-4/
clementi-camp,https://www.instagram.com/explore/locations/176598902471866/clementi-camp/
buahdua-sumedang,https://www.instagram.com/explore/locations/1024476520/buahdua-sumedang/
clementi-loop,https://www.instagram.com/explore/locations/476041/clementi-loop/
freesia-woods,https://www.instagram.com/explore/locations/271599893/freesia-woods/
faber-park,https://www.instagram.com/explore/locations/7177618/faber-park/
kitkat,https://www.instagram.com/explore/locations/389346641263023/kitkat/
parc-clematis,https://www.instagram.com/explore/locations/106906348474244/parc-clematis/
tgif-studio-sg,https://www.instagram.com/explore/locations/1138050656313947/tgif-studio-sg/
sunset-terrace,https://www.instagram.com/explore/locations/518574359/sunset-terrace/
happy-retirement,https://www.instagram.com/explore/locations/108933323880306/happy-retirement/
sunset-view,https://www.instagram.com/explore/locations/792240438/sunset-view/
lala-world,https://www.instagram.com/explore/locations/116036082420449/lala-world/
park-west,https://www.instagram.com/explore/locations/6033513/park-west/
toll-asia-clementi-loop,https://www.instagram.com/explore/locations/317522820/toll-asia-clementi-loop/
hundred-trees-condominium,https://www.instagram.com/explore/locations/214895409/hundred-trees-condominium/
yi-ki-door-renovation,https://www.instagram.com/explore/locations/1033195313407000/yi-ki-door-renovation/
toast-box,https://www.instagram.com/explore/locations/131434397619293/toast-box/
the-trilinq,https://www.instagram.com/explore/locations/398551696885291/the-trilinq/
faber-heights-clementi-avenue-6-singapore,https://www.instagram.com/explore/locations/617340981659480/faber-heights-clementi-avenue-6-singapore/
fitness-first-paragon,https://www.instagram.com/explore/locations/892613184252515/fitness-first-paragon/
sankyu-s-pte-ltd,https://www.instagram.com/explore/locations/37175558/sankyu-s-pte-ltd/
sunset-close-singapore,https://www.instagram.com/explore/locations/624197587749611/sunset-close-singapore/
1-clementi-loop,https://www.instagram.com/explore/locations/539789/1-clementi-loop/
singarapuram-mallanur-kuppam-chithoor,https://www.instagram.com/explore/locations/195438723976708/singarapuram-mallanur-kuppam-chithoor/
a-one-signature-raffles-city,https://www.instagram.com/explore/locations/111702224295779/a-one-signature-raffles-city/
fire-station-clementi,https://www.instagram.com/explore/locations/354726997/fire-station-clementi/
fairfield-methodist-primary,https://www.instagram.com/explore/locations/311230009352703/fairfield-methodist-primary/
q-rapopo,https://www.instagram.com/explore/locations/1006698027/q-rapopo/
the-road-less-travelled,https://www.instagram.com/explore/locations/111782840200976/the-road-less-travelled/
clementi-camp-2-pdf,https://www.instagram.com/explore/locations/383537003/clementi-camp-2-pdf/
lagi-males,https://www.instagram.com/explore/locations/694729151/lagi-males/
home,https://www.instagram.com/explore/locations/1604657176302493/home/
jalan-lempeng,https://www.instagram.com/explore/locations/391055682/jalan-lempeng/
piu-piu,https://www.instagram.com/explore/locations/118314856741979/piu-piu/
the-singapore-island-country-club,https://www.instagram.com/explore/locations/267266438/the-singapore-island-country-club/
pandangan-pertama,https://www.instagram.com/explore/locations/590155725/pandangan-pertama/
semoga-kau-bahagia,https://www.instagram.com/explore/locations/631856199/semoga-kau-bahagia/
barepilates,https://www.instagram.com/explore/locations/104901021226577/barepilates/
playdays-playschool-pte-ltd,https://www.instagram.com/explore/locations/239697163/playdays-playschool-pte-ltd/
allhome-sg-clementi-northarc,https://www.instagram.com/explore/locations/112256073511077/allhome-sg-clementi-northarc/
clementi-ave6-blk-202,https://www.instagram.com/explore/locations/362340676/clementi-ave6-blk-202/
