cityname,url
labrador-nature-reserve,https://www.instagram.com/explore/locations/432208/labrador-nature-reserve/
the-three-peacocks-at-labrador-park,https://www.instagram.com/explore/locations/198629773919434/the-three-peacocks-at-labrador-park/
mapletree-business-city,https://www.instagram.com/explore/locations/1104898/mapletree-business-city/
google-asia-pacific-hq,https://www.instagram.com/explore/locations/1159012174166709/google-asia-pacific-hq/
google-asia-pacific-hq,https://www.instagram.com/explore/locations/111431056980747/google-asia-pacific-hq/
naked-finn,https://www.instagram.com/explore/locations/46637905/naked-finn/
tamarind-hill-singapore,https://www.instagram.com/explore/locations/235454311/tamarind-hill-singapore/
pasir-panjang-power-station,https://www.instagram.com/explore/locations/125066288062436/pasir-panjang-power-station/
arc-alexandra-retail-centre,https://www.instagram.com/explore/locations/256838428/arc-alexandra-retail-centre/
labrador-park,https://www.instagram.com/explore/locations/8255383/labrador-park/
borudasg,https://www.instagram.com/explore/locations/110340041124275/borudasg/
lux,https://www.instagram.com/explore/locations/640618062/lux/
hopscotch,https://www.instagram.com/explore/locations/105287821653735/hopscotch/
brass-lion-distillery,https://www.instagram.com/explore/locations/779311062253287/brass-lion-distillery/
himawari,https://www.instagram.com/explore/locations/237687448/himawari/
west-coast-singapore,https://www.instagram.com/explore/locations/273544549/west-coast-singapore/
labrador-jetty,https://www.instagram.com/explore/locations/176391496266718/labrador-jetty/
burgerlabo,https://www.instagram.com/explore/locations/824612314566365/burgerlabo/
labrador-park,https://www.instagram.com/explore/locations/945198001/labrador-park/
ntu-centre-for-contemporary-art-singapore,https://www.instagram.com/explore/locations/236882559/ntu-centre-for-contemporary-art-singapore/
villa-samadhi-singapore,https://www.instagram.com/explore/locations/1033266000/villa-samadhi-singapore/
the-academy-of-singapore-teachers,https://www.instagram.com/explore/locations/218428220/the-academy-of-singapore-teachers/
google-singapore-maple-business-city-ii,https://www.instagram.com/explore/locations/1201450633252301/google-singapore-maple-business-city-ii/
tbwasingapore,https://www.instagram.com/explore/locations/235270280/tbwasingapore/
