cityname,url
-outer-space-,https://www.instagram.com/explore/locations/289513405/-outer-space-/
jurong-east-stadium,https://www.instagram.com/explore/locations/2629856/jurong-east-stadium/
amped-trampoline-park-singapore,https://www.instagram.com/explore/locations/214072101/amped-trampoline-park-singapore/
chinese-garden-jurong-east,https://www.instagram.com/explore/locations/240525346/chinese-garden-jurong-east/
johor-bahru-city-malaysia,https://www.instagram.com/explore/locations/238790215/johor-bahru-city-malaysia/
enaq,https://www.instagram.com/explore/locations/235376334/enaq/
canadian-international-school,https://www.instagram.com/explore/locations/1299426363414413/canadian-international-school/
jurong-polyclinic,https://www.instagram.com/explore/locations/376677485/jurong-polyclinic/
chinese-garden-mrt-station,https://www.instagram.com/explore/locations/11421468/chinese-garden-mrt-station/
singapore-chinese-garden,https://www.instagram.com/explore/locations/611713277/singapore-chinese-garden/
jurong-east-swimming-complex,https://www.instagram.com/explore/locations/219009427/jurong-east-swimming-complex/
parc-oasis,https://www.instagram.com/explore/locations/1239283/parc-oasis/
the-usual-place,https://www.instagram.com/explore/locations/971190831/the-usual-place/
the-mayfair,https://www.instagram.com/explore/locations/8331483/the-mayfair/
the-ride-side-skate-cafe,https://www.instagram.com/explore/locations/111790040750935/the-ride-side-skate-cafe/
yuhua-market-hawker-centre,https://www.instagram.com/explore/locations/22609608/yuhua-market-hawker-centre/
enaq-the-prata-shop,https://www.instagram.com/explore/locations/1078304888875668/enaq-the-prata-shop/
ichiban-sushi,https://www.instagram.com/explore/locations/846009255768169/ichiban-sushi/
joo-siah-bak-koot-teh,https://www.instagram.com/explore/locations/834914477/joo-siah-bak-koot-teh/
yuhua-market-hawker-centre,https://www.instagram.com/explore/locations/103146631619876/yuhua-market-hawker-centre/
amped-trampoline-jurong,https://www.instagram.com/explore/locations/241141293/amped-trampoline-jurong/
yoha-jurong,https://www.instagram.com/explore/locations/1992339/yoha-jurong/
jurong-lake,https://www.instagram.com/explore/locations/868174634/jurong-lake/
jurong-east-sports-complex,https://www.instagram.com/explore/locations/229012014/jurong-east-sports-complex/
bold-at-work,https://www.instagram.com/explore/locations/185621311940875/bold-at-work/
le-meridien-chennai,https://www.instagram.com/explore/locations/533815820019889/le-meridien-chennai/
city-hall,https://www.instagram.com/explore/locations/308114049/city-hall/
parc-oasis-singapore,https://www.instagram.com/explore/locations/221869954/parc-oasis-singapore/
