cityname,url
pie-expressway,https://www.instagram.com/explore/locations/248735991/pie-expressway/
blk-561b-jurong-west-street-42,https://www.instagram.com/explore/locations/133018577401468/blk-561b-jurong-west-street-42/
jurong-west-st-42,https://www.instagram.com/explore/locations/438991646/jurong-west-st-42/
great-wall-of-china,https://www.instagram.com/explore/locations/2050637295249308/great-wall-of-china/
durian-mpire-by-717-trading,https://www.instagram.com/explore/locations/942780239/durian-mpire-by-717-trading/
jurong-east-ntuc,https://www.instagram.com/explore/locations/1018236269/jurong-east-ntuc/
qq-rice,https://www.instagram.com/explore/locations/22513861/qq-rice/
hong-kah-village-singapore,https://www.instagram.com/explore/locations/1011159416/hong-kah-village-singapore/
turtle-bay-resorts,https://www.instagram.com/explore/locations/626154499/turtle-bay-resorts/
copen-grand-executive-condominium,https://www.instagram.com/explore/locations/207016812800041/copen-grand-executive-condominium/
jurong-west-st42,https://www.instagram.com/explore/locations/778052117/jurong-west-st42/
lim-chu-kang-cemetery,https://www.instagram.com/explore/locations/1016514174/lim-chu-kang-cemetery/
soon-lee-dr,https://www.instagram.com/explore/locations/286811654752881/soon-lee-dr/
jun-wahs-residence,https://www.instagram.com/explore/locations/2218831521681963/jun-wahs-residence/
green-haven,https://www.instagram.com/explore/locations/670121181/green-haven/
tuas-second-link,https://www.instagram.com/explore/locations/276269015/tuas-second-link/
penantian-harapanq,https://www.instagram.com/explore/locations/130481720425188/penantian-harapanq/
galo-locsin-st,https://www.instagram.com/explore/locations/851986964840477/galo-locsin-st/
kuishibo-resturant,https://www.instagram.com/explore/locations/153594648135155/kuishibo-resturant/
jurong-point-urban-face-and-body-studio-for-men,https://www.instagram.com/explore/locations/1016532876/jurong-point-urban-face-and-body-studio-for-men/
otw-to-ccab,https://www.instagram.com/explore/locations/765107365/otw-to-ccab/
lepak,https://www.instagram.com/explore/locations/1008473135/lepak/
