cityname,url
nanyang-technological-university-singapore,https://www.instagram.com/explore/locations/211453/nanyang-technological-university-singapore/
national-institute-of-education-nie,https://www.instagram.com/explore/locations/57040/national-institute-of-education-nie/
ntu-school-of-art-design-and-media-adm,https://www.instagram.com/explore/locations/224763054/ntu-school-of-art-design-and-media-adm/
nanyang-auditorium-nanyang-technological-university,https://www.instagram.com/explore/locations/466591/nanyang-auditorium-nanyang-technological-university/
the-hive,https://www.instagram.com/explore/locations/307373099853962/the-hive/
jurong-west-sports-and-recreation-centre,https://www.instagram.com/explore/locations/809143/jurong-west-sports-and-recreation-centre/
the-hive,https://www.instagram.com/explore/locations/987813166/the-hive/
lepakk,https://www.instagram.com/explore/locations/376765449/lepakk/
ntu-sports-and-recreation-centre,https://www.instagram.com/explore/locations/3493435/ntu-sports-and-recreation-centre/
a-hot-hideout,https://www.instagram.com/explore/locations/114654934877844/a-hot-hideout/
inmyworld,https://www.instagram.com/explore/locations/612960167/inmyworld/
rawr-3,https://www.instagram.com/explore/locations/1016641405/rawr-3/
nanyang-technological-university-ntu,https://www.instagram.com/explore/locations/418451799/nanyang-technological-university-ntu/
thow-kwang-pottery-jungle,https://www.instagram.com/explore/locations/1523988/thow-kwang-pottery-jungle/
nanyang-business-school,https://www.instagram.com/explore/locations/758900841/nanyang-business-school/
ntu-yunnan-garden,https://www.instagram.com/explore/locations/311695552/ntu-yunnan-garden/
north-spine-ntu,https://www.instagram.com/explore/locations/214035664/north-spine-ntu/
tuas-checkpoint,https://www.instagram.com/explore/locations/15565163/tuas-checkpoint/
archipelago-creamery,https://www.instagram.com/explore/locations/1015197034/archipelago-creamery/
nanyang-technological-university-auditorium,https://www.instagram.com/explore/locations/352697228/nanyang-technological-university-auditorium/
jurong-west-st-71,https://www.instagram.com/explore/locations/6021540/jurong-west-st-71/
gek-poh-shopping-centre,https://www.instagram.com/explore/locations/237780204/gek-poh-shopping-centre/
anytime-fitness-jurong-west-nanyang-community-club,https://www.instagram.com/explore/locations/434847127/anytime-fitness-jurong-west-nanyang-community-club/
activesg-jurong-west-sports-centre,https://www.instagram.com/explore/locations/438258858/activesg-jurong-west-sports-centre/
north-spine,https://www.instagram.com/explore/locations/269431667311828/north-spine/
the-floravale,https://www.instagram.com/explore/locations/1147068/the-floravale/
pioneer-hall-at-ntu,https://www.instagram.com/explore/locations/467215196/pioneer-hall-at-ntu/
ntu-canteen-2,https://www.instagram.com/explore/locations/452635/ntu-canteen-2/
ntu-hall-2,https://www.instagram.com/explore/locations/609574/ntu-hall-2/
mcdonalds-pioneer-mall,https://www.instagram.com/explore/locations/220373280/mcdonalds-pioneer-mall/
hall-of-residence-13-nanyang-technological-university,https://www.instagram.com/explore/locations/1277264/hall-of-residence-13-nanyang-technological-university/
a-hot-hideout,https://www.instagram.com/explore/locations/116803463523570/a-hot-hideout/
just-the-two-of-us,https://www.instagram.com/explore/locations/303568411/just-the-two-of-us/
cutiepie,https://www.instagram.com/explore/locations/101412671499785/cutiepie/
the-hives-library-ntu,https://www.instagram.com/explore/locations/1014350715269439/the-hives-library-ntu/
saturday,https://www.instagram.com/explore/locations/288219615147195/saturday/
ntu-hall-of-residence-8,https://www.instagram.com/explore/locations/213246002/ntu-hall-of-residence-8/
the-arc-at-ntu,https://www.instagram.com/explore/locations/179541122660712/the-arc-at-ntu/
westwood-residences,https://www.instagram.com/explore/locations/945730160/westwood-residences/
connect71,https://www.instagram.com/explore/locations/109906637050743/connect71/
north-hill,https://www.instagram.com/explore/locations/1266886240145341/north-hill/
