cityname,url
nus-national-university-of-singapore,https://www.instagram.com/explore/locations/335002830203590/nus-national-university-of-singapore/
nus-business-school-national-university-of-singapore,https://www.instagram.com/explore/locations/228298215/nus-business-school-national-university-of-singapore/
nuss-kent-ridge-guild-house,https://www.instagram.com/explore/locations/336001/nuss-kent-ridge-guild-house/
nus-faculty-of-arts-and-social-sciences,https://www.instagram.com/explore/locations/225570829/nus-faculty-of-arts-and-social-sciences/
nus-computing,https://www.instagram.com/explore/locations/235567984/nus-computing/
prive,https://www.instagram.com/explore/locations/254544635/prive/
the-deck-fass-canteen-nus,https://www.instagram.com/explore/locations/218379520/the-deck-fass-canteen-nus/
shaw-foundation-alumni-house,https://www.instagram.com/explore/locations/927963/shaw-foundation-alumni-house/
miao,https://www.instagram.com/explore/locations/237424649954817/miao/
slippery-slope,https://www.instagram.com/explore/locations/245571556313849/slippery-slope/
mochtar-riady-building,https://www.instagram.com/explore/locations/301800/mochtar-riady-building/
the-spread,https://www.instagram.com/explore/locations/694840427363350/the-spread/
reedz-cafe,https://www.instagram.com/explore/locations/216344608/reedz-cafe/
the-scholar-chinese-restaurant,https://www.instagram.com/explore/locations/619069506/the-scholar-chinese-restaurant/
australia,https://www.instagram.com/explore/locations/691229558/australia/
nus-business-canteen,https://www.instagram.com/explore/locations/28636829/nus-business-canteen/
national-university-of-singapore-school-of-computing,https://www.instagram.com/explore/locations/254698/national-university-of-singapore-school-of-computing/
nuss-the-graduate-club-national-university-of-singapore,https://www.instagram.com/explore/locations/274951128/nuss-the-graduate-club-national-university-of-singapore/
asia-research-institute-nus,https://www.instagram.com/explore/locations/563802981/asia-research-institute-nus/
nus-theatrette-lt13,https://www.instagram.com/explore/locations/244766990/nus-theatrette-lt13/
cafe-on-the-ridge,https://www.instagram.com/explore/locations/731586273886085/cafe-on-the-ridge/
nuss-kent-ridge-guild-house,https://www.instagram.com/explore/locations/2023640597906331/nuss-kent-ridge-guild-house/
nuss,https://www.instagram.com/explore/locations/351570848/nuss/
the-scholar-nuss-guild-house,https://www.instagram.com/explore/locations/226864460/the-scholar-nuss-guild-house/
nus-geography,https://www.instagram.com/explore/locations/14761048/nus-geography/
cafe-on-the-ridge,https://www.instagram.com/explore/locations/1116167/cafe-on-the-ridge/
mochtar-riady-building-national-university-of-singapore,https://www.instagram.com/explore/locations/557573302/mochtar-riady-building-national-university-of-singapore/
the-university-club-lounge-dining-rooms,https://www.instagram.com/explore/locations/221497613/the-university-club-lounge-dining-rooms/
kent-ridge-guild-house-nus,https://www.instagram.com/explore/locations/241863558/kent-ridge-guild-house-nus/
my-heart-3,https://www.instagram.com/explore/locations/152244474838265/my-heart-3/
the-university-club,https://www.instagram.com/explore/locations/4848035/the-university-club/
nus-guild-house,https://www.instagram.com/explore/locations/4844211/nus-guild-house/
hon-sui-sen-memorial-library-nus-business-school,https://www.instagram.com/explore/locations/239927227/hon-sui-sen-memorial-library-nus-business-school/
nus-biz-2,https://www.instagram.com/explore/locations/459540/nus-biz-2/
the-scholar,https://www.instagram.com/explore/locations/1971641/the-scholar/
nus-as8,https://www.instagram.com/explore/locations/1787702791516765/nus-as8/
nuss-kent-ridge-guild-house-gym,https://www.instagram.com/explore/locations/266496978/nuss-kent-ridge-guild-house-gym/
nus-arts-canteen,https://www.instagram.com/explore/locations/32120290/nus-arts-canteen/
nus-department-of-communications-new-media,https://www.instagram.com/explore/locations/475824604/nus-department-of-communications-new-media/
