cityname,url
jurong-east-singapore,https://www.instagram.com/explore/locations/235467912/jurong-east-singapore/
westgate,https://www.instagram.com/explore/locations/213090823/westgate/
jem,https://www.instagram.com/explore/locations/213536843/jem/
jcube,https://www.instagram.com/explore/locations/10284376/jcube/
devan-nair-inst-at-jurong-gateway,https://www.instagram.com/explore/locations/1031513790/devan-nair-inst-at-jurong-gateway/
the-rink,https://www.instagram.com/explore/locations/214216963/the-rink/
flippers-singapore,https://www.instagram.com/explore/locations/111190557058914/flippers-singapore/
tan-yu-westgate,https://www.instagram.com/explore/locations/356285978660009/tan-yu-westgate/
miam-miam-westgate,https://www.instagram.com/explore/locations/214825821/miam-miam-westgate/
westgate,https://www.instagram.com/explore/locations/272719943/westgate/
beauty-in-the-pot,https://www.instagram.com/explore/locations/101060345070982/beauty-in-the-pot/
genting-hotel-jurong,https://www.instagram.com/explore/locations/729169090/genting-hotel-jurong/
din-tai-fung-at-jem,https://www.instagram.com/explore/locations/216827288/din-tai-fung-at-jem/
paradise-dynasty-at-westgate-mall,https://www.instagram.com/explore/locations/219770949/paradise-dynasty-at-westgate-mall/
don-don-donki-singapore,https://www.instagram.com/explore/locations/104588621074121/don-don-donki-singapore/
lady-m-singapore,https://www.instagram.com/explore/locations/1659432724369826/lady-m-singapore/
tipsy-bunny,https://www.instagram.com/explore/locations/629905094323757/tipsy-bunny/
jem,https://www.instagram.com/explore/locations/111612401347478/jem/
jurong-regional-library,https://www.instagram.com/explore/locations/1026549367/jurong-regional-library/
heytea,https://www.instagram.com/explore/locations/100585234665284/heytea/
abc-cooking-studio-singapore,https://www.instagram.com/explore/locations/459564008108613/abc-cooking-studio-singapore/
shaburi-kintan-buffet,https://www.instagram.com/explore/locations/1585250418440317/shaburi-kintan-buffet/
haidilao,https://www.instagram.com/explore/locations/115953726923028/haidilao/
world-farm,https://www.instagram.com/explore/locations/1442114/world-farm/
cathay-cineplex-jem,https://www.instagram.com/explore/locations/222027766/cathay-cineplex-jem/
oppa-korean-bbq-buffet-jcube,https://www.instagram.com/explore/locations/113653243373720/oppa-korean-bbq-buffet-jcube/
bloodbankwestgate-tower,https://www.instagram.com/explore/locations/382384122590949/bloodbankwestgate-tower/
nunsaram-korean-dessert-cafe,https://www.instagram.com/explore/locations/249031192372960/nunsaram-korean-dessert-cafe/
collins-grille,https://www.instagram.com/explore/locations/1784111378357110/collins-grille/
chateraise,https://www.instagram.com/explore/locations/1160966920738878/chateraise/
tsui-wah-singapore,https://www.instagram.com/explore/locations/107863001473096/tsui-wah-singapore/
nipong-naepong-singapore,https://www.instagram.com/explore/locations/266110263919729/nipong-naepong-singapore/
ng-teng-fong-general-hospital,https://www.instagram.com/explore/locations/890325064466095/ng-teng-fong-general-hospital/
jurong-east-mrt,https://www.instagram.com/explore/locations/949819606/jurong-east-mrt/
paris-baguette-at-jem,https://www.instagram.com/explore/locations/214427338/paris-baguette-at-jem/
ikea-jem,https://www.instagram.com/explore/locations/107395158170670/ikea-jem/
the-rink-jcube,https://www.instagram.com/explore/locations/11346180/the-rink-jcube/
yunnans,https://www.instagram.com/explore/locations/104680194300077/yunnans/
timezone-westgate,https://www.instagram.com/explore/locations/105534004153939/timezone-westgate/
-shi-jian-hot-pot,https://www.instagram.com/explore/locations/609027479535928/-shi-jian-hot-pot/
aburi-en,https://www.instagram.com/explore/locations/101161178128224/aburi-en/
hanok-by-masizzim-singapore,https://www.instagram.com/explore/locations/112987573416649/hanok-by-masizzim-singapore/
saizeriya-at-jcube,https://www.instagram.com/explore/locations/1019209680/saizeriya-at-jcube/
ng-teng-fong-general-hospital,https://www.instagram.com/explore/locations/870383653/ng-teng-fong-general-hospital/
devan-nair-institute,https://www.instagram.com/explore/locations/111411118/devan-nair-institute/
yakiniku-go,https://www.instagram.com/explore/locations/104487585294240/yakiniku-go/
cathay-cineplexes,https://www.instagram.com/explore/locations/2413603518690484/cathay-cineplexes/
marche-movenpick-jem,https://www.instagram.com/explore/locations/213619901/marche-movenpick-jem/
soi-thai-soi-nice-at-jem,https://www.instagram.com/explore/locations/503341650105735/soi-thai-soi-nice-at-jem/
go-ang-pratunam-chicken-rice-at-jem,https://www.instagram.com/explore/locations/432446267600843/go-ang-pratunam-chicken-rice-at-jem/
beng-hiang-restaurant,https://www.instagram.com/explore/locations/223233906/beng-hiang-restaurant/
marche-movenpick-singapore,https://www.instagram.com/explore/locations/115791553138108/marche-movenpick-singapore/
sushi-tei,https://www.instagram.com/explore/locations/102685818131679/sushi-tei/
ikea-jem,https://www.instagram.com/explore/locations/103746971868722/ikea-jem/
dian-xiao-er,https://www.instagram.com/explore/locations/568839718/dian-xiao-er/
tonkatsu-by-ma-maison,https://www.instagram.com/explore/locations/1876310245816167/tonkatsu-by-ma-maison/
shake-shack-singapore,https://www.instagram.com/explore/locations/102435062327876/shake-shack-singapore/
song-fa-bak-kut-teh-at-jem,https://www.instagram.com/explore/locations/531362910394599/song-fa-bak-kut-teh-at-jem/
poppy-pops,https://www.instagram.com/explore/locations/1033139927/poppy-pops/
jurong-east-mall-jem,https://www.instagram.com/explore/locations/222081427/jurong-east-mall-jem/
ichiban-boshi,https://www.instagram.com/explore/locations/236087486/ichiban-boshi/
ippudo-at-westgate,https://www.instagram.com/explore/locations/217942239/ippudo-at-westgate/
madlygood,https://www.instagram.com/explore/locations/104542177642830/madlygood/
eighteen-chefs,https://www.instagram.com/explore/locations/313412335703064/eighteen-chefs/
beauty-in-a-pot,https://www.instagram.com/explore/locations/1030271033/beauty-in-a-pot/
dookki,https://www.instagram.com/explore/locations/104201838497249/dookki/
ng-teng-fong-tower-a,https://www.instagram.com/explore/locations/631258650865066/ng-teng-fong-tower-a/
the-coffee-bean-tea-leaf-at-jem,https://www.instagram.com/explore/locations/226992399/the-coffee-bean-tea-leaf-at-jem/
jurong-east-mrt-station,https://www.instagram.com/explore/locations/505057650/jurong-east-mrt-station/
jem,https://www.instagram.com/explore/locations/108907734683282/jem/
sanook-kitchen-at-jcube,https://www.instagram.com/explore/locations/110592567226085/sanook-kitchen-at-jcube/
