cityname,url
al-mukminin-mosque,https://www.instagram.com/explore/locations/1019974557/al-mukminin-mosque/
aimancafejurong-east,https://www.instagram.com/explore/locations/236728449/aimancafejurong-east/
waffl,https://www.instagram.com/explore/locations/109069135041494/waffl/
sri-arulmigu-murugan-temple,https://www.instagram.com/explore/locations/18661372/sri-arulmigu-murugan-temple/
tcb-grill,https://www.instagram.com/explore/locations/513162840/tcb-grill/
zai-shun-curry-fish-head,https://www.instagram.com/explore/locations/111502127217091/zai-shun-curry-fish-head/
jurong-east-street-st-21-singapore,https://www.instagram.com/explore/locations/280224079/jurong-east-street-st-21-singapore/
yuhua-community-club,https://www.instagram.com/explore/locations/2707247/yuhua-community-club/
chocolate-hills-bohol-philippines,https://www.instagram.com/explore/locations/256586938/chocolate-hills-bohol-philippines/
padi-emas-sg,https://www.instagram.com/explore/locations/1025902093/padi-emas-sg/
newton-food-center,https://www.instagram.com/explore/locations/881450208/newton-food-center/
zai-shun-curry-fish-head-seafood,https://www.instagram.com/explore/locations/1478046/zai-shun-curry-fish-head-seafood/
yuhua-village-market,https://www.instagram.com/explore/locations/237837862/yuhua-village-market/
jidai-restaurant,https://www.instagram.com/explore/locations/112718097093667/jidai-restaurant/
the-carving-board,https://www.instagram.com/explore/locations/1027881265/the-carving-board/
shuqun-secondary-school,https://www.instagram.com/explore/locations/499755532/shuqun-secondary-school/
jurong-east-yuhua-village,https://www.instagram.com/explore/locations/654129291/jurong-east-yuhua-village/
jurong-east-blk-254-hawker-centre,https://www.instagram.com/explore/locations/274106629/jurong-east-blk-254-hawker-centre/
tiong-bahru-pau,https://www.instagram.com/explore/locations/3510578/tiong-bahru-pau/
deannas-kitchen,https://www.instagram.com/explore/locations/787091044830718/deannas-kitchen/
jem-mall-jurong-east-singapore,https://www.instagram.com/explore/locations/405875740/jem-mall-jurong-east-singapore/
mcdonalds-jurong-east-24,https://www.instagram.com/explore/locations/244128679/mcdonalds-jurong-east-24/
jurong-east-new-town,https://www.instagram.com/explore/locations/1011293889/jurong-east-new-town/
the-carving-board,https://www.instagram.com/explore/locations/320625372090532/the-carving-board/
jurong-east-murugan-temple-singapore,https://www.instagram.com/explore/locations/739841261/jurong-east-murugan-temple-singapore/
westcoast,https://www.instagram.com/explore/locations/1034557499/westcoast/
aiman-cafe,https://www.instagram.com/explore/locations/491494/aiman-cafe/
toh-guan-park,https://www.instagram.com/explore/locations/3346624/toh-guan-park/
capella-hotel-singapore,https://www.instagram.com/explore/locations/240659071/capella-hotel-singapore/
bangkok-street-mookata-toh-guan,https://www.instagram.com/explore/locations/101459438301877/bangkok-street-mookata-toh-guan/
the-bread-gang,https://www.instagram.com/explore/locations/1025694720/the-bread-gang/
numsaram-korea-dessert,https://www.instagram.com/explore/locations/1008953053/numsaram-korea-dessert/
sisterscookies-by-chef-suriani-samad,https://www.instagram.com/explore/locations/412026975/sisterscookies-by-chef-suriani-samad/
