cityname,url
lakeside-mrt-station,https://www.instagram.com/explore/locations/10878123/lakeside-mrt-station/
bangkok-street-mookata-jurong-west,https://www.instagram.com/explore/locations/482707334/bangkok-street-mookata-jurong-west/
jurong-west-st42-singapore,https://www.instagram.com/explore/locations/246863413/jurong-west-st42-singapore/
ooty-gudalur,https://www.instagram.com/explore/locations/705964333/ooty-gudalur/
fuhua-secondary-school-fhss,https://www.instagram.com/explore/locations/236274857/fuhua-secondary-school-fhss/
the-lakeshore-condominiums,https://www.instagram.com/explore/locations/300814840/the-lakeshore-condominiums/
takagi-ramen,https://www.instagram.com/explore/locations/110374650432286/takagi-ramen/
lakeville-singapore,https://www.instagram.com/explore/locations/391558097681477/lakeville-singapore/
somewhere-in-your-heart,https://www.instagram.com/explore/locations/364986026865098/somewhere-in-your-heart/
pang-zi-durian,https://www.instagram.com/explore/locations/351574612198832/pang-zi-durian/
hong-kah-secondary-school,https://www.instagram.com/explore/locations/167000376749441/hong-kah-secondary-school/
hua-yi-secondary-school,https://www.instagram.com/explore/locations/2347489/hua-yi-secondary-school/
yuhua-secondary-school,https://www.instagram.com/explore/locations/39690/yuhua-secondary-school/
takagi-ramen,https://www.instagram.com/explore/locations/154617218571130/takagi-ramen/
mcdonalds-jurong-green-cc,https://www.instagram.com/explore/locations/35806654/mcdonalds-jurong-green-cc/
496-coffeeshop,https://www.instagram.com/explore/locations/221442544/496-coffeeshop/
jurong-lake-gardens,https://www.instagram.com/explore/locations/2315086868813388/jurong-lake-gardens/
shobas-bridal-makeover,https://www.instagram.com/explore/locations/1035249009/shobas-bridal-makeover/
hong-kah-secondary-school,https://www.instagram.com/explore/locations/513355011/hong-kah-secondary-school/
jurong-west-ave-1,https://www.instagram.com/explore/locations/2440379/jurong-west-ave-1/
lakeside-singapore,https://www.instagram.com/explore/locations/316717785/lakeside-singapore/
go-lok-lok,https://www.instagram.com/explore/locations/104872781442103/go-lok-lok/
jurong-west-street-41-singapore,https://www.instagram.com/explore/locations/251094789/jurong-west-street-41-singapore/
the-lakeshorejurong-west-street-41singapore-condominium,https://www.instagram.com/explore/locations/283028605/the-lakeshorejurong-west-street-41singapore-condominium/
jurong-west-st-41,https://www.instagram.com/explore/locations/278564402/jurong-west-st-41/
kim-lotus-dessert,https://www.instagram.com/explore/locations/1104446/kim-lotus-dessert/
kopitiam,https://www.instagram.com/explore/locations/14374844/kopitiam/
planet-mercury,https://www.instagram.com/explore/locations/1007937464/planet-mercury/
vegetarian-villas,https://www.instagram.com/explore/locations/246303825/vegetarian-villas/
lake-grande,https://www.instagram.com/explore/locations/1648323978823098/lake-grande/
our-jurong-central,https://www.instagram.com/explore/locations/543833456/our-jurong-central/
sinar-456-malay-seafood,https://www.instagram.com/explore/locations/312153182/sinar-456-malay-seafood/
mr-teh-tarik-eating-house,https://www.instagram.com/explore/locations/758683/mr-teh-tarik-eating-house/
blk-494-jurong-west,https://www.instagram.com/explore/locations/244142640/blk-494-jurong-west/
deadman-wonderland,https://www.instagram.com/explore/locations/569327621/deadman-wonderland/
mr-teh-tarek-jurong-west-av-1,https://www.instagram.com/explore/locations/268095710/mr-teh-tarek-jurong-west-av-1/
hua-yi-secondary-school,https://www.instagram.com/explore/locations/103665804551924/hua-yi-secondary-school/
baking-lab,https://www.instagram.com/explore/locations/328432949/baking-lab/
jurong-west-street-42,https://www.instagram.com/explore/locations/183214732266089/jurong-west-street-42/
dlife,https://www.instagram.com/explore/locations/632953424/dlife/
shuqun-primary-school,https://www.instagram.com/explore/locations/1298869/shuqun-primary-school/
