cityname,url
hanoi-vietnam,https://www.instagram.com/explore/locations/268936121/hanoi-vietnam/
platform-1094,https://www.instagram.com/explore/locations/1624101767889577/platform-1094/
botanical-garden-of-singapore,https://www.instagram.com/explore/locations/768895366/botanical-garden-of-singapore/
potong-pasir,https://www.instagram.com/explore/locations/347786914/potong-pasir/
korea-myongdong,https://www.instagram.com/explore/locations/243345923/korea-myongdong/
chinatown,https://www.instagram.com/explore/locations/273365836098045/chinatown/
stamford-american-international-school,https://www.instagram.com/explore/locations/235425529/stamford-american-international-school/
mr-bucket-chocolaterie,https://www.instagram.com/explore/locations/107356057668848/mr-bucket-chocolaterie/
saint-andrews-junior-college,https://www.instagram.com/explore/locations/1103101/saint-andrews-junior-college/
rise-bakehouse,https://www.instagram.com/explore/locations/100214609263306/rise-bakehouse/
sri-siva-durga-temple,https://www.instagram.com/explore/locations/244106312/sri-siva-durga-temple/
happenstance-cafe,https://www.instagram.com/explore/locations/267441624/happenstance-cafe/
st-wilfrid-sports-complex,https://www.instagram.com/explore/locations/1831552/st-wilfrid-sports-complex/
jalan-lurus-menuju-hidayah-mu-ya-robbi,https://www.instagram.com/explore/locations/1818457535082033/jalan-lurus-menuju-hidayah-mu-ya-robbi/
tian-wai-tian-fishhead-steamboat,https://www.instagram.com/explore/locations/5844854/tian-wai-tian-fishhead-steamboat/
singapore-home,https://www.instagram.com/explore/locations/400594148/singapore-home/
kizuna,https://www.instagram.com/explore/locations/114179196661501/kizuna/
jem-jurong-east-singapore,https://www.instagram.com/explore/locations/105991964243921/jem-jurong-east-singapore/
serangoon-broadway,https://www.instagram.com/explore/locations/1270601/serangoon-broadway/
elevate-the-barbell-club,https://www.instagram.com/explore/locations/569868986/elevate-the-barbell-club/
star-vista-theatre,https://www.instagram.com/explore/locations/305554358/star-vista-theatre/
126-1086-serangoon-road,https://www.instagram.com/explore/locations/235590001/126-1086-serangoon-road/
the-frosted-chick,https://www.instagram.com/explore/locations/889089716/the-frosted-chick/
sri-lankaramaya-buddhist-temple,https://www.instagram.com/explore/locations/258534269/sri-lankaramaya-buddhist-temple/
woodleigh-singapore,https://www.instagram.com/explore/locations/1024710219/woodleigh-singapore/
common-touch-craft-unit,https://www.instagram.com/explore/locations/349402192213656/common-touch-craft-unit/
bendemeer-secondary-school,https://www.instagram.com/explore/locations/433764637/bendemeer-secondary-school/
marina-barrage-singapore-,https://www.instagram.com/explore/locations/2297603430467066/marina-barrage-singapore-/
halong-bay-hanoi,https://www.instagram.com/explore/locations/241399355/halong-bay-hanoi/
harry-potter-cafe,https://www.instagram.com/explore/locations/978442638956454/harry-potter-cafe/
tenteram-peak,https://www.instagram.com/explore/locations/1033762132/tenteram-peak/
bee-cheng-hiang-grillery,https://www.instagram.com/explore/locations/100185781630355/bee-cheng-hiang-grillery/
st-george-rd-boon-keng,https://www.instagram.com/explore/locations/300154295/st-george-rd-boon-keng/
st-andrews-secondary-school,https://www.instagram.com/explore/locations/3999/st-andrews-secondary-school/
potong-pasir,https://www.instagram.com/explore/locations/32140187/potong-pasir/
st-andrews-junior-college,https://www.instagram.com/explore/locations/170419996484886/st-andrews-junior-college/
potong-pasir-community-club,https://www.instagram.com/explore/locations/270668008/potong-pasir-community-club/
no-where,https://www.instagram.com/explore/locations/168382757236359/no-where/
nowhere,https://www.instagram.com/explore/locations/255396802/nowhere/
church-of-st-michael,https://www.instagram.com/explore/locations/638296/church-of-st-michael/
white-house-teochew-porridge,https://www.instagram.com/explore/locations/791074004566391/white-house-teochew-porridge/
whampoa,https://www.instagram.com/explore/locations/431374737/whampoa/
pan-island-expressway-pie,https://www.instagram.com/explore/locations/213629641/pan-island-expressway-pie/
st-andrews-village,https://www.instagram.com/explore/locations/189972264379016/st-andrews-village/
legoland-uk,https://www.instagram.com/explore/locations/636100219/legoland-uk/
