cityname,url
national-stadium-singapore,https://www.instagram.com/explore/locations/826259/national-stadium-singapore/
singapore-indoor-stadium,https://www.instagram.com/explore/locations/235388838/singapore-indoor-stadium/
singapore-sports-hub,https://www.instagram.com/explore/locations/236704144/singapore-sports-hub/
chye-seng-huat-hardware,https://www.instagram.com/explore/locations/27837597/chye-seng-huat-hardware/
golden-mile-complex,https://www.instagram.com/explore/locations/264270/golden-mile-complex/
kallang-wave-mall,https://www.instagram.com/explore/locations/107206369636771/kallang-wave-mall/
kallang-singapore,https://www.instagram.com/explore/locations/215596241/kallang-singapore/
changi-airport-singapore,https://www.instagram.com/explore/locations/337355690/changi-airport-singapore/
jalan-besar-stadium,https://www.instagram.com/explore/locations/584714/jalan-besar-stadium/
habitat-coffee,https://www.instagram.com/explore/locations/4859525/habitat-coffee/
ocbc-arena-singapore-sports-hub,https://www.instagram.com/explore/locations/1022076724/ocbc-arena-singapore-sports-hub/
singapore-indoor-stadium,https://www.instagram.com/explore/locations/1829596/singapore-indoor-stadium/
heap-seng-leong-coffeeshop,https://www.instagram.com/explore/locations/215588784/heap-seng-leong-coffeeshop/
aperia-mall,https://www.instagram.com/explore/locations/397558180/aperia-mall/
hill-street-tai-hwa-pork-noodle,https://www.instagram.com/explore/locations/366708694/hill-street-tai-hwa-pork-noodle/
the-tiramisu-hero,https://www.instagram.com/explore/locations/213618481/the-tiramisu-hero/
james-cook-university-singapore,https://www.instagram.com/explore/locations/6456676/james-cook-university-singapore/
ocbc-aquatic-centre,https://www.instagram.com/explore/locations/385192497/ocbc-aquatic-centre/
national-stadium-singapore-sports-hub,https://www.instagram.com/explore/locations/312683880/national-stadium-singapore-sports-hub/
apartment,https://www.instagram.com/explore/locations/751193735213983/apartment/
lavender-singapore,https://www.instagram.com/explore/locations/850118304/lavender-singapore/
kallang-theatre,https://www.instagram.com/explore/locations/5088063/kallang-theatre/
changi-international-airport-sin-wsss,https://www.instagram.com/explore/locations/215024404/changi-international-airport-sin-wsss/
geylang-lor-9-frog-porridge-singapore,https://www.instagram.com/explore/locations/347013332/geylang-lor-9-frog-porridge-singapore/
klang-selangor-malaysia,https://www.instagram.com/explore/locations/237821719/klang-selangor-malaysia/
mrt-singapore,https://www.instagram.com/explore/locations/247616795/mrt-singapore/
east-coast-beach-singapore,https://www.instagram.com/explore/locations/577383258944500/east-coast-beach-singapore/
keong-saik-bakery,https://www.instagram.com/explore/locations/440268702990901/keong-saik-bakery/
santosa-island-singapore,https://www.instagram.com/explore/locations/234930304/santosa-island-singapore/
universal-studio-resorts-world-sentosa-singapore,https://www.instagram.com/explore/locations/732874659/universal-studio-resorts-world-sentosa-singapore/
scaled-by-ah-hua-kelong,https://www.instagram.com/explore/locations/117308638921393/scaled-by-ah-hua-kelong/
boulder-climbing,https://www.instagram.com/explore/locations/143139136281501/boulder-climbing/
filler-botox-vietnam-company,https://www.instagram.com/explore/locations/2838900/filler-botox-vietnam-company/
golden-mile-food-centre,https://www.instagram.com/explore/locations/1903763756543781/golden-mile-food-centre/
kallang-bowl,https://www.instagram.com/explore/locations/1199821/kallang-bowl/
the-projector-at-golden-mile-tower,https://www.instagram.com/explore/locations/105074935070498/the-projector-at-golden-mile-tower/
bff-climb-bendemeer,https://www.instagram.com/explore/locations/104537102137628/bff-climb-bendemeer/
kallang-residences,https://www.instagram.com/explore/locations/239259606095036/kallang-residences/
braverysg,https://www.instagram.com/explore/locations/212947426/braverysg/
singapore-national-stadium,https://www.instagram.com/explore/locations/357920240/singapore-national-stadium/
mongkok-dim-sum,https://www.instagram.com/explore/locations/4473714/mongkok-dim-sum/
g7-live-seafood-g7-frog-porridge,https://www.instagram.com/explore/locations/509141/g7-live-seafood-g7-frog-porridge/
ocbc-arena,https://www.instagram.com/explore/locations/312725789/ocbc-arena/
kallang-water-sports-centre,https://www.instagram.com/explore/locations/1473710/kallang-water-sports-centre/
ice-skating-kallang-ice-world,https://www.instagram.com/explore/locations/237936902/ice-skating-kallang-ice-world/
ica-singapore,https://www.instagram.com/explore/locations/419233636/ica-singapore/
sentosa-beach-singapore,https://www.instagram.com/explore/locations/628292047/sentosa-beach-singapore/
antoinette,https://www.instagram.com/explore/locations/214972245/antoinette/
lucali-bygb,https://www.instagram.com/explore/locations/107988120951618/lucali-bygb/
singapore-national-stadium,https://www.instagram.com/explore/locations/319828125/singapore-national-stadium/
bendemeer-food-centre-and-market,https://www.instagram.com/explore/locations/484166/bendemeer-food-centre-and-market/
88-hong-kong-roast-meat-specialist,https://www.instagram.com/explore/locations/1029219023/88-hong-kong-roast-meat-specialist/
druggists,https://www.instagram.com/explore/locations/627578170/druggists/
lola-faye-cafe,https://www.instagram.com/explore/locations/101971231993026/lola-faye-cafe/
v-hotel-lavender-st-singapore,https://www.instagram.com/explore/locations/438338379629092/v-hotel-lavender-st-singapore/
singapore-indoor-stadium,https://www.instagram.com/explore/locations/402553543538452/singapore-indoor-stadium/
lucid,https://www.instagram.com/explore/locations/104847664287287/lucid/
national-stadium-singapore,https://www.instagram.com/explore/locations/749744681807170/national-stadium-singapore/
