cityname,url
ite-college-central,https://www.instagram.com/explore/locations/42561679/ite-college-central/
nanyang-polytechnic,https://www.instagram.com/explore/locations/906462/nanyang-polytechnic/
the-grassrootsclub,https://www.instagram.com/explore/locations/312903035/the-grassrootsclub/
siloso-beach-singapore,https://www.instagram.com/explore/locations/234868167/siloso-beach-singapore/
anderson-junior-college,https://www.instagram.com/explore/locations/222559874/anderson-junior-college/
yio-chu-kang,https://www.instagram.com/explore/locations/3441512/yio-chu-kang/
yio-chu-kang-singapore,https://www.instagram.com/explore/locations/223081485/yio-chu-kang-singapore/
honda-civic,https://www.instagram.com/explore/locations/143923359023550/honda-civic/
yio-chu-kang-stadium,https://www.instagram.com/explore/locations/978337/yio-chu-kang-stadium/
activesg-yio-chu-kang-sports-centre,https://www.instagram.com/explore/locations/112215500304718/activesg-yio-chu-kang-sports-centre/
fish-at-amk,https://www.instagram.com/explore/locations/42770326/fish-at-amk/
link-at-amk,https://www.instagram.com/explore/locations/573952783/link-at-amk/
nyp-school-of-health-sciences,https://www.instagram.com/explore/locations/214051304/nyp-school-of-health-sciences/
castle-green-condominium,https://www.instagram.com/explore/locations/7056843/castle-green-condominium/
marquee,https://www.instagram.com/explore/locations/305465023516214/marquee/
presbyterian-high-school,https://www.instagram.com/explore/locations/504452712/presbyterian-high-school/
sakura-international-buffet-restaurant-yio-chu-kang-stadium,https://www.instagram.com/explore/locations/235499226/sakura-international-buffet-restaurant-yio-chu-kang-stadium/
nanyang-polytechnic-auditorium,https://www.instagram.com/explore/locations/3375605/nanyang-polytechnic-auditorium/
ite-college-central-hq-amk-campus,https://www.instagram.com/explore/locations/225714966/ite-college-central-hq-amk-campus/
home-sweet-home,https://www.instagram.com/explore/locations/105560251140286/home-sweet-home/
sculpt-society,https://www.instagram.com/explore/locations/169567160262180/sculpt-society/
metallic-epoxy-singapore,https://www.instagram.com/explore/locations/604406319901648/metallic-epoxy-singapore/
mad-charcoal,https://www.instagram.com/explore/locations/705119969908701/mad-charcoal/
