cityname,url
at-the-sea,https://www.instagram.com/explore/locations/367293720034262/at-the-sea/
petrochemical-corporation-of-spore,https://www.instagram.com/explore/locations/224513508/petrochemical-corporation-of-spore/
shell-chemicals-seraya,https://www.instagram.com/explore/locations/39079529/shell-chemicals-seraya/
sea-of-sinki-fairway,https://www.instagram.com/explore/locations/291391641/sea-of-sinki-fairway/
selat-pandan,https://www.instagram.com/explore/locations/652128909/selat-pandan/
shell-jurong-island,https://www.instagram.com/explore/locations/352403615/shell-jurong-island/
jurong-island-fire-station,https://www.instagram.com/explore/locations/246285019391412/jurong-island-fire-station/
toxic-island,https://www.instagram.com/explore/locations/192247610808561/toxic-island/
singapore-petrochemical-complex,https://www.instagram.com/explore/locations/1009397/singapore-petrochemical-complex/
ayer-merbau-road-jurong-island,https://www.instagram.com/explore/locations/361077143/ayer-merbau-road-jurong-island/
croda-30-seraya-ave,https://www.instagram.com/explore/locations/261443782/croda-30-seraya-ave/
ptc-logistics-limited,https://www.instagram.com/explore/locations/411061606/ptc-logistics-limited/
jurong-island-pcs,https://www.instagram.com/explore/locations/575334781/jurong-island-pcs/
singapore-petrol-chemical-cmplex,https://www.instagram.com/explore/locations/289127225097985/singapore-petrol-chemical-cmplex/
denka-singapore-pte-ltd,https://www.instagram.com/explore/locations/499176226/denka-singapore-pte-ltd/
no1-pulau-ayer-chawan-jurong-island,https://www.instagram.com/explore/locations/266833235/no1-pulau-ayer-chawan-jurong-island/
universal-terminal-jetty-06,https://www.instagram.com/explore/locations/247218255993405/universal-terminal-jetty-06/
nagoya-city-batam,https://www.instagram.com/explore/locations/212073372166337/nagoya-city-batam/
serayajurong-island,https://www.instagram.com/explore/locations/273293627/serayajurong-island/
unimatec-singapore,https://www.instagram.com/explore/locations/1017710016/unimatec-singapore/
singapore-petrochemical-complex-olefin-i,https://www.instagram.com/explore/locations/2192537727740325/singapore-petrochemical-complex-olefin-i/
pcs-jurong-island,https://www.instagram.com/explore/locations/661859319/pcs-jurong-island/
pulau-ayer-merbau,https://www.instagram.com/explore/locations/360861412/pulau-ayer-merbau/
pulau-ayer-merbau-pcs-complex-mels,https://www.instagram.com/explore/locations/419947597/pulau-ayer-merbau-pcs-complex-mels/
stolt,https://www.instagram.com/explore/locations/1027522130/stolt/
denka-seraya-ave-jurong-island,https://www.instagram.com/explore/locations/552686137/denka-seraya-ave-jurong-island/
the-polyolefin-company-tpc,https://www.instagram.com/explore/locations/1017864803/the-polyolefin-company-tpc/
sakra-jetty-jurong-island,https://www.instagram.com/explore/locations/120485688041584/sakra-jetty-jurong-island/
f-division-technologies-singapore,https://www.instagram.com/explore/locations/322904804237843/f-division-technologies-singapore/
shell-eastern-petroleum-pte-ltd-ayer-merbau-road-jurong-island,https://www.instagram.com/explore/locations/1023648308/shell-eastern-petroleum-pte-ltd-ayer-merbau-road-jurong-island/
singapore-western-anchorage,https://www.instagram.com/explore/locations/1027200695/singapore-western-anchorage/
vopak-sakra-terminal-2-osk2,https://www.instagram.com/explore/locations/1196390757190187/vopak-sakra-terminal-2-osk2/
poh-tiong-choon-logistics,https://www.instagram.com/explore/locations/104839309687658/poh-tiong-choon-logistics/
pcs-fire-station,https://www.instagram.com/explore/locations/84948524/pcs-fire-station/
jurong-island-ss,https://www.instagram.com/explore/locations/7059861/jurong-island-ss/
chevron-phillips-singapore-chemical,https://www.instagram.com/explore/locations/481070912424413/chevron-phillips-singapore-chemical/
tank-store-jetty-8,https://www.instagram.com/explore/locations/1909122762474107/tank-store-jetty-8/
kampong-ayer-merbau-singapore,https://www.instagram.com/explore/locations/109094445791013/kampong-ayer-merbau-singapore/
ayer-merbau-pcs-complexmels,https://www.instagram.com/explore/locations/192466257441034/ayer-merbau-pcs-complexmels/
vigilanteh,https://www.instagram.com/explore/locations/315021665188719/vigilanteh/
detroit-de-pandan,https://www.instagram.com/explore/locations/653274388048956/detroit-de-pandan/
jurong-island-ayer-merbau,https://www.instagram.com/explore/locations/333162852/jurong-island-ayer-merbau/
denka-seraya,https://www.instagram.com/explore/locations/472454339/denka-seraya/
west-coast-off-jetty,https://www.instagram.com/explore/locations/556126160/west-coast-off-jetty/
sinki-straits,https://www.instagram.com/explore/locations/514504867/sinki-straits/
shell-seraya-jrg-island,https://www.instagram.com/explore/locations/195402867150635/shell-seraya-jrg-island/
sea,https://www.instagram.com/explore/locations/1022752470/sea/
chemical-specialties-limited-ayer-merbau-jurong-island,https://www.instagram.com/explore/locations/1023072028/chemical-specialties-limited-ayer-merbau-jurong-island/
jurong-island-shell-chemical-seraya,https://www.instagram.com/explore/locations/387712749/jurong-island-shell-chemical-seraya/
vopak-sakra-terminal-berth-no-osk-2,https://www.instagram.com/explore/locations/255717641836662/vopak-sakra-terminal-berth-no-osk-2/
jurong-island-shell-leosilver-project,https://www.instagram.com/explore/locations/280560981/jurong-island-shell-leosilver-project/
sakra-view-jurong-island,https://www.instagram.com/explore/locations/402646826481851/sakra-view-jurong-island/
shellchemicals-seraya-pte-ltd,https://www.instagram.com/explore/locations/312038048/shellchemicals-seraya-pte-ltd/
sudong-island,https://www.instagram.com/explore/locations/1030371875/sudong-island/
somewhere-in-jurong-island,https://www.instagram.com/explore/locations/318579394853075/somewhere-in-jurong-island/
sakra,https://www.instagram.com/explore/locations/791890856/sakra/
dow-chemical,https://www.instagram.com/explore/locations/1928390330575174/dow-chemical/
ayer-merbau-road,https://www.instagram.com/explore/locations/1024892093/ayer-merbau-road/
petrolchemical-spore,https://www.instagram.com/explore/locations/1025053534/petrolchemical-spore/
rohm-and-haas-chemicals-singapore-pte-ltd,https://www.instagram.com/explore/locations/406565365/rohm-and-haas-chemicals-singapore-pte-ltd/
seraya,https://www.instagram.com/explore/locations/990253571/seraya/
croda-jurong-island,https://www.instagram.com/explore/locations/154539534621334/croda-jurong-island/
sea,https://www.instagram.com/explore/locations/146798498759835/sea/
croda-singapore-pte-ltd,https://www.instagram.com/explore/locations/147295731996449/croda-singapore-pte-ltd/
ho-tro-tai-chinh-sieu-toc-01,https://www.instagram.com/explore/locations/109480755102617/ho-tro-tai-chinh-sieu-toc-01/
selat-pauh-anchorage,https://www.instagram.com/explore/locations/540761525/selat-pauh-anchorage/
