cityname,url
bedok-reservoir,https://www.instagram.com/explore/locations/1052423/bedok-reservoir/
temasek-polytechnic,https://www.instagram.com/explore/locations/396851476/temasek-polytechnic/
refuel-cafe,https://www.instagram.com/explore/locations/423491056/refuel-cafe/
hometeamns-bedok-reservoir,https://www.instagram.com/explore/locations/109454168474135/hometeamns-bedok-reservoir/
temasek-polytechnic-business-school,https://www.instagram.com/explore/locations/686976/temasek-polytechnic-business-school/
q-bay-residences,https://www.instagram.com/explore/locations/477177960/q-bay-residences/
soi-thai-kitchen,https://www.instagram.com/explore/locations/20258229/soi-thai-kitchen/
burp-kitchen-bar-bedok-reservoir,https://www.instagram.com/explore/locations/601822059/burp-kitchen-bar-bedok-reservoir/
waterviewtampines-avenue-1singapore-condominium,https://www.instagram.com/explore/locations/234653903/waterviewtampines-avenue-1singapore-condominium/
arc,https://www.instagram.com/explore/locations/54372489/arc/
sota,https://www.instagram.com/explore/locations/269977743/sota/
temasek-design-school,https://www.instagram.com/explore/locations/168043/temasek-design-school/
bedok-reservoir-floating-platform,https://www.instagram.com/explore/locations/241654128/bedok-reservoir-floating-platform/
reiwa-soba-honten,https://www.instagram.com/explore/locations/106228828152513/reiwa-soba-honten/
temasek-convention-center,https://www.instagram.com/explore/locations/289745450/temasek-convention-center/
ferrari-factory-maranelloitaly,https://www.instagram.com/explore/locations/313998812/ferrari-factory-maranelloitaly/
haute-and-cauld,https://www.instagram.com/explore/locations/101728758417288/haute-and-cauld/
temasek-polytechnic-engineering-school,https://www.instagram.com/explore/locations/2994597/temasek-polytechnic-engineering-school/
tampines-greenforest,https://www.instagram.com/explore/locations/1130750380301332/tampines-greenforest/
the-tropicatampines-avenue-1singapore-condominium,https://www.instagram.com/explore/locations/250153236/the-tropicatampines-avenue-1singapore-condominium/
bedok-reservoir-parkrun,https://www.instagram.com/explore/locations/103870107651684/bedok-reservoir-parkrun/
belvia,https://www.instagram.com/explore/locations/376644776/belvia/
archipelagobedok-reservoir-roadsingapore-condominium,https://www.instagram.com/explore/locations/645364847/archipelagobedok-reservoir-roadsingapore-condominium/
mr-prata-at-bedok-reservoir,https://www.instagram.com/explore/locations/239733311/mr-prata-at-bedok-reservoir/
temasek-poly-school-of-design-official,https://www.instagram.com/explore/locations/216311776/temasek-poly-school-of-design-official/
springfield-secondary-school,https://www.instagram.com/explore/locations/521693482/springfield-secondary-school/
pokemon-centre,https://www.instagram.com/explore/locations/504259830/pokemon-centre/
ninja-chirashi,https://www.instagram.com/explore/locations/102268258487880/ninja-chirashi/
the-santorini-tampines,https://www.instagram.com/explore/locations/1016654395/the-santorini-tampines/
the-culinary-institute-of-america,https://www.instagram.com/explore/locations/264656955/the-culinary-institute-of-america/
