cityname,url
siltronic-singapore-pte-ltd,https://www.instagram.com/explore/locations/15024937/siltronic-singapore-pte-ltd/
lorong-halus,https://www.instagram.com/explore/locations/567405050/lorong-halus/
kopitalks,https://www.instagram.com/explore/locations/101743908239870/kopitalks/
ssw,https://www.instagram.com/explore/locations/1027348641/ssw/
chye-thiam-maintenance,https://www.instagram.com/explore/locations/198477017742120/chye-thiam-maintenance/
power-partners-group,https://www.instagram.com/explore/locations/2427872130573509/power-partners-group/
tanah-merah-golfgarden-course,https://www.instagram.com/explore/locations/104059629697302/tanah-merah-golfgarden-course/
siltronic-samsung-wafer-pte-ltd,https://www.instagram.com/explore/locations/1715710/siltronic-samsung-wafer-pte-ltd/
siltronic-samsung,https://www.instagram.com/explore/locations/618543225/siltronic-samsung/
punggol-marina-country-club-broadwalk-fishing-point,https://www.instagram.com/explore/locations/282953588/punggol-marina-country-club-broadwalk-fishing-point/
out-of-the-red-zone,https://www.instagram.com/explore/locations/112974890367383/out-of-the-red-zone/
lorong-halus,https://www.instagram.com/explore/locations/257871873/lorong-halus/
lor-halus-powergrid-substation,https://www.instagram.com/explore/locations/2107545749575237/lor-halus-powergrid-substation/
3-tampines-industrial-drive,https://www.instagram.com/explore/locations/559946531070514/3-tampines-industrial-drive/
changi-airport-t1,https://www.instagram.com/explore/locations/387027493/changi-airport-t1/
sungei-serangoon,https://www.instagram.com/explore/locations/974080016115430/sungei-serangoon/
singapore-airlines-sq942,https://www.instagram.com/explore/locations/552271250/singapore-airlines-sq942/
singapore-houngang-street-402-blok-120,https://www.instagram.com/explore/locations/515343645189222/singapore-houngang-street-402-blok-120/
rrrtf-paya-lebar-airbase,https://www.instagram.com/explore/locations/218665979062750/rrrtf-paya-lebar-airbase/
trilive,https://www.instagram.com/explore/locations/396842597130034/trilive/
likod-balay-aprik,https://www.instagram.com/explore/locations/909982995767959/likod-balay-aprik/
tinkls,https://www.instagram.com/explore/locations/102816268171309/tinkls/
inside-bus-969-towards-yishunwoodlands-tpe,https://www.instagram.com/explore/locations/407637695/inside-bus-969-towards-yishunwoodlands-tpe/
bus-72,https://www.instagram.com/explore/locations/665939281/bus-72/
ikigai,https://www.instagram.com/explore/locations/2146055228947088/ikigai/
raies,https://www.instagram.com/explore/locations/113539977066954/raies/
