cityname,url
raffles-marina,https://www.instagram.com/explore/locations/217026782/raffles-marina/
tuas-second-link-checkpoint,https://www.instagram.com/explore/locations/1103702/tuas-second-link-checkpoint/
malaysiasingapore-second-link,https://www.instagram.com/explore/locations/228127838/malaysiasingapore-second-link/
tiger-brewery-tour,https://www.instagram.com/explore/locations/3482315/tiger-brewery-tour/
raffles-marina-lighthouse,https://www.instagram.com/explore/locations/1828701574097711/raffles-marina-lighthouse/
crypto-world,https://www.instagram.com/explore/locations/100238798326829/crypto-world/
tuas-link-singapore,https://www.instagram.com/explore/locations/1034752767/tuas-link-singapore/
tuas-link-mrt-station,https://www.instagram.com/explore/locations/536914842/tuas-link-mrt-station/
johor-straits-lighthouse,https://www.instagram.com/explore/locations/122795848376503/johor-straits-lighthouse/
singapore-tuas-checkpoint,https://www.instagram.com/explore/locations/235383920/singapore-tuas-checkpoint/
immigration-checkpoints-authority,https://www.instagram.com/explore/locations/193095854928236/immigration-checkpoints-authority/
tuas-checkpoint-arrival-customs-office,https://www.instagram.com/explore/locations/232686323427578/tuas-checkpoint-arrival-customs-office/
patissier-by-aalst-chocolate,https://www.instagram.com/explore/locations/538078026399102/patissier-by-aalst-chocolate/
malaysia-singapore-border,https://www.instagram.com/explore/locations/1960444400715463/malaysia-singapore-border/
raffles-marina-club-house,https://www.instagram.com/explore/locations/572316/raffles-marina-club-house/
asia-pacific-breweries-singapore,https://www.instagram.com/explore/locations/2020914598180387/asia-pacific-breweries-singapore/
raffles-marina-country-club,https://www.instagram.com/explore/locations/269767156/raffles-marina-country-club/
tuas-2nd-link-singapore-checkpoints,https://www.instagram.com/explore/locations/264310013/tuas-2nd-link-singapore-checkpoints/
raffles-marina-light-house,https://www.instagram.com/explore/locations/287484272/raffles-marina-light-house/
singapore-immigration,https://www.instagram.com/explore/locations/7172678/singapore-immigration/
hp-gsb-centre-of-excellence,https://www.instagram.com/explore/locations/389938671/hp-gsb-centre-of-excellence/
marina-bistro,https://www.instagram.com/explore/locations/1021170550/marina-bistro/
tiger-beer-brewery,https://www.instagram.com/explore/locations/305543095/tiger-beer-brewery/
singapore-immigration-departure-hall,https://www.instagram.com/explore/locations/477013876/singapore-immigration-departure-hall/
msd-singapore,https://www.instagram.com/explore/locations/1017983347/msd-singapore/
singapore-customs-second-link-tuas,https://www.instagram.com/explore/locations/247123610/singapore-customs-second-link-tuas/
tian-lai-seafood-gelang-patah,https://www.instagram.com/explore/locations/614690827/tian-lai-seafood-gelang-patah/
marina-bistro-raffles-marina-yacht-club,https://www.instagram.com/explore/locations/222970624/marina-bistro-raffles-marina-yacht-club/
legoland-malaysia,https://www.instagram.com/explore/locations/234778976/legoland-malaysia/
raffles-marina-yacht-club,https://www.instagram.com/explore/locations/283406442/raffles-marina-yacht-club/
singapore-tuas-check-point,https://www.instagram.com/explore/locations/616661962/singapore-tuas-check-point/
captains-table-chinese-restaurant,https://www.instagram.com/explore/locations/103132356721491/captains-table-chinese-restaurant/
tuas-lighthouse,https://www.instagram.com/explore/locations/540585942/tuas-lighthouse/
singapore-customs,https://www.instagram.com/explore/locations/18986029/singapore-customs/
tuas-west-drive,https://www.instagram.com/explore/locations/240715520/tuas-west-drive/
singapore-customs,https://www.instagram.com/explore/locations/101740724791329/singapore-customs/
tiger-beer-factory,https://www.instagram.com/explore/locations/275541158/tiger-beer-factory/
3m-innovation-pte-ltd,https://www.instagram.com/explore/locations/246754842/3m-innovation-pte-ltd/
tuas-link,https://www.instagram.com/explore/locations/317622890/tuas-link/
marina-bistro-raffles-marina-club,https://www.instagram.com/explore/locations/241181389/marina-bistro-raffles-marina-club/
tiger-tavern-asia-pacific-breweries,https://www.instagram.com/explore/locations/3684071/tiger-tavern-asia-pacific-breweries/
aalst-chocolate,https://www.instagram.com/explore/locations/502661743/aalst-chocolate/
hp-indigo-singapore,https://www.instagram.com/explore/locations/389868462/hp-indigo-singapore/
tuas-west-extension-project-office,https://www.instagram.com/explore/locations/13327396/tuas-west-extension-project-office/
raffles-marina,https://www.instagram.com/explore/locations/962784/raffles-marina/
real-madrid-foundation-football-school-singapore,https://www.instagram.com/explore/locations/234609628/real-madrid-foundation-football-school-singapore/
tuas-checkpoint,https://www.instagram.com/explore/locations/1715616325189228/tuas-checkpoint/
tuas-depot-smrt,https://www.instagram.com/explore/locations/181826469060889/tuas-depot-smrt/
captains-table-raffles-marina,https://www.instagram.com/explore/locations/213105154/captains-table-raffles-marina/
newwavesg,https://www.instagram.com/explore/locations/107378508379306/newwavesg/
tengeh-reservoir,https://www.instagram.com/explore/locations/1029893216/tengeh-reservoir/
tuas-avenue-12,https://www.instagram.com/explore/locations/244288199/tuas-avenue-12/
tuas-west-road,https://www.instagram.com/explore/locations/767028/tuas-west-road/
singapore-epson-ind-pte-ltd,https://www.instagram.com/explore/locations/317684721/singapore-epson-ind-pte-ltd/
firmenich-asia,https://www.instagram.com/explore/locations/304548353/firmenich-asia/
penghubung-kedua-malaysiasingapura,https://www.instagram.com/explore/locations/711991528/penghubung-kedua-malaysiasingapura/
singapore-immigration-checkpoints-authority,https://www.instagram.com/explore/locations/208976525808588/singapore-immigration-checkpoints-authority/
tuas-west-depot,https://www.instagram.com/explore/locations/1023057234/tuas-west-depot/
singapore-rendezvous,https://www.instagram.com/explore/locations/1785539115029826/singapore-rendezvous/
tiger-tavern,https://www.instagram.com/explore/locations/895577300830669/tiger-tavern/
bien-gioi-singapore-malaysia,https://www.instagram.com/explore/locations/743354689046587/bien-gioi-singapore-malaysia/
captains-table-at-raffles-marina-yacht-club,https://www.instagram.com/explore/locations/285408681904864/captains-table-at-raffles-marina-yacht-club/
tiger-breweries,https://www.instagram.com/explore/locations/1018454516/tiger-breweries/
johor,https://www.instagram.com/explore/locations/262810568/johor/
asia-pacific-breweries-s-pte-ltd,https://www.instagram.com/explore/locations/184202818285037/asia-pacific-breweries-s-pte-ltd/
singapore-border-control,https://www.instagram.com/explore/locations/1026835145/singapore-border-control/
west-opl-singapore,https://www.instagram.com/explore/locations/1006902657/west-opl-singapore/
