cityname,url
the-british-club-singapore,https://www.instagram.com/explore/locations/213615965/the-british-club-singapore/
champions-public-golf-course-range-academy-pro-shop,https://www.instagram.com/explore/locations/258506681/champions-public-golf-course-range-academy-pro-shop/
rifle-range-road,https://www.instagram.com/explore/locations/679022/rifle-range-road/
picotin-fairways,https://www.instagram.com/explore/locations/62756/picotin-fairways/
tioman-malaysia,https://www.instagram.com/explore/locations/790793148/tioman-malaysia/
pan-island-expressway-pie,https://www.instagram.com/explore/locations/217986576/pan-island-expressway-pie/
louis-vuitton-island-maison-at-marina-bay-sands-singapore,https://www.instagram.com/explore/locations/590256531/louis-vuitton-island-maison-at-marina-bay-sands-singapore/
rifle-range-link,https://www.instagram.com/explore/locations/544815172607258/rifle-range-link/
royal-thai-cuisine,https://www.instagram.com/explore/locations/236960896/royal-thai-cuisine/
the-british-club,https://www.instagram.com/explore/locations/3711185/the-british-club/
german-european-school-singapore,https://www.instagram.com/explore/locations/515672380/german-european-school-singapore/
holland-international-school,https://www.instagram.com/explore/locations/149739755625280/holland-international-school/
oktoberfest-swissclub,https://www.instagram.com/explore/locations/397449795/oktoberfest-swissclub/
chatsworth-international-school-official,https://www.instagram.com/explore/locations/452510218102361/chatsworth-international-school-official/
senja-road,https://www.instagram.com/explore/locations/283199869/senja-road/
swiss-view,https://www.instagram.com/explore/locations/10362959/swiss-view/
jalan-kampong-chantek,https://www.instagram.com/explore/locations/5651591/jalan-kampong-chantek/
singapore-korean-international-school-middlehigh,https://www.instagram.com/explore/locations/1019059365/singapore-korean-international-school-middlehigh/
champion-golf-course-fairways-drive,https://www.instagram.com/explore/locations/708187813/champion-golf-course-fairways-drive/
tanglin-academy,https://www.instagram.com/explore/locations/247042841/tanglin-academy/
pipeline-trail,https://www.instagram.com/explore/locations/1869275689800055/pipeline-trail/
swiss-club-36-swiss-club-road-singapore,https://www.instagram.com/explore/locations/295825219/swiss-club-36-swiss-club-road-singapore/
klc-korean-language-course,https://www.instagram.com/explore/locations/4172640/klc-korean-language-course/
champions-golf-range,https://www.instagram.com/explore/locations/244327932/champions-golf-range/
treetop-walk-rifle-range-road,https://www.instagram.com/explore/locations/277158339/treetop-walk-rifle-range-road/
singapore-korean-international-school,https://www.instagram.com/explore/locations/761920087269848/singapore-korean-international-school/
