cityname,url
chek-jawa-wetlands,https://www.instagram.com/explore/locations/656269/chek-jawa-wetlands/
pulua-ubin,https://www.instagram.com/explore/locations/234660549/pulua-ubin/
chek-jawa-coastal-boardwalk,https://www.instagram.com/explore/locations/490417034797952/chek-jawa-coastal-boardwalk/
jejawi-tower,https://www.instagram.com/explore/locations/2895312/jejawi-tower/
house-no-1-chek-jawa-visitor-centre,https://www.instagram.com/explore/locations/486007375216120/house-no-1-chek-jawa-visitor-centre/
palau-ubin,https://www.instagram.com/explore/locations/307478403/palau-ubin/
chek-jawa,https://www.instagram.com/explore/locations/329041/chek-jawa/
viewing-jetty-chek-jawa-wetlands,https://www.instagram.com/explore/locations/261803847863689/viewing-jetty-chek-jawa-wetlands/
coastal-boardwalk-pulau-ubin,https://www.instagram.com/explore/locations/933307634/coastal-boardwalk-pulau-ubin/
jejawi-tower,https://www.instagram.com/explore/locations/285498302360425/jejawi-tower/
chek-jawa-house-no-1,https://www.instagram.com/explore/locations/762353553835171/chek-jawa-house-no-1/
selat-singapore,https://www.instagram.com/explore/locations/687333031/selat-singapore/
pulau-tekong-bmtc-sch-1-apache-company,https://www.instagram.com/explore/locations/383314542/pulau-tekong-bmtc-sch-1-apache-company/
chek-jawa,https://www.instagram.com/explore/locations/132182650151031/chek-jawa/
punai-hut,https://www.instagram.com/explore/locations/2894111/punai-hut/
jejawi-tower,https://www.instagram.com/explore/locations/337282877045051/jejawi-tower/
chek-jawa-jetty,https://www.instagram.com/explore/locations/1035359769/chek-jawa-jetty/
east-johor-straits,https://www.instagram.com/explore/locations/291119021393153/east-johor-straits/
house-no-1-chek-java-wetlands-pulau-ubin-singapore,https://www.instagram.com/explore/locations/236257390/house-no-1-chek-java-wetlands-pulau-ubin-singapore/
pulau-tekong-school-1-eagle-company,https://www.instagram.com/explore/locations/128311097329620/pulau-tekong-school-1-eagle-company/
chek-jawa-pualu-ubin,https://www.instagram.com/explore/locations/109893412449074/chek-jawa-pualu-ubin/
laut-changi-ubin,https://www.instagram.com/explore/locations/215183128502115/laut-changi-ubin/
bronco-company-line-school-1,https://www.instagram.com/explore/locations/325461594235401/bronco-company-line-school-1/
ubin-fresh,https://www.instagram.com/explore/locations/103000728848552/ubin-fresh/
middle-of-the-sea,https://www.instagram.com/explore/locations/122141404609229/middle-of-the-sea/
pulau-tekong-gryphon-coy,https://www.instagram.com/explore/locations/559802804052586/pulau-tekong-gryphon-coy/
jejawi-viewing-tower,https://www.instagram.com/explore/locations/1026440798/jejawi-viewing-tower/
middle-of-nowhere-on-the-boat,https://www.instagram.com/explore/locations/2270501869943369/middle-of-nowhere-on-the-boat/
tallest-tree-on-pulau-ubin,https://www.instagram.com/explore/locations/2167896296577411/tallest-tree-on-pulau-ubin/
pulau-bin,https://www.instagram.com/explore/locations/253523295011658/pulau-bin/
kg-chek-jawa-muslim-cemetery,https://www.instagram.com/explore/locations/774703879540946/kg-chek-jawa-muslim-cemetery/
paula-ubin-tower,https://www.instagram.com/explore/locations/496651667017569/paula-ubin-tower/
jejawi-tower-pulau-ubin,https://www.instagram.com/explore/locations/485986108197273/jejawi-tower-pulau-ubin/
blanco-court-prawn-mee,https://www.instagram.com/explore/locations/139883612762336/blanco-court-prawn-mee/
english-cottage-no-1-at-pulau-ubin,https://www.instagram.com/explore/locations/927923235/english-cottage-no-1-at-pulau-ubin/
punai-hut-chek-jawa,https://www.instagram.com/explore/locations/188485754526078/punai-hut-chek-jawa/
tanjung-pinangindonesia,https://www.instagram.com/explore/locations/339602959419478/tanjung-pinangindonesia/
changi-water,https://www.instagram.com/explore/locations/1016234302/changi-water/
johor-straits,https://www.instagram.com/explore/locations/417470476/johor-straits/
