cityname,url
warren-golf-country-club,https://www.instagram.com/explore/locations/452059/warren-golf-country-club/
bukit-panjang-government-high-school,https://www.instagram.com/explore/locations/235358085/bukit-panjang-government-high-school/
brickland-road,https://www.instagram.com/explore/locations/634392/brickland-road/
kranji-secondary-school,https://www.instagram.com/explore/locations/497744312/kranji-secondary-school/
choa-chu-kang-ave-4-singapore,https://www.instagram.com/explore/locations/375581083/choa-chu-kang-ave-4-singapore/
mount-faber-singapore,https://www.instagram.com/explore/locations/314117084/mount-faber-singapore/
eating,https://www.instagram.com/explore/locations/112028535553475/eating/
one-fullertorn,https://www.instagram.com/explore/locations/264350550287611/one-fullertorn/
regale,https://www.instagram.com/explore/locations/101693204600284/regale/
parc-guell-barcelona,https://www.instagram.com/explore/locations/108126525949924/parc-guell-barcelona/
yan-palace,https://www.instagram.com/explore/locations/315668365884885/yan-palace/
chua-chu-kang-ave-4,https://www.instagram.com/explore/locations/243638137/chua-chu-kang-ave-4/
platinummall,https://www.instagram.com/explore/locations/111448797231397/platinummall/
suntec-singapore-convention-exhibition-centre,https://www.instagram.com/explore/locations/121592745269861/suntec-singapore-convention-exhibition-centre/
pantai-rium-amarasi-timur,https://www.instagram.com/explore/locations/278378445927941/pantai-rium-amarasi-timur/
rainbow-aquarium,https://www.instagram.com/explore/locations/1970161/rainbow-aquarium/
city-of-venice-italy,https://www.instagram.com/explore/locations/228674743/city-of-venice-italy/
chiangi-airport,https://www.instagram.com/explore/locations/248890245197890/chiangi-airport/
darkness,https://www.instagram.com/explore/locations/816388173/darkness/
rainbow-paradise,https://www.instagram.com/explore/locations/995024887307114/rainbow-paradise/
longkang,https://www.instagram.com/explore/locations/364990274246782/longkang/
khatib,https://www.instagram.com/explore/locations/815325518/khatib/
syurgaku,https://www.instagram.com/explore/locations/893656394/syurgaku/
kje-expressway,https://www.instagram.com/explore/locations/245554734/kje-expressway/
hellboys,https://www.instagram.com/explore/locations/187540071809786/hellboys/
desa-walantakan-kec-langowan-utara,https://www.instagram.com/explore/locations/1915108748509020/desa-walantakan-kec-langowan-utara/
castle-of-the-kingqueenprinceprincess,https://www.instagram.com/explore/locations/375784655/castle-of-the-kingqueenprinceprincess/
bukit-panjang-government-high-school,https://www.instagram.com/explore/locations/220428430/bukit-panjang-government-high-school/
sunshine-courts,https://www.instagram.com/explore/locations/253145921470242/sunshine-courts/
sunway-pyramid-hotel-sunway-lagoon-resort,https://www.instagram.com/explore/locations/723750239/sunway-pyramid-hotel-sunway-lagoon-resort/
lucky-plaza-singapore,https://www.instagram.com/explore/locations/2079323685495907/lucky-plaza-singapore/
barbie-world,https://www.instagram.com/explore/locations/233361716697105/barbie-world/
on-top-of-mount-everest,https://www.instagram.com/explore/locations/293735989/on-top-of-mount-everest/
chinatown,https://www.instagram.com/explore/locations/255199874/chinatown/
naras-side-of-the-bed,https://www.instagram.com/explore/locations/388705447816724/naras-side-of-the-bed/
sunshine-court,https://www.instagram.com/explore/locations/12923299/sunshine-court/
hell,https://www.instagram.com/explore/locations/184100588298851/hell/
the-warren,https://www.instagram.com/explore/locations/1399197043658639/the-warren/
blk-422-choa-chu-kang-ave-4,https://www.instagram.com/explore/locations/423447691/blk-422-choa-chu-kang-ave-4/
rainbow-green,https://www.instagram.com/explore/locations/111527943614620/rainbow-green/
sunshine-court,https://www.instagram.com/explore/locations/1926904037386738/sunshine-court/
masjid-al-firdaus-jln-ibadat,https://www.instagram.com/explore/locations/989844501050180/masjid-al-firdaus-jln-ibadat/
our-fav-place-3,https://www.instagram.com/explore/locations/167954119929576/our-fav-place-3/
kranji-secondary-school,https://www.instagram.com/explore/locations/636462/kranji-secondary-school/
sacred-place,https://www.instagram.com/explore/locations/1006481286/sacred-place/
novotel-hotel,https://www.instagram.com/explore/locations/766671094/novotel-hotel/
art-science-museum-marina-bay-sands,https://www.instagram.com/explore/locations/276601646/art-science-museum-marina-bay-sands/
dapur-milah,https://www.instagram.com/explore/locations/102749777972671/dapur-milah/
rayn-galeria,https://www.instagram.com/explore/locations/439273154/rayn-galeria/
concord-primary-school-alumni,https://www.instagram.com/explore/locations/543694396/concord-primary-school-alumni/
warren-country-club,https://www.instagram.com/explore/locations/235449231/warren-country-club/
blk-307-choa-chu-kang-ave-4,https://www.instagram.com/explore/locations/4846402/blk-307-choa-chu-kang-ave-4/
blk-510-choa-chu-kang-st-51,https://www.instagram.com/explore/locations/718953/blk-510-choa-chu-kang-st-51/
choa-chu-kang-ave-5-singapore,https://www.instagram.com/explore/locations/381314271/choa-chu-kang-ave-5-singapore/
esso-choa-chu-kang-ave-3,https://www.instagram.com/explore/locations/287397931/esso-choa-chu-kang-ave-3/
home-sweet-home,https://www.instagram.com/explore/locations/195039550530761/home-sweet-home/
shehs-residence,https://www.instagram.com/explore/locations/185937274850297/shehs-residence/
sentosa-island-singapore,https://www.instagram.com/explore/locations/265837163/sentosa-island-singapore/
bazaar-ramadhan-geylang-serai,https://www.instagram.com/explore/locations/319821081/bazaar-ramadhan-geylang-serai/
thaiwan,https://www.instagram.com/explore/locations/181309778581025/thaiwan/
yan-palace-restaurant,https://www.instagram.com/explore/locations/271564248/yan-palace-restaurant/
sinaran-seafood-blk-26-teck-whye-lane,https://www.instagram.com/explore/locations/302109713/sinaran-seafood-blk-26-teck-whye-lane/
concord-primary,https://www.instagram.com/explore/locations/163614870425951/concord-primary/
chua-chu-kang-ave-4-block-441,https://www.instagram.com/explore/locations/365697815/chua-chu-kang-ave-4-block-441/
bethany-methodist-nursing-home,https://www.instagram.com/explore/locations/408232552851582/bethany-methodist-nursing-home/
choa-chu-kang-avenue-4,https://www.instagram.com/explore/locations/364836894/choa-chu-kang-avenue-4/
choa-chu-kang-ave-4-blk-457,https://www.instagram.com/explore/locations/414995072/choa-chu-kang-ave-4-blk-457/
lamsoon-mega-playground,https://www.instagram.com/explore/locations/18775350/lamsoon-mega-playground/
