cityname,url
singapore,https://www.instagram.com/explore/locations/152387601491407/singapore/
decathlon-singapore,https://www.instagram.com/explore/locations/1567369840222780/decathlon-singapore/
olps-church,https://www.instagram.com/explore/locations/294685673/olps-church/
andes-by-astons,https://www.instagram.com/explore/locations/296095200840190/andes-by-astons/
birdie-num-num-gastrobar,https://www.instagram.com/explore/locations/863705862/birdie-num-num-gastrobar/
flamingo-valley-era-florence-wong,https://www.instagram.com/explore/locations/282724758/flamingo-valley-era-florence-wong/
viva-business-park,https://www.instagram.com/explore/locations/375238279533026/viva-business-park/
muk-bang-korean-restaurant,https://www.instagram.com/explore/locations/1025481557/muk-bang-korean-restaurant/
sea-aquarium-singapore,https://www.instagram.com/explore/locations/338330669/sea-aquarium-singapore/
esr-bizpark-at-chai-chee-formerly-viva-business-park,https://www.instagram.com/explore/locations/215442812559328/esr-bizpark-at-chai-chee-formerly-viva-business-park/
masjid-mydin,https://www.instagram.com/explore/locations/1022294924/masjid-mydin/
raimahs-makan-place,https://www.instagram.com/explore/locations/245561916/raimahs-makan-place/
anytime-fitness-chai-chee,https://www.instagram.com/explore/locations/100460299322065/anytime-fitness-chai-chee/
gorilla-climbing-gym,https://www.instagram.com/explore/locations/223819411440577/gorilla-climbing-gym/
ping-yi-secondary-school,https://www.instagram.com/explore/locations/1398787/ping-yi-secondary-school/
sg-basketball,https://www.instagram.com/explore/locations/283802074/sg-basketball/
khan-saab-restaurant,https://www.instagram.com/explore/locations/1005466/khan-saab-restaurant/
shot-zone,https://www.instagram.com/explore/locations/942015559217704/shot-zone/
halal-hub,https://www.instagram.com/explore/locations/375551923/halal-hub/
our-lady-of-perpetual-help-succour,https://www.instagram.com/explore/locations/113503273363606/our-lady-of-perpetual-help-succour/
tdcx,https://www.instagram.com/explore/locations/949814760/tdcx/
jalan-paras,https://www.instagram.com/explore/locations/1523672/jalan-paras/
jalan-senang,https://www.instagram.com/explore/locations/241711188/jalan-senang/
andes-by-astons,https://www.instagram.com/explore/locations/266118417113681/andes-by-astons/
wholesome-paws,https://www.instagram.com/explore/locations/1119292104795457/wholesome-paws/
bizhub-28,https://www.instagram.com/explore/locations/1618620605128430/bizhub-28/
happy-fish-swim-school,https://www.instagram.com/explore/locations/143611586364537/happy-fish-swim-school/
-bai-nian-niang-dou-fu,https://www.instagram.com/explore/locations/1851388728454383/-bai-nian-niang-dou-fu/
technoparkchai-chee,https://www.instagram.com/explore/locations/768971/technoparkchai-chee/
church-of-our-lady-of-perpetual-succour,https://www.instagram.com/explore/locations/1004983152/church-of-our-lady-of-perpetual-succour/
chic-a-boo,https://www.instagram.com/explore/locations/575258022678638/chic-a-boo/
our-lady-of-perpetual-soccur,https://www.instagram.com/explore/locations/736989512/our-lady-of-perpetual-soccur/
fidelio-street,https://www.instagram.com/explore/locations/237683217/fidelio-street/
blk-55-chai-chee-drive,https://www.instagram.com/explore/locations/400563/blk-55-chai-chee-drive/
la-la-land,https://www.instagram.com/explore/locations/264826710/la-la-land/
wees-collection,https://www.instagram.com/explore/locations/389466149/wees-collection/
flamingo-valley-siglap,https://www.instagram.com/explore/locations/102338658107029/flamingo-valley-siglap/
kinokuniya,https://www.instagram.com/explore/locations/298101910/kinokuniya/
my-trip-my-adventure,https://www.instagram.com/explore/locations/1023797933/my-trip-my-adventure/
sanmina-singapore,https://www.instagram.com/explore/locations/234566221/sanmina-singapore/
our-lady-of-perpetual-succor-singapore,https://www.instagram.com/explore/locations/129020121140905/our-lady-of-perpetual-succor-singapore/
ziklag-fitness,https://www.instagram.com/explore/locations/247906715/ziklag-fitness/
knibbles-singapore,https://www.instagram.com/explore/locations/1078444588951352/knibbles-singapore/
shangri-la-rasa-sentosa,https://www.instagram.com/explore/locations/265597067/shangri-la-rasa-sentosa/
siglap-hill,https://www.instagram.com/explore/locations/5617638/siglap-hill/
floral-fantasy-singapore-florist-joeykhoe,https://www.instagram.com/explore/locations/1021659022/floral-fantasy-singapore-florist-joeykhoe/
