cityname,url
wimbly-lu,https://www.instagram.com/explore/locations/1755493221377872/wimbly-lu/
nanyang-junior-college,https://www.instagram.com/explore/locations/428568082/nanyang-junior-college/
cottontail-creamery,https://www.instagram.com/explore/locations/1246463032147711/cottontail-creamery/
rokeby-bistro,https://www.instagram.com/explore/locations/213505955/rokeby-bistro/
clovelly-jalan-riang,https://www.instagram.com/explore/locations/120186964517213/clovelly-jalan-riang/
gusta-sourdough-pizza-co,https://www.instagram.com/explore/locations/104619345625989/gusta-sourdough-pizza-co/
la-pizzaiola,https://www.instagram.com/explore/locations/13777963/la-pizzaiola/
dutch-colony-coffee-co,https://www.instagram.com/explore/locations/108529558045011/dutch-colony-coffee-co/
universal-studios-singaporeresorts-world-sentosa,https://www.instagram.com/explore/locations/228827564/universal-studios-singaporeresorts-world-sentosa/
atot-cafe,https://www.instagram.com/explore/locations/117542493406647/atot-cafe/
rokeby,https://www.instagram.com/explore/locations/70628320/rokeby/
new-tech-park,https://www.instagram.com/explore/locations/170155633922676/new-tech-park/
la-pizzaiola,https://www.instagram.com/explore/locations/409086066560293/la-pizzaiola/
151-lorong-chuan-new-tech-park,https://www.instagram.com/explore/locations/214121317/151-lorong-chuan-new-tech-park/
lorong-chuan-singapore,https://www.instagram.com/explore/locations/1019605504/lorong-chuan-singapore/
impel-down,https://www.instagram.com/explore/locations/930477787/impel-down/
the-scala-condo-singapore,https://www.instagram.com/explore/locations/592094003/the-scala-condo-singapore/
nanyang-junior-college,https://www.instagram.com/explore/locations/835587/nanyang-junior-college/
siam-society,https://www.instagram.com/explore/locations/165794167/siam-society/
chiltern-park,https://www.instagram.com/explore/locations/27702585/chiltern-park/
singapore,https://www.instagram.com/explore/locations/116935232341970/singapore/
ah-hua-kelong,https://www.instagram.com/explore/locations/401815781/ah-hua-kelong/
wine-connection-bistro-new-tech-park,https://www.instagram.com/explore/locations/108409994728463/wine-connection-bistro-new-tech-park/
lorong-chuan-mrt-station,https://www.instagram.com/explore/locations/70966222/lorong-chuan-mrt-station/
the-springbloom,https://www.instagram.com/explore/locations/1146131/the-springbloom/
my-life-my-world-3,https://www.instagram.com/explore/locations/262202324/my-life-my-world-3/
cardiff-residences,https://www.instagram.com/explore/locations/245393949/cardiff-residences/
clan-7,https://www.instagram.com/explore/locations/104111868647768/clan-7/
chij-our-lady-of-good-counsel,https://www.instagram.com/explore/locations/833438/chij-our-lady-of-good-counsel/
