cityname,url
downtown-east,https://www.instagram.com/explore/locations/78826306/downtown-east/
pasir-ris,https://www.instagram.com/explore/locations/496373/pasir-ris/
pasir-ris-wild-wild-wet,https://www.instagram.com/explore/locations/279148225/pasir-ris-wild-wild-wet/
aranda-country-club,https://www.instagram.com/explore/locations/1329604/aranda-country-club/
hiroller-indoor-skating-rink,https://www.instagram.com/explore/locations/1678852175549285/hiroller-indoor-skating-rink/
aloha-loyang-resorts,https://www.instagram.com/explore/locations/477334/aloha-loyang-resorts/
tayo-station,https://www.instagram.com/explore/locations/240171839920910/tayo-station/
masjid-al-istighfar,https://www.instagram.com/explore/locations/92267120/masjid-al-istighfar/
pasir-ris-beach-park,https://www.instagram.com/explore/locations/6120144/pasir-ris-beach-park/
cherryloft-resorts,https://www.instagram.com/explore/locations/1026290536/cherryloft-resorts/
dresort-at-downtown-east,https://www.instagram.com/explore/locations/1644537712250471/dresort-at-downtown-east/
dresort-beach-cove,https://www.instagram.com/explore/locations/347958188983511/dresort-beach-cove/
siam-square-mookata-pasir-ris,https://www.instagram.com/explore/locations/132815884051077/siam-square-mookata-pasir-ris/
flower-dome-garden-by-the-bay-singapore,https://www.instagram.com/explore/locations/256780684/flower-dome-garden-by-the-bay-singapore/
civil-service-club-loyang-former-aloha-loyang,https://www.instagram.com/explore/locations/552454475169589/civil-service-club-loyang-former-aloha-loyang/
somewhere-on-earth,https://www.instagram.com/explore/locations/2189022801347414/somewhere-on-earth/
andes-by-astons,https://www.instagram.com/explore/locations/217534908756882/andes-by-astons/
dmarquee,https://www.instagram.com/explore/locations/950956/dmarquee/
bikini-bottom-spongebob-house,https://www.instagram.com/explore/locations/478208139/bikini-bottom-spongebob-house/
singapore-garden-by-the-bay,https://www.instagram.com/explore/locations/249503373/singapore-garden-by-the-bay/
cathay-cineplex-downtown-east,https://www.instagram.com/explore/locations/1849708/cathay-cineplex-downtown-east/
riverlife-church,https://www.instagram.com/explore/locations/236978458/riverlife-church/
hehe,https://www.instagram.com/explore/locations/107837304173485/hehe/
sea-esta,https://www.instagram.com/explore/locations/954144430/sea-esta/
wild-wild-wet-downtown-east,https://www.instagram.com/explore/locations/297982198/wild-wild-wet-downtown-east/
seastrand-condominium,https://www.instagram.com/explore/locations/395583825/seastrand-condominium/
no-where,https://www.instagram.com/explore/locations/175049593346685/no-where/
wild-wild-wet,https://www.instagram.com/explore/locations/813538089/wild-wild-wet/
ripple-bay,https://www.instagram.com/explore/locations/575070509/ripple-bay/
pasir-ris-beach-campsite,https://www.instagram.com/explore/locations/336770053545306/pasir-ris-beach-campsite/
obar-downtown-east,https://www.instagram.com/explore/locations/103878431235579/obar-downtown-east/
the-esparis,https://www.instagram.com/explore/locations/10523003/the-esparis/
aranda-country-club,https://www.instagram.com/explore/locations/1211172848936319/aranda-country-club/
eighteen-chefs,https://www.instagram.com/explore/locations/1262987790420077/eighteen-chefs/
anytime-fitnesspasir-ris-ehub,https://www.instagram.com/explore/locations/230563067703238/anytime-fitnesspasir-ris-ehub/
pasir-ris-park-seaside,https://www.instagram.com/explore/locations/258549202/pasir-ris-park-seaside/
sakura-international-buffet,https://www.instagram.com/explore/locations/497409/sakura-international-buffet/
watercolours-executivecondominium,https://www.instagram.com/explore/locations/240499197/watercolours-executivecondominium/
dmarquee,https://www.instagram.com/explore/locations/857881167748066/dmarquee/
wild-wild-wetdowntown-eastsingapore,https://www.instagram.com/explore/locations/253709678/wild-wild-wetdowntown-eastsingapore/
wild-wild-wet,https://www.instagram.com/explore/locations/956701/wild-wild-wet/
asli-village,https://www.instagram.com/explore/locations/430493/asli-village/
pasir-ris-crest-secondary-school,https://www.instagram.com/explore/locations/876249236/pasir-ris-crest-secondary-school/
celebrity-fitness-downtown-east,https://www.instagram.com/explore/locations/17704802/celebrity-fitness-downtown-east/
a-spoonful-of-sugar,https://www.instagram.com/explore/locations/461143462/a-spoonful-of-sugar/
the-basil-inn,https://www.instagram.com/explore/locations/235526859/the-basil-inn/
cow-play-cow-moo-at-ehub,https://www.instagram.com/explore/locations/910372403/cow-play-cow-moo-at-ehub/
costa-sands-resort-downtown-east,https://www.instagram.com/explore/locations/258751192/costa-sands-resort-downtown-east/
don-don-donki-singapore,https://www.instagram.com/explore/locations/105940808275187/don-don-donki-singapore/
aloha-loyang-seaview-bungalow,https://www.instagram.com/explore/locations/1134222/aloha-loyang-seaview-bungalow/
louis-tomlinsons-mind,https://www.instagram.com/explore/locations/914195991/louis-tomlinsons-mind/
d-resort-downtown-east-park-view,https://www.instagram.com/explore/locations/140360133077959/d-resort-downtown-east-park-view/
upwall-climbing,https://www.instagram.com/explore/locations/108265207700231/upwall-climbing/
pasir-ris-park-beach-side,https://www.instagram.com/explore/locations/220989803/pasir-ris-park-beach-side/
sea-horizon-executive-condo,https://www.instagram.com/explore/locations/270411491/sea-horizon-executive-condo/
jalan-loyang-besar,https://www.instagram.com/explore/locations/3018491/jalan-loyang-besar/
barbie-world,https://www.instagram.com/explore/locations/346289995/barbie-world/
beautiful-singapore,https://www.instagram.com/explore/locations/457302211/beautiful-singapore/
watami-japanese-dining-downtown-east,https://www.instagram.com/explore/locations/115498967045416/watami-japanese-dining-downtown-east/
hai-sing-catholic-school-,https://www.instagram.com/explore/locations/908800439258444/hai-sing-catholic-school-/
