cityname,url
johor-bahru-of-malaysia,https://www.instagram.com/explore/locations/103518824867026/johor-bahru-of-malaysia/
the-replacement-lodge-kitchen,https://www.instagram.com/explore/locations/765766442/the-replacement-lodge-kitchen/
pasar-karat-jb,https://www.instagram.com/explore/locations/945786669/pasar-karat-jb/
flowers-in-the-window,https://www.instagram.com/explore/locations/1025877491/flowers-in-the-window/
bev-c,https://www.instagram.com/explore/locations/236890732/bev-c/
roastcoffee-retro-garden-1968s,https://www.instagram.com/explore/locations/113304471360032/roastcoffee-retro-garden-1968s/
tip-the-ice-cream-project,https://www.instagram.com/explore/locations/291440443/tip-the-ice-cream-project/
it-roo-cafe,https://www.instagram.com/explore/locations/647022/it-roo-cafe/
restoran-hua-mui,https://www.instagram.com/explore/locations/102232325102846/restoran-hua-mui/
bazar-karat-johor-bahru,https://www.instagram.com/explore/locations/210855505678686/bazar-karat-johor-bahru/
amphawa-boat-noodle,https://www.instagram.com/explore/locations/1780837332179688/amphawa-boat-noodle/
dona-bakehouse,https://www.instagram.com/explore/locations/106280122221490/dona-bakehouse/
chaiwalla-co-container-cafe,https://www.instagram.com/explore/locations/942519998/chaiwalla-co-container-cafe/
night-market-bazar-jb,https://www.instagram.com/explore/locations/279094765/night-market-bazar-jb/
bazar-karat-jb-jln-wong-ah-fook,https://www.instagram.com/explore/locations/2399663993592499/bazar-karat-jb-jln-wong-ah-fook/
bazar-karat-jalan-segget-jb,https://www.instagram.com/explore/locations/223418071/bazar-karat-jalan-segget-jb/
hookah-district-jb,https://www.instagram.com/explore/locations/223180374814421/hookah-district-jb/
offee-cafe,https://www.instagram.com/explore/locations/106079278759229/offee-cafe/
bazar-kaarat-jb,https://www.instagram.com/explore/locations/64180464/bazar-kaarat-jb/
salahuddin-bakery-jalan-dhoby,https://www.instagram.com/explore/locations/237746872/salahuddin-bakery-jalan-dhoby/
ah-ma-teochew-kuih,https://www.instagram.com/explore/locations/101818938090662/ah-ma-teochew-kuih/
hiap-joo-bakery-since-1919,https://www.instagram.com/explore/locations/103134669135680/hiap-joo-bakery-since-1919/
jalan-dhoby-johor-bharu,https://www.instagram.com/explore/locations/260701124372803/jalan-dhoby-johor-bharu/
merah-kitchen-bar,https://www.instagram.com/explore/locations/2042269209160761/merah-kitchen-bar/
roost-cafe,https://www.instagram.com/explore/locations/14463478/roost-cafe/
bazar-karat,https://www.instagram.com/explore/locations/64160499/bazar-karat/
pasar-karat-johor-bahru,https://www.instagram.com/explore/locations/3617866/pasar-karat-johor-bahru/
kin-wah-coffee-shop-jb-malaysia,https://www.instagram.com/explore/locations/246980892/kin-wah-coffee-shop-jb-malaysia/
jalan-tan-hiok-nee,https://www.instagram.com/explore/locations/106079310836757/jalan-tan-hiok-nee/
kone,https://www.instagram.com/explore/locations/1022817294/kone/
shakespeare-milkshakes,https://www.instagram.com/explore/locations/776303699178899/shakespeare-milkshakes/
al-fayeed-cafe,https://www.instagram.com/explore/locations/50410563/al-fayeed-cafe/
80000-by-fam,https://www.instagram.com/explore/locations/104372162130601/80000-by-fam/
rebirth-inc,https://www.instagram.com/explore/locations/718425422/rebirth-inc/
roost-juice-and-bar,https://www.instagram.com/explore/locations/257878/roost-juice-and-bar/
hookah-district-20,https://www.instagram.com/explore/locations/107681591060892/hookah-district-20/
chaiwalla-co-honest-tea,https://www.instagram.com/explore/locations/50612772/chaiwalla-co-honest-tea/
tong-guan-kopitiam,https://www.instagram.com/explore/locations/213587195799951/tong-guan-kopitiam/
