cityname,url
ikea-tampines,https://www.instagram.com/explore/locations/1507991285944700/ikea-tampines/
ikea-tampines,https://www.instagram.com/explore/locations/119289532275979/ikea-tampines/
church-of-divine-mercy,https://www.instagram.com/explore/locations/215017245/church-of-divine-mercy/
usa-america,https://www.instagram.com/explore/locations/241602649194222/usa-america/
red-square-moscow,https://www.instagram.com/explore/locations/780317846/red-square-moscow/
meridian-junior-college,https://www.instagram.com/explore/locations/499385208/meridian-junior-college/
ikea-tampines-singapore,https://www.instagram.com/explore/locations/139106489958257/ikea-tampines-singapore/
mainland-tropical-fish-farm,https://www.instagram.com/explore/locations/868982/mainland-tropical-fish-farm/
le-chateu-de-sapiera,https://www.instagram.com/explore/locations/561549995/le-chateu-de-sapiera/
national-university-of-singapore,https://www.instagram.com/explore/locations/1035142678/national-university-of-singapore/
pasir-ris-west-plaza,https://www.instagram.com/explore/locations/190350/pasir-ris-west-plaza/
lone-pine-koala-sanctuary-brisbane,https://www.instagram.com/explore/locations/523238119/lone-pine-koala-sanctuary-brisbane/
mutts-mittens,https://www.instagram.com/explore/locations/1599043/mutts-mittens/
ikea-cafe-and-restaurant,https://www.instagram.com/explore/locations/112888390112547/ikea-cafe-and-restaurant/
white-water-condo-pasir-ris,https://www.instagram.com/explore/locations/242790123/white-water-condo-pasir-ris/
ikea-tampines60-tampines-north-drive-2-singapore,https://www.instagram.com/explore/locations/252639927/ikea-tampines60-tampines-north-drive-2-singapore/
red-bridge,https://www.instagram.com/explore/locations/286341438878803/red-bridge/
new-ubin-seafood-mymca-stevens,https://www.instagram.com/explore/locations/871135589919641/new-ubin-seafood-mymca-stevens/
heritage-chalet,https://www.instagram.com/explore/locations/343431486200725/heritage-chalet/
lorong-halus,https://www.instagram.com/explore/locations/111076975610706/lorong-halus/
fish-co,https://www.instagram.com/explore/locations/348300961/fish-co/
meridian-junior-college,https://www.instagram.com/explore/locations/881505/meridian-junior-college/
patio-de-sapiera,https://www.instagram.com/explore/locations/100204385253502/patio-de-sapiera/
siglap-secondary-school,https://www.instagram.com/explore/locations/516362374/siglap-secondary-school/
commando-training-camp-pasir-ris,https://www.instagram.com/explore/locations/241905687/commando-training-camp-pasir-ris/
sosd,https://www.instagram.com/explore/locations/239187451/sosd/
pasir-ris-street-71,https://www.instagram.com/explore/locations/360110434/pasir-ris-street-71/
church-of-divine-mercy,https://www.instagram.com/explore/locations/359283/church-of-divine-mercy/
pasir-ris-parksingapore,https://www.instagram.com/explore/locations/238635616/pasir-ris-parksingapore/
batman-secret-cave,https://www.instagram.com/explore/locations/285343023/batman-secret-cave/
bethlehem-israel,https://www.instagram.com/explore/locations/515386448483681/bethlehem-israel/
pasir-ris-drive-10,https://www.instagram.com/explore/locations/236258972/pasir-ris-drive-10/
kopitiam,https://www.instagram.com/explore/locations/702070/kopitiam/
vue-8,https://www.instagram.com/explore/locations/1020030703/vue-8/
universal-studios-singapore,https://www.instagram.com/explore/locations/398124345/universal-studios-singapore/
