cityname,url
seletar-country-club,https://www.instagram.com/explore/locations/825162993/seletar-country-club/
airbus-asia-training-centre-aatc,https://www.instagram.com/explore/locations/1172474336120202/airbus-asia-training-centre-aatc/
seletar-country-club,https://www.instagram.com/explore/locations/113610473890657/seletar-country-club/
famous-palace,https://www.instagram.com/explore/locations/106252268756039/famous-palace/
seletar-terrace,https://www.instagram.com/explore/locations/855017394869509/seletar-terrace/
cae-seletar-aviation-hub,https://www.instagram.com/explore/locations/293816685/cae-seletar-aviation-hub/
seletar-golf-country-club,https://www.instagram.com/explore/locations/213119953/seletar-golf-country-club/
satair-airbus,https://www.instagram.com/explore/locations/313784688/satair-airbus/
seletar-west-link,https://www.instagram.com/explore/locations/4709961/seletar-west-link/
seletar-west-camp-road,https://www.instagram.com/explore/locations/337919301/seletar-west-camp-road/
terrace-seletar-country-club,https://www.instagram.com/explore/locations/248070801/terrace-seletar-country-club/
seletar-aerospace-link,https://www.instagram.com/explore/locations/73459575/seletar-aerospace-link/
seletar-base-golf-club,https://www.instagram.com/explore/locations/297332787/seletar-base-golf-club/
the-terminal,https://www.instagram.com/explore/locations/1809438855966858/the-terminal/
seletar-sports-social,https://www.instagram.com/explore/locations/1026001785/seletar-sports-social/
lower-seletar-waterworks,https://www.instagram.com/explore/locations/474192540/lower-seletar-waterworks/
seletar-terrace,https://www.instagram.com/explore/locations/8510647/seletar-terrace/
eagles-view-at-seletar-country-club,https://www.instagram.com/explore/locations/236931768/eagles-view-at-seletar-country-club/
lsww-site,https://www.instagram.com/explore/locations/183401778371040/lsww-site/
seletar-golf-and-country-club,https://www.instagram.com/explore/locations/271622124/seletar-golf-and-country-club/
seletar-eagles-view-restaurant,https://www.instagram.com/explore/locations/236930928/seletar-eagles-view-restaurant/
a-group-of-people,https://www.instagram.com/explore/locations/484480568372246/a-group-of-people/
inside-bus-969,https://www.instagram.com/explore/locations/312924797/inside-bus-969/
seletar-country-club-driving-range,https://www.instagram.com/explore/locations/1024969579/seletar-country-club-driving-range/
universal-studio-singapore,https://www.instagram.com/explore/locations/252036436/universal-studio-singapore/
eagles-view-lounge,https://www.instagram.com/explore/locations/424752468089593/eagles-view-lounge/
swimming-pool-seletar-country-club,https://www.instagram.com/explore/locations/1606308682848960/swimming-pool-seletar-country-club/
expressway,https://www.instagram.com/explore/locations/710039684/expressway/
sentosa,https://www.instagram.com/explore/locations/247336534/sentosa/
seletar-country-club-bowling-room,https://www.instagram.com/explore/locations/462401501/seletar-country-club-bowling-room/
seletar-bowl,https://www.instagram.com/explore/locations/289661981645776/seletar-bowl/
seletar-terrace,https://www.instagram.com/explore/locations/2277827365624829/seletar-terrace/
safari-zoo-run,https://www.instagram.com/explore/locations/172712580335175/safari-zoo-run/
avimac,https://www.instagram.com/explore/locations/111573944692256/avimac/
seletar-terrace-tavern,https://www.instagram.com/explore/locations/507054609/seletar-terrace-tavern/
famous-palace-at-seletar-country-club,https://www.instagram.com/explore/locations/110949031671207/famous-palace-at-seletar-country-club/
seletar-tavern,https://www.instagram.com/explore/locations/26791024/seletar-tavern/
anah-nahn,https://www.instagram.com/explore/locations/1847698188654637/anah-nahn/
cae-training-centre-singapore,https://www.instagram.com/explore/locations/1028047051/cae-training-centre-singapore/
seletar-country-club-bowling-alley,https://www.instagram.com/explore/locations/1033804322/seletar-country-club-bowling-alley/
singapore-component-solutions,https://www.instagram.com/explore/locations/703491543416645/singapore-component-solutions/
dalam-pesawat,https://www.instagram.com/explore/locations/200189280076776/dalam-pesawat/
moog-aircraft-services-asia,https://www.instagram.com/explore/locations/432860043905716/moog-aircraft-services-asia/
seletar-tavern,https://www.instagram.com/explore/locations/270926706951173/seletar-tavern/
chai-chee-dr,https://www.instagram.com/explore/locations/224936474188435/chai-chee-dr/
seletar-country-club-pool-side,https://www.instagram.com/explore/locations/616171277/seletar-country-club-pool-side/
seletar-country-club-tavern,https://www.instagram.com/explore/locations/426078670749903/seletar-country-club-tavern/
puma-night-run-2017,https://www.instagram.com/explore/locations/113532799323575/puma-night-run-2017/
transview-golf-academy,https://www.instagram.com/explore/locations/108738320812291/transview-golf-academy/
seletar-country-club-golfing-office,https://www.instagram.com/explore/locations/603169186/seletar-country-club-golfing-office/
seletar-country-club,https://www.instagram.com/explore/locations/365828094141859/seletar-country-club/
seletar-country-club,https://www.instagram.com/explore/locations/526414527777528/seletar-country-club/
buillion-park-condominium,https://www.instagram.com/explore/locations/219047914816004/buillion-park-condominium/
scc-driving-range,https://www.instagram.com/explore/locations/580241355333678/scc-driving-range/
2-seletar-aerospace-link,https://www.instagram.com/explore/locations/1080835108756797/2-seletar-aerospace-link/
seletar-country-club,https://www.instagram.com/explore/locations/356758240848772/seletar-country-club/
seletar-country-club-bowling-alley,https://www.instagram.com/explore/locations/1030551392/seletar-country-club-bowling-alley/
scc-swimming-pool,https://www.instagram.com/explore/locations/1022717070/scc-swimming-pool/
meggitt-asia-pacific-pte-ltd,https://www.instagram.com/explore/locations/795668280808695/meggitt-asia-pacific-pte-ltd/
coway-engineering-marketing-pte-ltd,https://www.instagram.com/explore/locations/101922782787268/coway-engineering-marketing-pte-ltd/
satair-pte-ltd,https://www.instagram.com/explore/locations/1027583534/satair-pte-ltd/
ampang-yong-tau-fu,https://www.instagram.com/explore/locations/828970702/ampang-yong-tau-fu/
smrt-taxi,https://www.instagram.com/explore/locations/621883639/smrt-taxi/
407-sembawang-dr,https://www.instagram.com/explore/locations/174078625980536/407-sembawang-dr/
cae-singapore-training-center,https://www.instagram.com/explore/locations/1018523423/cae-singapore-training-center/
karaoke,https://www.instagram.com/explore/locations/1031995702/karaoke/
seletar-newater-factory,https://www.instagram.com/explore/locations/51439263/seletar-newater-factory/
seletar-country-club-karaoke-rm,https://www.instagram.com/explore/locations/795110805/seletar-country-club-karaoke-rm/
seletar-room,https://www.instagram.com/explore/locations/170927146315896/seletar-room/
pepper-lunch-express-waterway-point,https://www.instagram.com/explore/locations/103504847689749/pepper-lunch-express-waterway-point/
seletar-country-club,https://www.instagram.com/explore/locations/340005609800855/seletar-country-club/
seletar-country-club,https://www.instagram.com/explore/locations/383789592494667/seletar-country-club/
heineken,https://www.instagram.com/explore/locations/507140143142185/heineken/
lsww-site-lower-seletar-link,https://www.instagram.com/explore/locations/412716161/lsww-site-lower-seletar-link/
jayanta-saloon,https://www.instagram.com/explore/locations/101398085672335/jayanta-saloon/
hair-shine-salon,https://www.instagram.com/explore/locations/641531823/hair-shine-salon/
seletar-country-club-gym,https://www.instagram.com/explore/locations/794721719/seletar-country-club-gym/
eagles-view-restaurant,https://www.instagram.com/explore/locations/259473810/eagles-view-restaurant/
?locale=en_US,https://help.instagram.com/581066165581870/?locale=en_US
