cityname,url
last-lamp-post,https://www.instagram.com/explore/locations/110649499284216/last-lamp-post/
80-tuas-boulevard-sembcorp-marine-shipyard,https://www.instagram.com/explore/locations/266338952/80-tuas-boulevard-sembcorp-marine-shipyard/
singapore-ship-yard,https://www.instagram.com/explore/locations/950036014/singapore-ship-yard/
tuas-lamp-post-1,https://www.instagram.com/explore/locations/101427885354470/tuas-lamp-post-1/
samudera-hindia,https://www.instagram.com/explore/locations/659421406/samudera-hindia/
tuas-south,https://www.instagram.com/explore/locations/328597193883278/tuas-south/
santosha-siloso-beach,https://www.instagram.com/explore/locations/641979366/santosha-siloso-beach/
royal-caribbean-international,https://www.instagram.com/explore/locations/230180327482361/royal-caribbean-international/
algas-anchorage-singapore,https://www.instagram.com/explore/locations/501643524/algas-anchorage-singapore/
tuas-naval-base,https://www.instagram.com/explore/locations/16570850/tuas-naval-base/
jurong-mega-shipyard-at-tuas,https://www.instagram.com/explore/locations/251205691/jurong-mega-shipyard-at-tuas/
keppel-offshore-marine,https://www.instagram.com/explore/locations/251030687/keppel-offshore-marine/
keppel-shipyard-singapore,https://www.instagram.com/explore/locations/255194834/keppel-shipyard-singapore/
singapore-marine-bay-sands,https://www.instagram.com/explore/locations/408154999247997/singapore-marine-bay-sands/
tuas-lamp-post-1,https://www.instagram.com/explore/locations/104427988240301/tuas-lamp-post-1/
keppel-fels-limited,https://www.instagram.com/explore/locations/229582252/keppel-fels-limited/
cdpl-dormitory,https://www.instagram.com/explore/locations/1598977783727427/cdpl-dormitory/
tuas-south-ave-9,https://www.instagram.com/explore/locations/262155539/tuas-south-ave-9/
keppel-shipyard-gul,https://www.instagram.com/explore/locations/8905350/keppel-shipyard-gul/
tuas-lamp-post-one,https://www.instagram.com/explore/locations/315573465959877/tuas-lamp-post-one/
singapore-western-out-port-limit,https://www.instagram.com/explore/locations/1027958422/singapore-western-out-port-limit/
torajabatualu-sangalla,https://www.instagram.com/explore/locations/520807310/torajabatualu-sangalla/
tuas-south-dormitory,https://www.instagram.com/explore/locations/292663111569330/tuas-south-dormitory/
blast-clean-singapore,https://www.instagram.com/explore/locations/107010325371636/blast-clean-singapore/
harbourfront-vivocity-singapore,https://www.instagram.com/explore/locations/1016449388/harbourfront-vivocity-singapore/
sembmarine-integrated-yard-at-tuas,https://www.instagram.com/explore/locations/236802534/sembmarine-integrated-yard-at-tuas/
reclamation-at-tuas-finger-1,https://www.instagram.com/explore/locations/859147927/reclamation-at-tuas-finger-1/
singapore-real-life,https://www.instagram.com/explore/locations/1317925684887845/singapore-real-life/
tuas-south-recreation-centre,https://www.instagram.com/explore/locations/183857188883908/tuas-south-recreation-centre/
laut-singapura,https://www.instagram.com/explore/locations/268925323167649/laut-singapura/
sembcorp-mega-yard,https://www.instagram.com/explore/locations/250378389/sembcorp-mega-yard/
sembcorp-marine-tuas,https://www.instagram.com/explore/locations/116022584438190/sembcorp-marine-tuas/
tuas-south-street-15,https://www.instagram.com/explore/locations/224399401515827/tuas-south-street-15/
north-pacific-ocean,https://www.instagram.com/explore/locations/705587905/north-pacific-ocean/
tuas-sembcorp-megayard,https://www.instagram.com/explore/locations/359906487/tuas-sembcorp-megayard/
tuas-lamp-post-1,https://www.instagram.com/explore/locations/937085802982814/tuas-lamp-post-1/
patong-phuket,https://www.instagram.com/explore/locations/398530702/patong-phuket/
keppel-fels,https://www.instagram.com/explore/locations/240493973/keppel-fels/
west-opl-anchorage-singapore,https://www.instagram.com/explore/locations/534722989/west-opl-anchorage-singapore/
phbjv-tuas-terminal-phase-2,https://www.instagram.com/explore/locations/109881163766884/phbjv-tuas-terminal-phase-2/
keppel-fels-ship-yard-singapore,https://www.instagram.com/explore/locations/514459814/keppel-fels-ship-yard-singapore/
marina-bay-singapore,https://www.instagram.com/explore/locations/507965089237182/marina-bay-singapore/
tembusu-multi-utilities-complex,https://www.instagram.com/explore/locations/10593591/tembusu-multi-utilities-complex/
mega-yard-tuas-singapore,https://www.instagram.com/explore/locations/250256858/mega-yard-tuas-singapore/
mega-yard-tuas,https://www.instagram.com/explore/locations/241692946/mega-yard-tuas/
ngujima-yin-fpso,https://www.instagram.com/explore/locations/712785406/ngujima-yin-fpso/
sembcorp-marine-private-limited-singapore,https://www.instagram.com/explore/locations/1021608673/sembcorp-marine-private-limited-singapore/
penta-ocean-tuas-mpa-f1-project,https://www.instagram.com/explore/locations/1028533665/penta-ocean-tuas-mpa-f1-project/
tuas-mega-yard,https://www.instagram.com/explore/locations/254345842/tuas-mega-yard/
tuas-south-ave-12-project-site,https://www.instagram.com/explore/locations/240534998/tuas-south-ave-12-project-site/
celebrity-millennium,https://www.instagram.com/explore/locations/480666829121044/celebrity-millennium/
ddjv-ttp1-project,https://www.instagram.com/explore/locations/855463421226811/ddjv-ttp1-project/
darwin-northern-territory-australia,https://www.instagram.com/explore/locations/275588529/darwin-northern-territory-australia/
exxonmobil-terminal-jurong-singapore,https://www.instagram.com/explore/locations/392352724123213/exxonmobil-terminal-jurong-singapore/
voyager-of-the-seas,https://www.instagram.com/explore/locations/497566206934734/voyager-of-the-seas/
cxd,https://www.instagram.com/explore/locations/619633235344529/cxd/
mauritius-island,https://www.instagram.com/explore/locations/264007613/mauritius-island/
golden-princess-cruise-ship,https://www.instagram.com/explore/locations/850429717/golden-princess-cruise-ship/
sembcorp-marine-integrated-yard-pte-ltd-tuas-boulevard,https://www.instagram.com/explore/locations/514107275627354/sembcorp-marine-integrated-yard-pte-ltd-tuas-boulevard/
tuas-south-link1,https://www.instagram.com/explore/locations/306486863201135/tuas-south-link1/
tuas-water-reclamation,https://www.instagram.com/explore/locations/100851012640200/tuas-water-reclamation/
cdpl-tuas-dormitory,https://www.instagram.com/explore/locations/549111711960360/cdpl-tuas-dormitory/
singapore-salvage-engineers,https://www.instagram.com/explore/locations/106325494366470/singapore-salvage-engineers/
tuas-south-recreation-centre,https://www.instagram.com/explore/locations/100655372530054/tuas-south-recreation-centre/
80-tuas-south-boulevard-jurong-shipyard,https://www.instagram.com/explore/locations/255211459/80-tuas-south-boulevard-jurong-shipyard/
two70-quantum-of-the-seas,https://www.instagram.com/explore/locations/1701438113438786/two70-quantum-of-the-seas/
yokohama-japan,https://www.instagram.com/explore/locations/268806756523915/yokohama-japan/
tuas-naval-base,https://www.instagram.com/explore/locations/1890186/tuas-naval-base/
keppel-shipyard-benoi-yard,https://www.instagram.com/explore/locations/325413207478178/keppel-shipyard-benoi-yard/
tembusu-avenue-jurong-island,https://www.instagram.com/explore/locations/263845120/tembusu-avenue-jurong-island/
keppel-shipyard-gul-yard,https://www.instagram.com/explore/locations/240524726/keppel-shipyard-gul-yard/
jurong-aromatics-complex-tembusu-ave,https://www.instagram.com/explore/locations/249107953/jurong-aromatics-complex-tembusu-ave/
marina-baysingapore,https://www.instagram.com/explore/locations/237558293017433/marina-baysingapore/
malacca-straight,https://www.instagram.com/explore/locations/555951021/malacca-straight/
exxon-sba-project-jurong-island-singapore,https://www.instagram.com/explore/locations/701995936569597/exxon-sba-project-jurong-island-singapore/
institute-of-chemical-and-engineering-science,https://www.instagram.com/explore/locations/281064422/institute-of-chemical-and-engineering-science/
hard-rock-cafe-orchard,https://www.instagram.com/explore/locations/568918202/hard-rock-cafe-orchard/
