cityname,url
like-and-share,https://www.instagram.com/explore/locations/107274561029960/like-and-share/
oiltanking-singapore,https://www.instagram.com/explore/locations/239236825/oiltanking-singapore/
penjuru-jetty-terminal,https://www.instagram.com/explore/locations/249171602/penjuru-jetty-terminal/
sudong-special-purpose-anchorage,https://www.instagram.com/explore/locations/353609491342419/sudong-special-purpose-anchorage/
pulau-seraya-power-station-jurong-island,https://www.instagram.com/explore/locations/221833608/pulau-seraya-power-station-jurong-island/
sawang-bandil,https://www.instagram.com/explore/locations/257829421003953/sawang-bandil/
southern-sea,https://www.instagram.com/explore/locations/1024116715/southern-sea/
seraya-power-terminalsingapore,https://www.instagram.com/explore/locations/667486280/seraya-power-terminalsingapore/
jurong-port-road,https://www.instagram.com/explore/locations/297893184/jurong-port-road/
kim-heng-marine-and-oilfield-48-penjuru-road,https://www.instagram.com/explore/locations/271660948/kim-heng-marine-and-oilfield-48-penjuru-road/
390-victoria-street-hotel-golden-vilage-level,https://www.instagram.com/explore/locations/288029744641748/390-victoria-street-hotel-golden-vilage-level/
sea,https://www.instagram.com/explore/locations/212711825409549/sea/
oiltanking-terminal-jurong-island,https://www.instagram.com/explore/locations/284470915/oiltanking-terminal-jurong-island/
in-the-middle-of-the-sea,https://www.instagram.com/explore/locations/243852922441279/in-the-middle-of-the-sea/
port-jurong-eastsingapore,https://www.instagram.com/explore/locations/233010266836864/port-jurong-eastsingapore/
sgs-petroleum-lab,https://www.instagram.com/explore/locations/1487297/sgs-petroleum-lab/
penjuru-terminal,https://www.instagram.com/explore/locations/12255972/penjuru-terminal/
42g-penjuru-road,https://www.instagram.com/explore/locations/342988142821417/42g-penjuru-road/
helios-terminal-jetty,https://www.instagram.com/explore/locations/654961484905508/helios-terminal-jetty/
intertek,https://www.instagram.com/explore/locations/7899001/intertek/
jurong-port-j3,https://www.instagram.com/explore/locations/1395920/jurong-port-j3/
jurong-port-j03,https://www.instagram.com/explore/locations/262362801072032/jurong-port-j03/
jurong-port-road-singapore,https://www.instagram.com/explore/locations/303625807/jurong-port-road-singapore/
oil-states,https://www.instagram.com/explore/locations/388447551756235/oil-states/
intertek-oil-chemical-agri-jurong-island,https://www.instagram.com/explore/locations/907800352/intertek-oil-chemical-agri-jurong-island/
cyrene-reef,https://www.instagram.com/explore/locations/307120594/cyrene-reef/
onboard-vessel,https://www.instagram.com/explore/locations/175823406678556/onboard-vessel/
jetty-mencarst-penjuru-road-singapore,https://www.instagram.com/explore/locations/670944606273834/jetty-mencarst-penjuru-road-singapore/
sgs-testing-control-services,https://www.instagram.com/explore/locations/34594009/sgs-testing-control-services/
-jurong-port,https://www.instagram.com/explore/locations/117904544980654/-jurong-port/
west-opl-singapore,https://www.instagram.com/explore/locations/1033262957/west-opl-singapore/
pulau-seraya-power-station,https://www.instagram.com/explore/locations/2005931986363775/pulau-seraya-power-station/
