cityname,url
lao-beijing-singapore,https://www.instagram.com/explore/locations/907261987/lao-beijing-singapore/
ubi-avenue-1,https://www.instagram.com/explore/locations/65819476/ubi-avenue-1/
somewhere-near-you,https://www.instagram.com/explore/locations/335838226453100/somewhere-near-you/
saigonvietnam,https://www.instagram.com/explore/locations/240344208/saigonvietnam/
singapore-motorshow,https://www.instagram.com/explore/locations/564072865/singapore-motorshow/
ducati-singapore,https://www.instagram.com/explore/locations/4533139/ducati-singapore/
luvkuching-foster-space,https://www.instagram.com/explore/locations/17120467/luvkuching-foster-space/
homework-homework-homework-,https://www.instagram.com/explore/locations/261550323859946/homework-homework-homework-/
palawan-beach-sentosa,https://www.instagram.com/explore/locations/614404116/palawan-beach-sentosa/
maha-bodhi-school,https://www.instagram.com/explore/locations/3332372/maha-bodhi-school/
j-catering,https://www.instagram.com/explore/locations/219951104/j-catering/
eunos-technolink,https://www.instagram.com/explore/locations/907484466/eunos-technolink/
lee-do-restaurant-pioneer-in-cold-crab-cuisine-since-1977,https://www.instagram.com/explore/locations/216401670/lee-do-restaurant-pioneer-in-cold-crab-cuisine-since-1977/
automobile-megamart,https://www.instagram.com/explore/locations/27933/automobile-megamart/
malam-minggu-di-rumah-aja,https://www.instagram.com/explore/locations/591958071/malam-minggu-di-rumah-aja/
enterprise-one,https://www.instagram.com/explore/locations/172826556702958/enterprise-one/
dmq-ban-mian,https://www.instagram.com/explore/locations/163122667753933/dmq-ban-mian/
ubi-ave-1-singapore,https://www.instagram.com/explore/locations/790812476/ubi-ave-1-singapore/
hafele-singapore,https://www.instagram.com/explore/locations/193906707308440/hafele-singapore/
amlubi-avenuesingapore,https://www.instagram.com/explore/locations/343844482302511/amlubi-avenuesingapore/
anywhere-everywhere,https://www.instagram.com/explore/locations/354648466/anywhere-everywhere/
dbunkd-detailing,https://www.instagram.com/explore/locations/178742396246755/dbunkd-detailing/
angelwax-asia,https://www.instagram.com/explore/locations/1379573328934317/angelwax-asia/
enterprise-one,https://www.instagram.com/explore/locations/9620257/enterprise-one/
nanays-kitchen,https://www.instagram.com/explore/locations/154410656722517/nanays-kitchen/
alis-prata,https://www.instagram.com/explore/locations/110964057206100/alis-prata/
