cityname,url
pulau-semakau,https://www.instagram.com/explore/locations/214891046/pulau-semakau/
jurong-portsingapore,https://www.instagram.com/explore/locations/1020689248/jurong-portsingapore/
pulau-penawar-rindu,https://www.instagram.com/explore/locations/2216221615282345/pulau-penawar-rindu/
pulau-jong,https://www.instagram.com/explore/locations/7612186/pulau-jong/
semakau-landfill,https://www.instagram.com/explore/locations/290564322/semakau-landfill/
vopak-sebarok,https://www.instagram.com/explore/locations/35706321/vopak-sebarok/
vopak-oil-terminal-singapore,https://www.instagram.com/explore/locations/365973883/vopak-oil-terminal-singapore/
pulau-semakau,https://www.instagram.com/explore/locations/1640959/pulau-semakau/
semakau-island,https://www.instagram.com/explore/locations/462157123902262/semakau-island/
pulau-sebarok,https://www.instagram.com/explore/locations/528042387733009/pulau-sebarok/
vopak-terminalssingapore,https://www.instagram.com/explore/locations/587488361/vopak-terminalssingapore/
karang-banteng-singapore-timur,https://www.instagram.com/explore/locations/539347332766016/karang-banteng-singapore-timur/
anchorage-singapore,https://www.instagram.com/explore/locations/349828728391096/anchorage-singapore/
pulau-sebarok,https://www.instagram.com/explore/locations/240436496/pulau-sebarok/
pulau-semakau,https://www.instagram.com/explore/locations/573572649/pulau-semakau/
singapure,https://www.instagram.com/explore/locations/241126839352159/singapure/
vopak-10-tank-store-singapore,https://www.instagram.com/explore/locations/169020316572601/vopak-10-tank-store-singapore/
singapore-strait-west-boarding-ground-see-u-latter,https://www.instagram.com/explore/locations/122338781183620/singapore-strait-west-boarding-ground-see-u-latter/
pantai-parang-tritis-yogyakarta,https://www.instagram.com/explore/locations/770941396/pantai-parang-tritis-yogyakarta/
semakau,https://www.instagram.com/explore/locations/903196782/semakau/
sea-of-raffles-light-house,https://www.instagram.com/explore/locations/250388062/sea-of-raffles-light-house/
singapore-batam-strait,https://www.instagram.com/explore/locations/1015617674/singapore-batam-strait/
ocean-pacific-eastern-sea,https://www.instagram.com/explore/locations/253140852024139/ocean-pacific-eastern-sea/
volta-pc,https://www.instagram.com/explore/locations/103077662203775/volta-pc/
mallaca-strait,https://www.instagram.com/explore/locations/705169776/mallaca-strait/
terumbu-semakau,https://www.instagram.com/explore/locations/1023346569/terumbu-semakau/
middle-of-indian-ocean,https://www.instagram.com/explore/locations/1025220594/middle-of-indian-ocean/
ocean-pacific,https://www.instagram.com/explore/locations/299162585/ocean-pacific/
tanjung-pinang-island,https://www.instagram.com/explore/locations/173860192795407/tanjung-pinang-island/
vopak-terminal-berth-3-palau-sebarok-singapore,https://www.instagram.com/explore/locations/1395276520729976/vopak-terminal-berth-3-palau-sebarok-singapore/
raffles-reserved-anchorage,https://www.instagram.com/explore/locations/216262813/raffles-reserved-anchorage/
spc-pulau-sebarok-terminal,https://www.instagram.com/explore/locations/415670761808007/spc-pulau-sebarok-terminal/
di-dalam-lemari-es,https://www.instagram.com/explore/locations/576610222433867/di-dalam-lemari-es/
loading-cargo-vopak-terminal-spore,https://www.instagram.com/explore/locations/365370723525354/loading-cargo-vopak-terminal-spore/
phillips-strait,https://www.instagram.com/explore/locations/104083866347122/phillips-strait/
shell-petroleum-pulau-bukom,https://www.instagram.com/explore/locations/234003476641111/shell-petroleum-pulau-bukom/
rowan-renaissance,https://www.instagram.com/explore/locations/581060025320074/rowan-renaissance/
boat-jetty-pulau-semakau,https://www.instagram.com/explore/locations/748911378781119/boat-jetty-pulau-semakau/
sea-of-semakau,https://www.instagram.com/explore/locations/911985819/sea-of-semakau/
vopak-sebarok,https://www.instagram.com/explore/locations/178434329769381/vopak-sebarok/
shell-sbm,https://www.instagram.com/explore/locations/1026642319/shell-sbm/
pulau-satumu-raffles-lighthouse,https://www.instagram.com/explore/locations/723426484/pulau-satumu-raffles-lighthouse/
pulau-sebarok-jetty-10,https://www.instagram.com/explore/locations/572714606498674/pulau-sebarok-jetty-10/
pulau-sebarok,https://www.instagram.com/explore/locations/304597260155990/pulau-sebarok/
slat-singapore,https://www.instagram.com/explore/locations/480302728711893/slat-singapore/
semakau-landfill,https://www.instagram.com/explore/locations/899489853583300/semakau-landfill/
fishing-in-pulau-sekeng,https://www.instagram.com/explore/locations/155382544556213/fishing-in-pulau-sekeng/
di-atas-kapal-di-dalam-kamar,https://www.instagram.com/explore/locations/575229605853468/di-atas-kapal-di-dalam-kamar/
marcopolo33s-ship-singapore,https://www.instagram.com/explore/locations/1024347056/marcopolo33s-ship-singapore/
batu-berhenti,https://www.instagram.com/explore/locations/146219172230786/batu-berhenti/
gusong,https://www.instagram.com/explore/locations/257501564/gusong/
vopak-terminal-singapore,https://www.instagram.com/explore/locations/247567162438518/vopak-terminal-singapore/
pulau-sebarok-singapore,https://www.instagram.com/explore/locations/633243825/pulau-sebarok-singapore/
universal-oil-terminal-singapore,https://www.instagram.com/explore/locations/299990790117791/universal-oil-terminal-singapore/
jong,https://www.instagram.com/explore/locations/101993463228208/jong/
the-modern-nyonya,https://www.instagram.com/explore/locations/108631414890533/the-modern-nyonya/
sbm,https://www.instagram.com/explore/locations/117445131667025/sbm/
bufallo-rock,https://www.instagram.com/explore/locations/286971111412984/bufallo-rock/
selat-pao,https://www.instagram.com/explore/locations/312522752196930/selat-pao/
pacifik-ocean,https://www.instagram.com/explore/locations/314017922061475/pacifik-ocean/
sea,https://www.instagram.com/explore/locations/187054338002689/sea/
on-the-boat,https://www.instagram.com/explore/locations/867590293/on-the-boat/
somewhere-out-of-no-where,https://www.instagram.com/explore/locations/732111342/somewhere-out-of-no-where/
jong-island-waters,https://www.instagram.com/explore/locations/310870569/jong-island-waters/
