cityname,url
changi-city-point-singapore,https://www.instagram.com/explore/locations/267917501/changi-city-point-singapore/
singapore-expo,https://www.instagram.com/explore/locations/462454367/singapore-expo/
capri-by-fraser-changi-city-singapore,https://www.instagram.com/explore/locations/215522163/capri-by-fraser-changi-city-singapore/
timbre-eastside,https://www.instagram.com/explore/locations/109567613873854/timbre-eastside/
555-villa-thai,https://www.instagram.com/explore/locations/1026478483/555-villa-thai/
changi-city-point,https://www.instagram.com/explore/locations/213650690/changi-city-point/
singapore-expo-hall-6,https://www.instagram.com/explore/locations/419222/singapore-expo-hall-6/
ichiban-sushi,https://www.instagram.com/explore/locations/257866756/ichiban-sushi/
petexpo,https://www.instagram.com/explore/locations/1030837879/petexpo/
fart-tartz,https://www.instagram.com/explore/locations/297387443/fart-tartz/
changicitypoint-,https://www.instagram.com/explore/locations/5939676/changicitypoint-/
expo-singapore,https://www.instagram.com/explore/locations/611885638951754/expo-singapore/
singapore-expo,https://www.instagram.com/explore/locations/1969858/singapore-expo/
singapore-expo-hall-5,https://www.instagram.com/explore/locations/236020544/singapore-expo-hall-5/
max-atria-singapore-expo,https://www.instagram.com/explore/locations/9814658/max-atria-singapore-expo/
eggs-berries,https://www.instagram.com/explore/locations/7949025/eggs-berries/
the-white-tiffin,https://www.instagram.com/explore/locations/656910794651664/the-white-tiffin/
the-original-boat-noodle,https://www.instagram.com/explore/locations/226434424794375/the-original-boat-noodle/
paper-rice-vietnamese-kitchen,https://www.instagram.com/explore/locations/523446994754627/paper-rice-vietnamese-kitchen/
park-avenue-hospitality-group,https://www.instagram.com/explore/locations/250359617/park-avenue-hospitality-group/
expo-singapore,https://www.instagram.com/explore/locations/117075933003247/expo-singapore/
singapore-expo-hall-2,https://www.instagram.com/explore/locations/438529/singapore-expo-hall-2/
singapore-expo-hall-1,https://www.instagram.com/explore/locations/2172346/singapore-expo-hall-1/
the-dim-sum-place-changi-city-point,https://www.instagram.com/explore/locations/101413308762600/the-dim-sum-place-changi-city-point/
a-beautiful-day-cafe,https://www.instagram.com/explore/locations/109865857852134/a-beautiful-day-cafe/
im-proud-of-you,https://www.instagram.com/explore/locations/817408755090130/im-proud-of-you/
five-x-the-skewer-bar-at-ccp,https://www.instagram.com/explore/locations/222702270/five-x-the-skewer-bar-at-ccp/
singapore-expo-hall-7,https://www.instagram.com/explore/locations/1951691/singapore-expo-hall-7/
capri-by-fraser-changi-city,https://www.instagram.com/explore/locations/25917776/capri-by-fraser-changi-city/
singapore-expo,https://www.instagram.com/explore/locations/405030716181033/singapore-expo/
expo-mrt-station,https://www.instagram.com/explore/locations/214376659/expo-mrt-station/
expo-hall-5,https://www.instagram.com/explore/locations/345407/expo-hall-5/
kf1-expo,https://www.instagram.com/explore/locations/100922222396024/kf1-expo/
singapore-expo-hall-4,https://www.instagram.com/explore/locations/2833334/singapore-expo-hall-4/
bliss-garden-restaurant,https://www.instagram.com/explore/locations/1849629/bliss-garden-restaurant/
jollibee-changi-city-point,https://www.instagram.com/explore/locations/1026627591/jollibee-changi-city-point/
starbucks-singapore,https://www.instagram.com/explore/locations/5942933/starbucks-singapore/
blvd-at-changi,https://www.instagram.com/explore/locations/1089119207856090/blvd-at-changi/
park-avenue-changi,https://www.instagram.com/explore/locations/55794020/park-avenue-changi/
ue-bizhub-east,https://www.instagram.com/explore/locations/18418670/ue-bizhub-east/
singapore-expo-hall-6-mega-wedding-lifestyle,https://www.instagram.com/explore/locations/288787207/singapore-expo-hall-6-mega-wedding-lifestyle/
manna-korean-restaurant,https://www.instagram.com/explore/locations/101733615070740/manna-korean-restaurant/
max-atria,https://www.instagram.com/explore/locations/268450743507421/max-atria/
changi-singapore-expo,https://www.instagram.com/explore/locations/264774608/changi-singapore-expo/
hall-3-singapore-expo,https://www.instagram.com/explore/locations/441136/hall-3-singapore-expo/
fitness-first-singapore,https://www.instagram.com/explore/locations/103315297815366/fitness-first-singapore/
mega-express-at-singapore-expo-hall-6,https://www.instagram.com/explore/locations/348179991/mega-express-at-singapore-expo-hall-6/
the-singapore-bike-show,https://www.instagram.com/explore/locations/478394555618567/the-singapore-bike-show/
one-changi-city,https://www.instagram.com/explore/locations/81377452/one-changi-city/
gallop-bistro,https://www.instagram.com/explore/locations/101554825134366/gallop-bistro/
ootoya-changi-city-point,https://www.instagram.com/explore/locations/6216728/ootoya-changi-city-point/
food-fest-expo-hall-5,https://www.instagram.com/explore/locations/331558690247159/food-fest-expo-hall-5/
singapore-expo,https://www.instagram.com/explore/locations/471660046318621/singapore-expo/
nike-factory-store-changi-city-point,https://www.instagram.com/explore/locations/237782365/nike-factory-store-changi-city-point/
expo-mrt,https://www.instagram.com/explore/locations/945180210/expo-mrt/
yum-cha-changi,https://www.instagram.com/explore/locations/246751285948588/yum-cha-changi/
viva-loca-at-changi,https://www.instagram.com/explore/locations/103701715117295/viva-loca-at-changi/
shabu-shabu-sukiyaki-changi-city-point,https://www.instagram.com/explore/locations/293518023/shabu-shabu-sukiyaki-changi-city-point/
ichiban-sushi-changi-city-point,https://www.instagram.com/explore/locations/213528068/ichiban-sushi-changi-city-point/
fitness-first-changi-business-park,https://www.instagram.com/explore/locations/236814193/fitness-first-changi-business-park/
fairprice-xtra-at-changi-business-park,https://www.instagram.com/explore/locations/16362207/fairprice-xtra-at-changi-business-park/
expo-mrt-station-dt35-cg1,https://www.instagram.com/explore/locations/1920720681523644/expo-mrt-station-dt35-cg1/
