cityname,url
guess-where,https://www.instagram.com/explore/locations/289736250/guess-where/
sinagapore,https://www.instagram.com/explore/locations/1031244996/sinagapore/
sengkang-grand-mall,https://www.instagram.com/explore/locations/113047551423267/sengkang-grand-mall/
masjid-al-mawaddah,https://www.instagram.com/explore/locations/7141549/masjid-al-mawaddah/
institute-of-mental-healthwoodbridge-hospital,https://www.instagram.com/explore/locations/236075414/institute-of-mental-healthwoodbridge-hospital/
compassvale-link,https://www.instagram.com/explore/locations/638309/compassvale-link/
institude-of-mental-healthimh,https://www.instagram.com/explore/locations/241123800/institude-of-mental-healthimh/
buangkok-mrt-station,https://www.instagram.com/explore/locations/236919404/buangkok-mrt-station/
jewel-at-buangkok-condominium,https://www.instagram.com/explore/locations/253570792/jewel-at-buangkok-condominium/
the-quartz-condo,https://www.instagram.com/explore/locations/1145451/the-quartz-condo/
compassvale-ancilla,https://www.instagram.com/explore/locations/51841470/compassvale-ancilla/
chicken-up,https://www.instagram.com/explore/locations/1017894546/chicken-up/
esparina-residences,https://www.instagram.com/explore/locations/75139722/esparina-residences/
sengkang-fire-station-stn-33,https://www.instagram.com/explore/locations/243716989/sengkang-fire-station-stn-33/
keep-it-handsome-barbershop-sg,https://www.instagram.com/explore/locations/1032448926/keep-it-handsome-barbershop-sg/
twg-marina-bay-sands,https://www.instagram.com/explore/locations/753213657/twg-marina-bay-sands/
institute-of-mental-health-singapore,https://www.instagram.com/explore/locations/105463718495567/institute-of-mental-health-singapore/
icebar,https://www.instagram.com/explore/locations/109039774892510/icebar/
masjid-al-mawaddah,https://www.instagram.com/explore/locations/326330022/masjid-al-mawaddah/
lepak-rilek,https://www.instagram.com/explore/locations/338019168/lepak-rilek/
arnolds-chicken-hougang-green-mall,https://www.instagram.com/explore/locations/239823363/arnolds-chicken-hougang-green-mall/
hougang-st-51-singapore,https://www.instagram.com/explore/locations/255445239/hougang-st-51-singapore/
the-coris,https://www.instagram.com/explore/locations/25186597/the-coris/
hougang-green,https://www.instagram.com/explore/locations/219056777/hougang-green/
buangkok-singapore,https://www.instagram.com/explore/locations/281323921/buangkok-singapore/
maniqueen,https://www.instagram.com/explore/locations/294413444102897/maniqueen/
chefs-hats,https://www.instagram.com/explore/locations/12783425/chefs-hats/
the-atrina,https://www.instagram.com/explore/locations/2061833/the-atrina/
coca-takashimaya,https://www.instagram.com/explore/locations/368960613120695/coca-takashimaya/
switzeland,https://www.instagram.com/explore/locations/113095105448488/switzeland/
crying,https://www.instagram.com/explore/locations/259813725/crying/
