cityname,url
marina-bay-sand-restaurant,https://www.instagram.com/explore/locations/1031513790/marina-bay-sand-restaurant/
singapore-city-singapore,https://www.instagram.com/explore/locations/214774384/singapore-city-singapore/
super-tree-grove-garden-by-the-bay-singapore,https://www.instagram.com/explore/locations/381109303/super-tree-grove-garden-by-the-bay-singapore/
activesg-pasir-ris-sport-centre,https://www.instagram.com/explore/locations/246825817/activesg-pasir-ris-sport-centre/
erawan-shrine-bangkok-thailand,https://www.instagram.com/explore/locations/685057708/erawan-shrine-bangkok-thailand/
tampines-street-45,https://www.instagram.com/explore/locations/1358777/tampines-street-45/
tampines-eco-park,https://www.instagram.com/explore/locations/237851504/tampines-eco-park/
emo-land,https://www.instagram.com/explore/locations/592973118/emo-land/
dbest-fishing,https://www.instagram.com/explore/locations/353627698/dbest-fishing/
pasir-ris-st-11-singapore,https://www.instagram.com/explore/locations/290843224/pasir-ris-st-11-singapore/
wild-olives,https://www.instagram.com/explore/locations/253532758/wild-olives/
pasir-ris-drive-6,https://www.instagram.com/explore/locations/1543827/pasir-ris-drive-6/
danns-entertainment-events,https://www.instagram.com/explore/locations/1010154229/danns-entertainment-events/
pasir-ris-pasir-ris-town-park-main-fishing-pond,https://www.instagram.com/explore/locations/354921216/pasir-ris-pasir-ris-town-park-main-fishing-pond/
pasir-ris-sports-recreation-centre,https://www.instagram.com/explore/locations/3901786/pasir-ris-sports-recreation-centre/
marina-bay-shopping-mall,https://www.instagram.com/explore/locations/269494218/marina-bay-shopping-mall/
my-kingdom,https://www.instagram.com/explore/locations/281363787/my-kingdom/
pasir-ris-east-community-club,https://www.instagram.com/explore/locations/788886/pasir-ris-east-community-club/
pasir-ris-hawker-centre,https://www.instagram.com/explore/locations/182771802488662/pasir-ris-hawker-centre/
eastvalepasir-ris-drive-3singapore-condominium,https://www.instagram.com/explore/locations/251780636/eastvalepasir-ris-drive-3singapore-condominium/
srisun-express,https://www.instagram.com/explore/locations/1893860194235422/srisun-express/
pasir-ris-town-park,https://www.instagram.com/explore/locations/135972256433468/pasir-ris-town-park/
poring-hot-spring-ranau-sabah,https://www.instagram.com/explore/locations/728470181/poring-hot-spring-ranau-sabah/
lukhon-thai-thai-bbq-steamboat,https://www.instagram.com/explore/locations/1028253678/lukhon-thai-thai-bbq-steamboat/
marina-bay-sands,https://www.instagram.com/explore/locations/302965485/marina-bay-sands/
in-my-world,https://www.instagram.com/explore/locations/214896382/in-my-world/
prawnaholic-sg,https://www.instagram.com/explore/locations/1978219802417800/prawnaholic-sg/
coral-secondary-school,https://www.instagram.com/explore/locations/498047070/coral-secondary-school/
pasir-ris-east-community-centre,https://www.instagram.com/explore/locations/784515875054078/pasir-ris-east-community-centre/
pasir-ris-street-51,https://www.instagram.com/explore/locations/12657747/pasir-ris-street-51/
suzychelseas-sweet-home,https://www.instagram.com/explore/locations/827810577/suzychelseas-sweet-home/
pasir-ris-st-12-singapore,https://www.instagram.com/explore/locations/288588583/pasir-ris-st-12-singapore/
clarke-quay,https://www.instagram.com/explore/locations/284332684/clarke-quay/
the-nail-place,https://www.instagram.com/explore/locations/101953925534679/the-nail-place/
meridian-secondary-school,https://www.instagram.com/explore/locations/1843464799277191/meridian-secondary-school/
loyang-secondary-school,https://www.instagram.com/explore/locations/1630992/loyang-secondary-school/
pentecost-methodist-church,https://www.instagram.com/explore/locations/492923/pentecost-methodist-church/
bistro-at-the-park,https://www.instagram.com/explore/locations/221770819226481/bistro-at-the-park/
malacca-malaysia,https://www.instagram.com/explore/locations/237075226/malacca-malaysia/
tampines-street-43,https://www.instagram.com/explore/locations/34899276/tampines-street-43/
don-dae-bak,https://www.instagram.com/explore/locations/102216465817419/don-dae-bak/
vfc-tampines,https://www.instagram.com/explore/locations/50211476/vfc-tampines/
lina-and-najib-kampong,https://www.instagram.com/explore/locations/1488204801396836/lina-and-najib-kampong/
lakshya-group-of-colleges-seohara,https://www.instagram.com/explore/locations/111418999278862/lakshya-group-of-colleges-seohara/
loyang-view-secondary-school,https://www.instagram.com/explore/locations/537787146383503/loyang-view-secondary-school/
great-wall-china,https://www.instagram.com/explore/locations/244875112/great-wall-china/
blk-558-pasir-ris-st-51,https://www.instagram.com/explore/locations/29594643/blk-558-pasir-ris-st-51/
lina-najib-kampung,https://www.instagram.com/explore/locations/364326130430099/lina-najib-kampung/
reimondo-seafood-congee,https://www.instagram.com/explore/locations/1028498698/reimondo-seafood-congee/
victory-family-centre,https://www.instagram.com/explore/locations/1989401/victory-family-centre/
sungei-tampines,https://www.instagram.com/explore/locations/226901001199958/sungei-tampines/
478-tampines-street-44,https://www.instagram.com/explore/locations/198603100151612/478-tampines-street-44/
mr-prata,https://www.instagram.com/explore/locations/591288/mr-prata/
coffee-express-blk-443-pasir-ris-drive-6,https://www.instagram.com/explore/locations/251769994/coffee-express-blk-443-pasir-ris-drive-6/
pasir-ris-polyclinic,https://www.instagram.com/explore/locations/103158091185799/pasir-ris-polyclinic/
pasir-ris-one-dbss,https://www.instagram.com/explore/locations/1003482860/pasir-ris-one-dbss/
loyang-primary-school,https://www.instagram.com/explore/locations/533243179/loyang-primary-school/
collyer-quay-raffles-place,https://www.instagram.com/explore/locations/312763343/collyer-quay-raffles-place/
breakfast-time,https://www.instagram.com/explore/locations/466504312/breakfast-time/
in-your-world,https://www.instagram.com/explore/locations/140714356001279/in-your-world/
altitude,https://www.instagram.com/explore/locations/216104738998949/altitude/
the-veterinary-clinic-at-tampines,https://www.instagram.com/explore/locations/235735751/the-veterinary-clinic-at-tampines/
pasir-ris-hawker-centre,https://www.instagram.com/explore/locations/547506147/pasir-ris-hawker-centre/
pasir-ris-sports-and-recreational-centre-swimming-pool,https://www.instagram.com/explore/locations/237668293/pasir-ris-sports-and-recreational-centre-swimming-pool/
escala-43,https://www.instagram.com/explore/locations/1030160231/escala-43/
legoland-malaysia,https://www.instagram.com/explore/locations/288683407/legoland-malaysia/
dunman-secondary-school,https://www.instagram.com/explore/locations/513348628/dunman-secondary-school/
pasir-ris-st-11,https://www.instagram.com/explore/locations/12342021/pasir-ris-st-11/
pasir-ris-drive-6-blk-444-food-court,https://www.instagram.com/explore/locations/247248742/pasir-ris-drive-6-blk-444-food-court/
tampines-park-connector,https://www.instagram.com/explore/locations/14780210/tampines-park-connector/
disneyland-california-los-angeles,https://www.instagram.com/explore/locations/288587454/disneyland-california-los-angeles/
clubfitt-gym-pasir-ris,https://www.instagram.com/explore/locations/8013458/clubfitt-gym-pasir-ris/
pikachus-world,https://www.instagram.com/explore/locations/398272917590371/pikachus-world/
delato-handcrafted-ice-cream,https://www.instagram.com/explore/locations/111029775426108/delato-handcrafted-ice-cream/
sakon-thai-downtowneast,https://www.instagram.com/explore/locations/106825094251744/sakon-thai-downtowneast/
phuket-patong-beach,https://www.instagram.com/explore/locations/716222044/phuket-patong-beach/
