cityname,url
universal-oil-terminal-pteltd-singapore,https://www.instagram.com/explore/locations/303669016/universal-oil-terminal-pteltd-singapore/
chevron-oronite-pte-ltd,https://www.instagram.com/explore/locations/4276049/chevron-oronite-pte-ltd/
kampong-tanah-merah-singapore,https://www.instagram.com/explore/locations/327541810/kampong-tanah-merah-singapore/
jurong-island-sakra,https://www.instagram.com/explore/locations/250281223/jurong-island-sakra/
aepb-singapore,https://www.instagram.com/explore/locations/203369319753999/aepb-singapore/
in-the-sea,https://www.instagram.com/explore/locations/994588688/in-the-sea/
universal-terminal-singapore,https://www.instagram.com/explore/locations/8899132/universal-terminal-singapore/
sakra-avenue-jurong-island,https://www.instagram.com/explore/locations/2184403194925017/sakra-avenue-jurong-island/
vopak-terminals-singapore,https://www.instagram.com/explore/locations/2243644699285165/vopak-terminals-singapore/
sembcorp-cogen,https://www.instagram.com/explore/locations/51892797/sembcorp-cogen/
mitsushima-japan,https://www.instagram.com/explore/locations/1026434411/mitsushima-japan/
mitsui-phenols-singapore,https://www.instagram.com/explore/locations/488164190/mitsui-phenols-singapore/
ramadhan-mubarak,https://www.instagram.com/explore/locations/475767089102395/ramadhan-mubarak/
smag,https://www.instagram.com/explore/locations/273251321/smag/
universal-terminal-jetty-8,https://www.instagram.com/explore/locations/1043643095828408/universal-terminal-jetty-8/
vopak-sakra-terminal-jurong-island,https://www.instagram.com/explore/locations/692883069/vopak-sakra-terminal-jurong-island/
universal-terminals-singapore-mau-mati-crescent,https://www.instagram.com/explore/locations/381103299/universal-terminals-singapore-mau-mati-crescent/
1-sakra-road-dupont,https://www.instagram.com/explore/locations/196580393703478/1-sakra-road-dupont/
sampai-ujung-dunia,https://www.instagram.com/explore/locations/363344023785724/sampai-ujung-dunia/
evonik-rohmax-oil-additives,https://www.instagram.com/explore/locations/867340102/evonik-rohmax-oil-additives/
asahi-kasei-plastics-singapore-pte-ltd,https://www.instagram.com/explore/locations/333162355/asahi-kasei-plastics-singapore-pte-ltd/
efw-project-at-sakra,https://www.instagram.com/explore/locations/485145588/efw-project-at-sakra/
eastman-chemical,https://www.instagram.com/explore/locations/885411529/eastman-chemical/
freakzworld,https://www.instagram.com/explore/locations/489730601044469/freakzworld/
exxonmobil-vlcc-ovl-2,https://www.instagram.com/explore/locations/670222668/exxonmobil-vlcc-ovl-2/
out-at-sea,https://www.instagram.com/explore/locations/960356/out-at-sea/
serb-ji,https://www.instagram.com/explore/locations/502929228/serb-ji/
tate-and-lyle-singapore,https://www.instagram.com/explore/locations/16989870/tate-and-lyle-singapore/
serb-sakra-emergency-response-brigade,https://www.instagram.com/explore/locations/226980098/serb-sakra-emergency-response-brigade/
smag-complex-jurong-island,https://www.instagram.com/explore/locations/2668809/smag-complex-jurong-island/
celanese-singapore-pte-ltd,https://www.instagram.com/explore/locations/757137245/celanese-singapore-pte-ltd/
vessel-traffic-international-singapore,https://www.instagram.com/explore/locations/634741191/vessel-traffic-international-singapore/
fujairah-bravo-anchorage,https://www.instagram.com/explore/locations/789459694/fujairah-bravo-anchorage/
vopac-oil-terminal-jurong-island-singapore,https://www.instagram.com/explore/locations/1018499504/vopac-oil-terminal-jurong-island-singapore/
sakra-emergency-responce-brigade,https://www.instagram.com/explore/locations/2131224077148737/sakra-emergency-responce-brigade/
sembcorp-admin-building,https://www.instagram.com/explore/locations/699099597138156/sembcorp-admin-building/
universal-terminal-jetty-7,https://www.instagram.com/explore/locations/471246156233968/universal-terminal-jetty-7/
kusu-island,https://www.instagram.com/explore/locations/983438398/kusu-island/
horizon-oil-terminal-banyan-island-singapore,https://www.instagram.com/explore/locations/679468092/horizon-oil-terminal-banyan-island-singapore/
lucite-international-jurong-island,https://www.instagram.com/explore/locations/376532744/lucite-international-jurong-island/
kontenakotak,https://www.instagram.com/explore/locations/493866267303411/kontenakotak/
air-products-singapore,https://www.instagram.com/explore/locations/199878913379240/air-products-singapore/
sakra-emergency-response-brigade,https://www.instagram.com/explore/locations/359995967/sakra-emergency-response-brigade/
universal-terminal-jetty-9,https://www.instagram.com/explore/locations/318687668226943/universal-terminal-jetty-9/
horizon-jetty-4a,https://www.instagram.com/explore/locations/1020487208/horizon-jetty-4a/
moe-heritage-centre,https://www.instagram.com/explore/locations/654191421/moe-heritage-centre/
beach-house-vlcc,https://www.instagram.com/explore/locations/279565439552727/beach-house-vlcc/
pinky-palace,https://www.instagram.com/explore/locations/226913197398716/pinky-palace/
ovl2-vlcc-jetty,https://www.instagram.com/explore/locations/738254507/ovl2-vlcc-jetty/
universal-terminal-s-pte-ltd,https://www.instagram.com/explore/locations/319296125/universal-terminal-s-pte-ltd/
omu-1,https://www.instagram.com/explore/locations/1035595638/omu-1/
banyan-basin,https://www.instagram.com/explore/locations/1320540/banyan-basin/
sakra-avenue,https://www.instagram.com/explore/locations/906945160/sakra-avenue/
asahiplasticaps-sakra-rd,https://www.instagram.com/explore/locations/857157055/asahiplasticaps-sakra-rd/
batam-island,https://www.instagram.com/explore/locations/374635686/batam-island/
beach-house-vlcc,https://www.instagram.com/explore/locations/88946638/beach-house-vlcc/
jurong-island-sakra-emergency-brigade,https://www.instagram.com/explore/locations/382041007/jurong-island-sakra-emergency-brigade/
vlcc,https://www.instagram.com/explore/locations/200793373276761/vlcc/
lagi-duduk-manis-depan-tivi,https://www.instagram.com/explore/locations/305237336297125/lagi-duduk-manis-depan-tivi/
universal-oil-terminal,https://www.instagram.com/explore/locations/333946400011135/universal-oil-terminal/
kuraray-asia-pacific-jurong-island,https://www.instagram.com/explore/locations/1020320418/kuraray-asia-pacific-jurong-island/
eastman-chemical-singapore,https://www.instagram.com/explore/locations/317541442245162/eastman-chemical-singapore/
conocophillips-singapore-operations-pte-ltd,https://www.instagram.com/explore/locations/89353915/conocophillips-singapore-operations-pte-ltd/
jurong-port,https://www.instagram.com/explore/locations/100202352712301/jurong-port/
sakra-jurong-island,https://www.instagram.com/explore/locations/186980074804618/sakra-jurong-island/
sembcorp-utilities,https://www.instagram.com/explore/locations/238610883/sembcorp-utilities/
algas-anchorage-off-sultan-shoal-lighthouse,https://www.instagram.com/explore/locations/193736380672160/algas-anchorage-off-sultan-shoal-lighthouse/
bikini-atol,https://www.instagram.com/explore/locations/1035120659/bikini-atol/
mitsui-phenols-singapore-jrg-island,https://www.instagram.com/explore/locations/909484504/mitsui-phenols-singapore-jrg-island/
ovl2-very-large-crude-carrier-terminal-2,https://www.instagram.com/explore/locations/109181706695756/ovl2-very-large-crude-carrier-terminal-2/
chemical-process-technology-centre-cptc,https://www.instagram.com/explore/locations/993052576/chemical-process-technology-centre-cptc/
sakra-jetty,https://www.instagram.com/explore/locations/363966090331509/sakra-jetty/
sembcorp-jurong-island,https://www.instagram.com/explore/locations/41651770/sembcorp-jurong-island/
allgas-anchorage,https://www.instagram.com/explore/locations/1027200734/allgas-anchorage/
sembcorp-woodchip-boiler-plant,https://www.instagram.com/explore/locations/724531697900192/sembcorp-woodchip-boiler-plant/
awpb,https://www.instagram.com/explore/locations/309670729056568/awpb/
orient-express,https://www.instagram.com/explore/locations/101091768553352/orient-express/
sakra-ave,https://www.instagram.com/explore/locations/1028436518/sakra-ave/
universal-oil-terminal-singapore,https://www.instagram.com/explore/locations/565415676820406/universal-oil-terminal-singapore/
