cityname,url
bedok-corner,https://www.instagram.com/explore/locations/1831982/bedok-corner/
east-coast-park-area-g,https://www.instagram.com/explore/locations/585004/east-coast-park-area-g/
bedok-camp-2-home-of-the-elite-guards,https://www.instagram.com/explore/locations/217489278/bedok-camp-2-home-of-the-elite-guards/
cycling-east-coast-park,https://www.instagram.com/explore/locations/218495471/cycling-east-coast-park/
craftsmen-at-eastwood-centre,https://www.instagram.com/explore/locations/609587833/craftsmen-at-eastwood-centre/
bandara-cangisingapore,https://www.instagram.com/explore/locations/563599781/bandara-cangisingapore/
anchorage-eastern-petroleum-b,https://www.instagram.com/explore/locations/21635310/anchorage-eastern-petroleum-b/
abu-mubarak-mandi-rice,https://www.instagram.com/explore/locations/54094665/abu-mubarak-mandi-rice/
henderson-waves-at-telok-blangah-hill-park,https://www.instagram.com/explore/locations/503927013/henderson-waves-at-telok-blangah-hill-park/
glowco-move,https://www.instagram.com/explore/locations/131992073677633/glowco-move/
outward-bound-singapore-east-coast,https://www.instagram.com/explore/locations/252645712/outward-bound-singapore-east-coast/
cathedral-church-dumaguete-city,https://www.instagram.com/explore/locations/648131517/cathedral-church-dumaguete-city/
bedok-corner-hawker-centre,https://www.instagram.com/explore/locations/264843698/bedok-corner-hawker-centre/
kew-drive,https://www.instagram.com/explore/locations/1362867/kew-drive/
east-coast-park-carpark-g,https://www.instagram.com/explore/locations/254736674/east-coast-park-carpark-g/
upper-east-coast-bus-terminal,https://www.instagram.com/explore/locations/423968714/upper-east-coast-bus-terminal/
san-bistro-sg,https://www.instagram.com/explore/locations/1028875989/san-bistro-sg/
bedok-camp,https://www.instagram.com/explore/locations/1758913/bedok-camp/
bedok-food-centre,https://www.instagram.com/explore/locations/223111674/bedok-food-centre/
bedok-camp-fcc,https://www.instagram.com/explore/locations/240589977/bedok-camp-fcc/
marine-parade-radio-control-modellers-club,https://www.instagram.com/explore/locations/287592353/marine-parade-radio-control-modellers-club/
ye-lai-xiang-hot-and-cold-cheng-tng-bedok-corner,https://www.instagram.com/explore/locations/108843564159711/ye-lai-xiang-hot-and-cold-cheng-tng-bedok-corner/
east-coast-park-area-g-lets-camp-here,https://www.instagram.com/explore/locations/1869615489992641/east-coast-park-area-g-lets-camp-here/
