cityname,url
imm-outlet-mall,https://www.instagram.com/explore/locations/306713937/imm-outlet-mall/
the-chevrons,https://www.instagram.com/explore/locations/923437397/the-chevrons/
boulder-chevrons,https://www.instagram.com/explore/locations/108569655069341/boulder-chevrons/
imm-shopping-mall,https://www.instagram.com/explore/locations/49500162/imm-shopping-mall/
haidilao-singapore,https://www.instagram.com/explore/locations/831990010236835/haidilao-singapore/
imm,https://www.instagram.com/explore/locations/790650052/imm/
wag-wild,https://www.instagram.com/explore/locations/110774583926963/wag-wild/
hai-di-lao-imm-open-till-4am,https://www.instagram.com/explore/locations/792706102/hai-di-lao-imm-open-till-4am/
andes-by-astons,https://www.instagram.com/explore/locations/467167760738163/andes-by-astons/
wcega-plaza,https://www.instagram.com/explore/locations/691039/wcega-plaza/
ng-teng-fong-hospital-ae,https://www.instagram.com/explore/locations/100336411550794/ng-teng-fong-hospital-ae/
yakiniku-shokudo,https://www.instagram.com/explore/locations/105690298704485/yakiniku-shokudo/
ng-teng-fong-tower-b,https://www.instagram.com/explore/locations/278821485808457/ng-teng-fong-tower-b/
international-business-park,https://www.instagram.com/explore/locations/2939498/international-business-park/
tobys-kopi-toast-bakery,https://www.instagram.com/explore/locations/757908/tobys-kopi-toast-bakery/
tradehub-21,https://www.instagram.com/explore/locations/905460/tradehub-21/
laifabar,https://www.instagram.com/explore/locations/110708320425434/laifabar/
hai-di-lao-at-imm,https://www.instagram.com/explore/locations/761299209/hai-di-lao-at-imm/
imm-capital-mall-jurong-east,https://www.instagram.com/explore/locations/255407102/imm-capital-mall-jurong-east/
lacoste,https://www.instagram.com/explore/locations/508613346306877/lacoste/
imm-building,https://www.instagram.com/explore/locations/2155312/imm-building/
southwest-tavern,https://www.instagram.com/explore/locations/39827851/southwest-tavern/
soon-bee-huat-trading-pte-ltd,https://www.instagram.com/explore/locations/4424111/soon-bee-huat-trading-pte-ltd/
dicky-ishak,https://www.instagram.com/explore/locations/1023231140/dicky-ishak/
seoul-garden-hotpot-imm,https://www.instagram.com/explore/locations/635144426852024/seoul-garden-hotpot-imm/
imm,https://www.instagram.com/explore/locations/846969922/imm/
long-beach-seafood-restaurant,https://www.instagram.com/explore/locations/405195876581224/long-beach-seafood-restaurant/
swensens-imm,https://www.instagram.com/explore/locations/214232453/swensens-imm/
universal-studios-singapore-uss,https://www.instagram.com/explore/locations/225297382/universal-studios-singapore-uss/
ng-teng-fong-tower-b,https://www.instagram.com/explore/locations/102627075094238/ng-teng-fong-tower-b/
famous-jb-101-firewokz-101-flagship,https://www.instagram.com/explore/locations/1070209179691527/famous-jb-101-firewokz-101-flagship/
qi-xiang-hotpot,https://www.instagram.com/explore/locations/109784584688652/qi-xiang-hotpot/
jurong-community-hospital,https://www.instagram.com/explore/locations/1021413992/jurong-community-hospital/
vinylworkssg,https://www.instagram.com/explore/locations/475882583230183/vinylworkssg/
obar-tradehub,https://www.instagram.com/explore/locations/452087859/obar-tradehub/
wan-chai-hong-kong-tea-room,https://www.instagram.com/explore/locations/246947482/wan-chai-hong-kong-tea-room/
trade-hub-21-boonlay-way,https://www.instagram.com/explore/locations/459209967484032/trade-hub-21-boonlay-way/
ajisen-ramen-imm,https://www.instagram.com/explore/locations/196897370934220/ajisen-ramen-imm/
imm,https://www.instagram.com/explore/locations/2052586265007001/imm/
wcega-tower,https://www.instagram.com/explore/locations/927650/wcega-tower/
saap-saap-thai,https://www.instagram.com/explore/locations/148257609200816/saap-saap-thai/
streats-hong-kong-cafe-imm,https://www.instagram.com/explore/locations/2189475/streats-hong-kong-cafe-imm/
haidilao-hotpot-imm,https://www.instagram.com/explore/locations/353505838319867/haidilao-hotpot-imm/
al-capones-jurong-gateway-road,https://www.instagram.com/explore/locations/108366281937274/al-capones-jurong-gateway-road/
streats-imm,https://www.instagram.com/explore/locations/236066844/streats-imm/
toh-guan-centre,https://www.instagram.com/explore/locations/2882380/toh-guan-centre/
mcdonalds-trade-hub-21,https://www.instagram.com/explore/locations/222745900/mcdonalds-trade-hub-21/
imm,https://www.instagram.com/explore/locations/791188716/imm/
imms-jurong-east,https://www.instagram.com/explore/locations/224703717553710/imms-jurong-east/
swensens-at-imm,https://www.instagram.com/explore/locations/115051416804302/swensens-at-imm/
sushi-express-imm,https://www.instagram.com/explore/locations/108369643937355/sushi-express-imm/
international-business-park,https://www.instagram.com/explore/locations/124070044304428/international-business-park/
rochor-road,https://www.instagram.com/explore/locations/578554010/rochor-road/
mcdonalds-imm,https://www.instagram.com/explore/locations/245017949/mcdonalds-imm/
long-beach-seafood-restuarant-imm,https://www.instagram.com/explore/locations/226470910/long-beach-seafood-restuarant-imm/
dbs-asia-gateway,https://www.instagram.com/explore/locations/636513815/dbs-asia-gateway/
pot-luck-by-soup-restaurant,https://www.instagram.com/explore/locations/245046577/pot-luck-by-soup-restaurant/
pulau-ubin,https://www.instagram.com/explore/locations/215784213/pulau-ubin/
eurosports-performance-tuning,https://www.instagram.com/explore/locations/47678195/eurosports-performance-tuning/
hainan-second-street,https://www.instagram.com/explore/locations/100256085335954/hainan-second-street/
streats-hong-kong-cafe,https://www.instagram.com/explore/locations/886219388253826/streats-hong-kong-cafe/
imm-shopping-mall-jurong-east-singapore,https://www.instagram.com/explore/locations/776676948/imm-shopping-mall-jurong-east-singapore/
bali-thai-imm,https://www.instagram.com/explore/locations/235528085/bali-thai-imm/
white-restaurant,https://www.instagram.com/explore/locations/1093068614177551/white-restaurant/
juronghealth-campus,https://www.instagram.com/explore/locations/266508638/juronghealth-campus/
annabella-patisserie,https://www.instagram.com/explore/locations/648093783/annabella-patisserie/
kolorwerx-autoshop,https://www.instagram.com/explore/locations/209439439224087/kolorwerx-autoshop/
icon-ibp,https://www.instagram.com/explore/locations/1035835/icon-ibp/
frantonios-marinew3g-international,https://www.instagram.com/explore/locations/173088329387643/frantonios-marinew3g-international/
bali-thai-at-imm,https://www.instagram.com/explore/locations/1536492166403140/bali-thai-at-imm/
please-like-and-share,https://www.instagram.com/explore/locations/102401004899447/please-like-and-share/
sembawang-white-bee-hoon-at-imm,https://www.instagram.com/explore/locations/146893029290945/sembawang-white-bee-hoon-at-imm/
ng-teng-fong-general-hospital,https://www.instagram.com/explore/locations/1031332819/ng-teng-fong-general-hospital/
bft-jurong,https://www.instagram.com/explore/locations/111618124795210/bft-jurong/
nike-factory-store-at-imm-mall,https://www.instagram.com/explore/locations/100856734719286/nike-factory-store-at-imm-mall/
coffee-bean-bean-tea-leaf-imm,https://www.instagram.com/explore/locations/133281020558457/coffee-bean-bean-tea-leaf-imm/
seoul-garden-hotpot_imm,https://www.instagram.com/explore/locations/220492451/seoul-garden-hotpot_imm/
korean-food,https://www.instagram.com/explore/locations/1004574361/korean-food/
nike-factory-store-imm,https://www.instagram.com/explore/locations/235643480322503/nike-factory-store-imm/
gyeon-singapore,https://www.instagram.com/explore/locations/332186900673716/gyeon-singapore/
maketh-project,https://www.instagram.com/explore/locations/671238519605703/maketh-project/
climbers-laboratory,https://www.instagram.com/explore/locations/907367/climbers-laboratory/
rr-adventuresports,https://www.instagram.com/explore/locations/592171807632903/rr-adventuresports/
red-ginger,https://www.instagram.com/explore/locations/313225418792540/red-ginger/
fu-lin-fried-yong-tofu,https://www.instagram.com/explore/locations/209379863192591/fu-lin-fried-yong-tofu/
pub-waterhub,https://www.instagram.com/explore/locations/2563390/pub-waterhub/
jc-wheel-dynamic,https://www.instagram.com/explore/locations/1532382233731187/jc-wheel-dynamic/
acacia-lodge-bukit-batok-street-23,https://www.instagram.com/explore/locations/265565087/acacia-lodge-bukit-batok-street-23/
the-strategy,https://www.instagram.com/explore/locations/238690/the-strategy/
nordic-european-centre,https://www.instagram.com/explore/locations/2567001/nordic-european-centre/
keppel-shipyard-ltd-tuas-singapore,https://www.instagram.com/explore/locations/1350434911720413/keppel-shipyard-ltd-tuas-singapore/
bukit-batok-street23,https://www.instagram.com/explore/locations/889856327/bukit-batok-street23/
malaysia-boleh,https://www.instagram.com/explore/locations/245559500/malaysia-boleh/
bowling-chevron,https://www.instagram.com/explore/locations/225872641/bowling-chevron/
weikencom-delightful-interiors,https://www.instagram.com/explore/locations/330472568/weikencom-delightful-interiors/
cafe-o,https://www.instagram.com/explore/locations/270504565/cafe-o/
carpow,https://www.instagram.com/explore/locations/108703024071672/carpow/
ajisen-ramen,https://www.instagram.com/explore/locations/1111808112238115/ajisen-ramen/
the-orange-lantern-at-imm,https://www.instagram.com/explore/locations/1023159205/the-orange-lantern-at-imm/
ichiban-sushi,https://www.instagram.com/explore/locations/781574/ichiban-sushi/
westlite-dormitory,https://www.instagram.com/explore/locations/249953702/westlite-dormitory/
the-synergy-international-business-park,https://www.instagram.com/explore/locations/249509493/the-synergy-international-business-park/
tec-auto-services,https://www.instagram.com/explore/locations/2060496717577102/tec-auto-services/
shuxiangfang,https://www.instagram.com/explore/locations/108147644859853/shuxiangfang/
soup-restaurant-at-imm,https://www.instagram.com/explore/locations/228421936/soup-restaurant-at-imm/
enterprise-hub,https://www.instagram.com/explore/locations/1029487775/enterprise-hub/
ah-boon-drinks-stall-eating-house,https://www.instagram.com/explore/locations/341255116589824/ah-boon-drinks-stall-eating-house/
wonderful-bap-sang-imm,https://www.instagram.com/explore/locations/103871808643307/wonderful-bap-sang-imm/
ichiban-sushi-imm,https://www.instagram.com/explore/locations/303556968/ichiban-sushi-imm/
coach-at-imm,https://www.instagram.com/explore/locations/520159791670595/coach-at-imm/
primero-racing-singapore,https://www.instagram.com/explore/locations/877366970/primero-racing-singapore/
bikers-avenue,https://www.instagram.com/explore/locations/628232604315924/bikers-avenue/
letem-play,https://www.instagram.com/explore/locations/102926933561440/letem-play/
idaten-udon,https://www.instagram.com/explore/locations/856463378066555/idaten-udon/
toh-guan-rd-east,https://www.instagram.com/explore/locations/196875390335752/toh-guan-rd-east/
cumi-cumi,https://www.instagram.com/explore/locations/1520072204895490/cumi-cumi/
poolside-cafe,https://www.instagram.com/explore/locations/637725886716269/poolside-cafe/
so-pho-imm,https://www.instagram.com/explore/locations/2000384886677145/so-pho-imm/
shu-jiang-grilled-fish-singapore,https://www.instagram.com/explore/locations/1026348280/shu-jiang-grilled-fish-singapore/
hui-hua-credit-pte-ltd,https://www.instagram.com/explore/locations/1030399642/hui-hua-credit-pte-ltd/
blacknano,https://www.instagram.com/explore/locations/1024187285/blacknano/
east-cost-park,https://www.instagram.com/explore/locations/235971089/east-cost-park/
impact-life,https://www.instagram.com/explore/locations/304751807/impact-life/
play-laah-by-hcl,https://www.instagram.com/explore/locations/109365594224940/play-laah-by-hcl/
giant-hypermarket,https://www.instagram.com/explore/locations/514414199025334/giant-hypermarket/
48-toh-guan-rd-east-enterprize-hub,https://www.instagram.com/explore/locations/249621183/48-toh-guan-rd-east-enterprize-hub/
tradehub-21-kimly-liveseafood,https://www.instagram.com/explore/locations/509763/tradehub-21-kimly-liveseafood/
li-yuan-mee-pok,https://www.instagram.com/explore/locations/107732608263543/li-yuan-mee-pok/
teja-singh-wala,https://www.instagram.com/explore/locations/245589162530865/teja-singh-wala/
dgw-by-ashly,https://www.instagram.com/explore/locations/218902305432846/dgw-by-ashly/
forest-ramble,https://www.instagram.com/explore/locations/416767448933884/forest-ramble/
the-detailing-shop,https://www.instagram.com/explore/locations/704158949757525/the-detailing-shop/
roti-mum-singapore,https://www.instagram.com/explore/locations/311952411/roti-mum-singapore/
midview-building,https://www.instagram.com/explore/locations/2162033207193911/midview-building/
hai-di-lao-hot-pot-at-imm,https://www.instagram.com/explore/locations/342097349584569/hai-di-lao-hot-pot-at-imm/
ng-teng-fong-emergency,https://www.instagram.com/explore/locations/1919863614901227/ng-teng-fong-emergency/
enterprise-centre,https://www.instagram.com/explore/locations/4389153/enterprise-centre/
daiso-imm,https://www.instagram.com/explore/locations/56572913/daiso-imm/
chevrons-aviary-ktv,https://www.instagram.com/explore/locations/242854377/chevrons-aviary-ktv/
