cityname,url
atc,https://www.instagram.com/explore/locations/127487853967028/atc/
ubi-techpark,https://www.instagram.com/explore/locations/55530/ubi-techpark/
partipris_foto,https://www.instagram.com/explore/locations/111517250516943/partipris_foto/
in-someones-heart,https://www.instagram.com/explore/locations/605003664/in-someones-heart/
yikeshu-bridal-and-photography-studio,https://www.instagram.com/explore/locations/1025473281/yikeshu-bridal-and-photography-studio/
manjusri-secondary-school,https://www.instagram.com/explore/locations/216251333/manjusri-secondary-school/
thai-seng-fish-soup,https://www.instagram.com/explore/locations/1917415/thai-seng-fish-soup/
imperial-auto-style,https://www.instagram.com/explore/locations/743272659176166/imperial-auto-style/
51-ubi-ave-1paya-ubi-industrial-park,https://www.instagram.com/explore/locations/239231372/51-ubi-ave-1paya-ubi-industrial-park/
bedok-85,https://www.instagram.com/explore/locations/238036795/bedok-85/
kampong-ubi-singapore,https://www.instagram.com/explore/locations/4294477/kampong-ubi-singapore/
co-nut-ink,https://www.instagram.com/explore/locations/228321676/co-nut-ink/
ubi-grove,https://www.instagram.com/explore/locations/414691308953522/ubi-grove/
office-desk,https://www.instagram.com/explore/locations/724825388/office-desk/
osim-hq-singapore,https://www.instagram.com/explore/locations/238678912/osim-hq-singapore/
pie-highway,https://www.instagram.com/explore/locations/246994110/pie-highway/
working-at-office-singapore,https://www.instagram.com/explore/locations/792992650711091/working-at-office-singapore/
hortpark,https://www.instagram.com/explore/locations/224702471446013/hortpark/
room-to-imagine,https://www.instagram.com/explore/locations/910719725775531/room-to-imagine/
studio-2020,https://www.instagram.com/explore/locations/106320554674577/studio-2020/
1-percent,https://www.instagram.com/explore/locations/1045630192297152/1-percent/
muar-johor-malaysia,https://www.instagram.com/explore/locations/237805532/muar-johor-malaysia/
ubi-mrt-station,https://www.instagram.com/explore/locations/239226946769968/ubi-mrt-station/
crispy-roti-prata-at-ubi-ave-1,https://www.instagram.com/explore/locations/676817248/crispy-roti-prata-at-ubi-ave-1/
forest-child,https://www.instagram.com/explore/locations/1028148068/forest-child/
ubi-tech-park,https://www.instagram.com/explore/locations/1031015056/ubi-tech-park/
the-teeser-t-shirt-printing,https://www.instagram.com/explore/locations/171450176390299/the-teeser-t-shirt-printing/
yang-ming-seafood,https://www.instagram.com/explore/locations/106945545231647/yang-ming-seafood/
april-seven-singapore,https://www.instagram.com/explore/locations/145738537362/april-seven-singapore/
world-toilet-organization,https://www.instagram.com/explore/locations/385179578/world-toilet-organization/
lambency-detailing,https://www.instagram.com/explore/locations/1951333501858952/lambency-detailing/
lao-fu-zi-char-kway-teow-old-airport-rd,https://www.instagram.com/explore/locations/379378194/lao-fu-zi-char-kway-teow-old-airport-rd/
our-room,https://www.instagram.com/explore/locations/318858963/our-room/
magicdow-hip-xiong-kee,https://www.instagram.com/explore/locations/1393199060936153/magicdow-hip-xiong-kee/
4forwheel,https://www.instagram.com/explore/locations/100280825964152/4forwheel/
manjusri-secondary-school,https://www.instagram.com/explore/locations/836772/manjusri-secondary-school/
bless-brothers,https://www.instagram.com/explore/locations/381239826051502/bless-brothers/
jaime-la-mode,https://www.instagram.com/explore/locations/935393777/jaime-la-mode/
the-pets-couture,https://www.instagram.com/explore/locations/311049499034951/the-pets-couture/
image-creative-design-pte-ltd,https://www.instagram.com/explore/locations/419173977/image-creative-design-pte-ltd/
back-to-work,https://www.instagram.com/explore/locations/410798122/back-to-work/
one-percent,https://www.instagram.com/explore/locations/334026797493955/one-percent/
bavarian-marques,https://www.instagram.com/explore/locations/1027230209/bavarian-marques/
l-s-tyres-automotive-pte-ltd,https://www.instagram.com/explore/locations/609802400/l-s-tyres-automotive-pte-ltd/
motovation-accessory-singapore,https://www.instagram.com/explore/locations/716439144/motovation-accessory-singapore/
blk-53-paya-ubi-industrial-park,https://www.instagram.com/explore/locations/255766785348760/blk-53-paya-ubi-industrial-park/
somewhere-on-earth,https://www.instagram.com/explore/locations/236839695/somewhere-on-earth/
aquaholic-gifts-pte-ltd,https://www.instagram.com/explore/locations/280372258782084/aquaholic-gifts-pte-ltd/
blk-3024-ubi-road-3,https://www.instagram.com/explore/locations/246007662/blk-3024-ubi-road-3/
pawsitive-image,https://www.instagram.com/explore/locations/976381106/pawsitive-image/
brighton-youth,https://www.instagram.com/explore/locations/236994676/brighton-youth/
killiney-cbp-ubix,https://www.instagram.com/explore/locations/246129794/killiney-cbp-ubix/
top93-sports-rim,https://www.instagram.com/explore/locations/336258341/top93-sports-rim/
panjang-garage,https://www.instagram.com/explore/locations/1236148553071225/panjang-garage/
mr-lorbak,https://www.instagram.com/explore/locations/1353938364667208/mr-lorbak/
10-ubi-crescent-ubi-techpark-lobby-d,https://www.instagram.com/explore/locations/937446489/10-ubi-crescent-ubi-techpark-lobby-d/
studio-daydream,https://www.instagram.com/explore/locations/333236018/studio-daydream/
tri-king-auto-solutions-pte-ltd,https://www.instagram.com/explore/locations/499444053407935/tri-king-auto-solutions-pte-ltd/
kalang-riversidesingapore,https://www.instagram.com/explore/locations/316768448/kalang-riversidesingapore/
silversky-pet-care,https://www.instagram.com/explore/locations/368335316615287/silversky-pet-care/
cat-nap-3,https://www.instagram.com/explore/locations/254985751230420/cat-nap-3/
zulanoryns,https://www.instagram.com/explore/locations/329551547639117/zulanoryns/
ubi-crescent,https://www.instagram.com/explore/locations/18134209/ubi-crescent/
tomorrow-closet-leather-products,https://www.instagram.com/explore/locations/1826508690979289/tomorrow-closet-leather-products/
thai_garden_mookata,https://www.instagram.com/explore/locations/100306275186214/thai_garden_mookata/
71-ubi-crescent-singapore-408571,https://www.instagram.com/explore/locations/317636293/71-ubi-crescent-singapore-408571/
automotive-atelier,https://www.instagram.com/explore/locations/271349263721531/automotive-atelier/
al-ain-abayas,https://www.instagram.com/explore/locations/341608529650457/al-ain-abayas/
ubi-55,https://www.instagram.com/explore/locations/20558197/ubi-55/
ninetalestea-,https://www.instagram.com/explore/locations/1532820630186494/ninetalestea-/
lavida,https://www.instagram.com/explore/locations/2359156601010146/lavida/
1-ubi-crescent-number-one-building,https://www.instagram.com/explore/locations/549415356/1-ubi-crescent-number-one-building/
homeby8studio,https://www.instagram.com/explore/locations/109895597497394/homeby8studio/
mansa-computers,https://www.instagram.com/explore/locations/113379524522754/mansa-computers/
