cityname,url
thank-you,https://www.instagram.com/explore/locations/305384891/thank-you/
malapascua-island-philippines,https://www.instagram.com/explore/locations/757097639/malapascua-island-philippines/
jurong-west-505-market-food-centre,https://www.instagram.com/explore/locations/7253872/jurong-west-505-market-food-centre/
no-filter-needed,https://www.instagram.com/explore/locations/515421122318237/no-filter-needed/
home-sweet-home,https://www.instagram.com/explore/locations/122016354604829/home-sweet-home/
ayzas-restaurant-pte-ltd,https://www.instagram.com/explore/locations/837083022/ayzas-restaurant-pte-ltd/
time-table-cafe,https://www.instagram.com/explore/locations/353657770/time-table-cafe/
the-lakefront-residences,https://www.instagram.com/explore/locations/292029373/the-lakefront-residences/
desaru-malaysia,https://www.instagram.com/explore/locations/320100188067862/desaru-malaysia/
jurong-junior-college,https://www.instagram.com/explore/locations/500350145/jurong-junior-college/
jurong,https://www.instagram.com/explore/locations/381036534/jurong/
boon-lay-fields,https://www.instagram.com/explore/locations/252556869/boon-lay-fields/
soi-thai-kitchen-jurong-west,https://www.instagram.com/explore/locations/107376553286981/soi-thai-kitchen-jurong-west/
blk-541-jurong-west-avenue-1,https://www.instagram.com/explore/locations/1033751491/blk-541-jurong-west-avenue-1/
acidic-chop-shop,https://www.instagram.com/explore/locations/1242190932503536/acidic-chop-shop/
the-centris-condo-blk-77-jurong-point,https://www.instagram.com/explore/locations/252503478/the-centris-condo-blk-77-jurong-point/
parc-vista,https://www.instagram.com/explore/locations/1992240/parc-vista/
malaccamalaysia,https://www.instagram.com/explore/locations/252880239/malaccamalaysia/
lakeholmz,https://www.instagram.com/explore/locations/235097631/lakeholmz/
the-caspian-singapore,https://www.instagram.com/explore/locations/539086201/the-caspian-singapore/
i-dont-know-where-am-i,https://www.instagram.com/explore/locations/259523263/i-dont-know-where-am-i/
sungei-buloh-wetland-reserve-singapore,https://www.instagram.com/explore/locations/1018462760/sungei-buloh-wetland-reserve-singapore/
jurong-spring-community-centre,https://www.instagram.com/explore/locations/259578805/jurong-spring-community-centre/
caspian-lakeside,https://www.instagram.com/explore/locations/247845707/caspian-lakeside/
parangbanyakan,https://www.instagram.com/explore/locations/215772178961846/parangbanyakan/
mcdonalds-jurong-spring-cc,https://www.instagram.com/explore/locations/241129652/mcdonalds-jurong-spring-cc/
vets-for-pets,https://www.instagram.com/explore/locations/77978027/vets-for-pets/
nothing,https://www.instagram.com/explore/locations/814999296/nothing/
scary,https://www.instagram.com/explore/locations/1020254152/scary/
jurong-spring-community-club,https://www.instagram.com/explore/locations/527786490764862/jurong-spring-community-club/
boon-lay-garden-primary-school,https://www.instagram.com/explore/locations/509966218/boon-lay-garden-primary-school/
lakepoint-condominium,https://www.instagram.com/explore/locations/249785670/lakepoint-condominium/
time-table-cafe,https://www.instagram.com/explore/locations/1015670717/time-table-cafe/
thuthi-yesuvukkae-ministries,https://www.instagram.com/explore/locations/333381476746643/thuthi-yesuvukkae-ministries/
boon-lay-dr,https://www.instagram.com/explore/locations/354817099/boon-lay-dr/
caspian-condominium-singapore,https://www.instagram.com/explore/locations/253669914/caspian-condominium-singapore/
epitome-nail-beauty,https://www.instagram.com/explore/locations/593480331109523/epitome-nail-beauty/
blk503-jurong-west,https://www.instagram.com/explore/locations/293751422/blk503-jurong-west/
kay-siang-bunker,https://www.instagram.com/explore/locations/101721811685480/kay-siang-bunker/
its-me,https://www.instagram.com/explore/locations/211722925599186/its-me/
marina-garden,https://www.instagram.com/explore/locations/1022835115/marina-garden/
joo-chiat-kim-choo-traditional-rice-dumplings,https://www.instagram.com/explore/locations/335925940317379/joo-chiat-kim-choo-traditional-rice-dumplings/
hotplate-bbq-526-jurong-west-st-52,https://www.instagram.com/explore/locations/348226035/hotplate-bbq-526-jurong-west-st-52/
merlion-park,https://www.instagram.com/explore/locations/254841988/merlion-park/
ayien-crib,https://www.instagram.com/explore/locations/279136030/ayien-crib/
v360cafe,https://www.instagram.com/explore/locations/553097132/v360cafe/
jurong-west-st-42-blk-557,https://www.instagram.com/explore/locations/236966827/jurong-west-st-42-blk-557/
the-meadows-at-gardens-by-the-bay,https://www.instagram.com/explore/locations/300132555/the-meadows-at-gardens-by-the-bay/
petscraft-singapore,https://www.instagram.com/explore/locations/243689626349663/petscraft-singapore/
blk-545-jurong-west-st-42,https://www.instagram.com/explore/locations/245011004/blk-545-jurong-west-st-42/
choice-retreat-house,https://www.instagram.com/explore/locations/2056485/choice-retreat-house/
the-southern-ridges,https://www.instagram.com/explore/locations/219726838/the-southern-ridges/
beijing-temple-of-heaven,https://www.instagram.com/explore/locations/514561770/beijing-temple-of-heaven/
ayzas-restaurant,https://www.instagram.com/explore/locations/10423134/ayzas-restaurant/
mocha-latte-room,https://www.instagram.com/explore/locations/1055891/mocha-latte-room/
pioneer-mallsingapore,https://www.instagram.com/explore/locations/259415427520235/pioneer-mallsingapore/
rulang-primary-school,https://www.instagram.com/explore/locations/100306638106996/rulang-primary-school/
