cityname,url
toh-guan-road,https://www.instagram.com/explore/locations/2170603/toh-guan-road/
bukit-batok-singapura,https://www.instagram.com/explore/locations/341024843433287/bukit-batok-singapura/
lickers,https://www.instagram.com/explore/locations/111216261610691/lickers/
west-terra,https://www.instagram.com/explore/locations/2100721963487281/west-terra/
cloud-forest,https://www.instagram.com/explore/locations/533727124/cloud-forest/
shatec-institutes,https://www.instagram.com/explore/locations/507430/shatec-institutes/
toh-guan-road,https://www.instagram.com/explore/locations/313927461/toh-guan-road/
kayathar,https://www.instagram.com/explore/locations/214694328614058/kayathar/
bukit-batok-swimming-complex,https://www.instagram.com/explore/locations/1350361/bukit-batok-swimming-complex/
crest-secondary-school,https://www.instagram.com/explore/locations/235199292/crest-secondary-school/
st-lukes-hospital-singapore,https://www.instagram.com/explore/locations/1431724/st-lukes-hospital-singapore/
shatec,https://www.instagram.com/explore/locations/254467224/shatec/
skyline-at-bukit-batok,https://www.instagram.com/explore/locations/397463723/skyline-at-bukit-batok/
bukit-batok-secondary-school,https://www.instagram.com/explore/locations/1009310/bukit-batok-secondary-school/
bukit-batok,https://www.instagram.com/explore/locations/75219344/bukit-batok/
waduk-kedungombo,https://www.instagram.com/explore/locations/277275342/waduk-kedungombo/
bukit-batok-west-ave-6,https://www.instagram.com/explore/locations/171623996850927/bukit-batok-west-ave-6/
cuppafield,https://www.instagram.com/explore/locations/313410956130024/cuppafield/
my-love-nest-de-sagon,https://www.instagram.com/explore/locations/415913126/my-love-nest-de-sagon/
sri-sun-express,https://www.instagram.com/explore/locations/333033667128056/sri-sun-express/
kedungcangkring-watu-bale,https://www.instagram.com/explore/locations/957016191/kedungcangkring-watu-bale/
gereja-presbyterian-bukit-batok-gpbb-jemaat-indonesia-singapura,https://www.instagram.com/explore/locations/326298120/gereja-presbyterian-bukit-batok-gpbb-jemaat-indonesia-singapura/
millennia-institute,https://www.instagram.com/explore/locations/214274485/millennia-institute/
seoul-south-korea,https://www.instagram.com/explore/locations/493993766/seoul-south-korea/
nicole-highway,https://www.instagram.com/explore/locations/274123716019409/nicole-highway/
jiuzhaigou-china,https://www.instagram.com/explore/locations/282878603/jiuzhaigou-china/
princess-elizabeth-primary-school,https://www.instagram.com/explore/locations/2398832/princess-elizabeth-primary-school/
beach-station-sentosa-island,https://www.instagram.com/explore/locations/284684517/beach-station-sentosa-island/
mcdonalds-bukit-batok-west,https://www.instagram.com/explore/locations/240629223/mcdonalds-bukit-batok-west/
bukit-batok-swimming-complex,https://www.instagram.com/explore/locations/228310497/bukit-batok-swimming-complex/
bukit-batok-singapoe,https://www.instagram.com/explore/locations/792396152/bukit-batok-singapoe/
amelies-nail-journey,https://www.instagram.com/explore/locations/304694050/amelies-nail-journey/
bukit-batok-west-ave-6-blk-155-coffeeshop,https://www.instagram.com/explore/locations/485229371/bukit-batok-west-ave-6-blk-155-coffeeshop/
mels-vivid-nails,https://www.instagram.com/explore/locations/1176587815734638/mels-vivid-nails/
eden-school-eden-centres-for-adults-eden-childrens-centre-aas,https://www.instagram.com/explore/locations/618234/eden-school-eden-centres-for-adults-eden-childrens-centre-aas/
al-majlis-thai-seafood,https://www.instagram.com/explore/locations/100681538491576/al-majlis-thai-seafood/
