cityname,url
chandpur-motlob,https://www.instagram.com/explore/locations/478778432133558/chandpur-motlob/
exxon-mobil-refinery-jurong-island,https://www.instagram.com/explore/locations/375586613/exxon-mobil-refinery-jurong-island/
hot-weather,https://www.instagram.com/explore/locations/303612538/hot-weather/
east-coast-park-singapore,https://www.instagram.com/explore/locations/125103984310871/east-coast-park-singapore/
oasis-sakra,https://www.instagram.com/explore/locations/4919024/oasis-sakra/
jurong-island-fire-station,https://www.instagram.com/explore/locations/1906322/jurong-island-fire-station/
pagoda-chinese-garden-singapore,https://www.instagram.com/explore/locations/1539969542883493/pagoda-chinese-garden-singapore/
jurong-island-petrofac-chemical-training,https://www.instagram.com/explore/locations/239185059/jurong-island-petrofac-chemical-training/
sakra-rd-jurong-island,https://www.instagram.com/explore/locations/272454813/sakra-rd-jurong-island/
exxonmobil-pac,https://www.instagram.com/explore/locations/229916806/exxonmobil-pac/
exxonmobil-asia-pacific-pte-ltd-jurong-island,https://www.instagram.com/explore/locations/285929943/exxonmobil-asia-pacific-pte-ltd-jurong-island/
chemical-process-technology-centre,https://www.instagram.com/explore/locations/253084002/chemical-process-technology-centre/
infineum-singapore-pte-ltd-jurong-island,https://www.instagram.com/explore/locations/304380343/infineum-singapore-pte-ltd-jurong-island/
miss-you,https://www.instagram.com/explore/locations/380470935356767/miss-you/
sumitomo-chemical-singapore,https://www.instagram.com/explore/locations/324029504926133/sumitomo-chemical-singapore/
smag-complex-singapore-acrylic-ptd,https://www.instagram.com/explore/locations/299775740864867/smag-complex-singapore-acrylic-ptd/
sumitomo-chemical-singapore,https://www.instagram.com/explore/locations/110434999400294/sumitomo-chemical-singapore/
starbucks-at-jurong-island,https://www.instagram.com/explore/locations/179700055771174/starbucks-at-jurong-island/
jurong-island-bus-terminal,https://www.instagram.com/explore/locations/119857451394469/jurong-island-bus-terminal/
exxonmobil-jurong-island-fire-department,https://www.instagram.com/explore/locations/1008928940/exxonmobil-jurong-island-fire-department/
oasis-sakra-jurong-island,https://www.instagram.com/explore/locations/1030990591/oasis-sakra-jurong-island/
starbucks-at-oasis,https://www.instagram.com/explore/locations/1634969726827273/starbucks-at-oasis/
sakra-oasis,https://www.instagram.com/explore/locations/132544243494838/sakra-oasis/
jurong-island-sakra-view,https://www.instagram.com/explore/locations/606924161/jurong-island-sakra-view/
the-island,https://www.instagram.com/explore/locations/625811174/the-island/
62,https://www.instagram.com/explore/locations/1462911063942785/62/
sakra-food-court,https://www.instagram.com/explore/locations/115407061/sakra-food-court/
spt-jurong-island,https://www.instagram.com/explore/locations/901222867/spt-jurong-island/
singapore-parllel-train-jurong-island,https://www.instagram.com/explore/locations/942555559/singapore-parllel-train-jurong-island/
bitcoin-ethereum-community,https://www.instagram.com/explore/locations/1808444005839207/bitcoin-ethereum-community/
cptc,https://www.instagram.com/explore/locations/367699562/cptc/
miss-cancan,https://www.instagram.com/explore/locations/166447390126636/miss-cancan/
di-tempat-org-org-membuat-pusingan-u-yang-haram,https://www.instagram.com/explore/locations/118737438205311/di-tempat-org-org-membuat-pusingan-u-yang-haram/
100-jurong-island-highway-gate-1,https://www.instagram.com/explore/locations/791168878/100-jurong-island-highway-gate-1/
apink-shop-singapore,https://www.instagram.com/explore/locations/1019372937/apink-shop-singapore/
starbucks-at-oasis-jurong-island,https://www.instagram.com/explore/locations/1148340975225823/starbucks-at-oasis-jurong-island/
f-o-g,https://www.instagram.com/explore/locations/102377165696919/f-o-g/
exxonmobil-asia-pacifc-pte-ltd,https://www.instagram.com/explore/locations/2221292848107678/exxonmobil-asia-pacifc-pte-ltd/
51-sakra-ave,https://www.instagram.com/explore/locations/154117111312016/51-sakra-ave/
acumed-medical-group-sakra,https://www.instagram.com/explore/locations/753140253/acumed-medical-group-sakra/
exxonmobil-east-gate,https://www.instagram.com/explore/locations/728973191/exxonmobil-east-gate/
air-liquidesoxalj8,https://www.instagram.com/explore/locations/174863169230458/air-liquidesoxalj8/
exxonmobil-pesek-fire-dept,https://www.instagram.com/explore/locations/226674197344473/exxonmobil-pesek-fire-dept/
jurong-island-fire-station-home-of-hazmat-specialist-big-guns,https://www.instagram.com/explore/locations/832631382/jurong-island-fire-station-home-of-hazmat-specialist-big-guns/
exxon-mobil-pac,https://www.instagram.com/explore/locations/303024273099594/exxon-mobil-pac/
changhi-airport,https://www.instagram.com/explore/locations/224647220879177/changhi-airport/
exxonmobbil-spt-project-smcc-site-office,https://www.instagram.com/explore/locations/1149660781875675/exxonmobbil-spt-project-smcc-site-office/
infineum,https://www.instagram.com/explore/locations/19950260/infineum/
new-east-gate-jurong-island,https://www.instagram.com/explore/locations/644306288921233/new-east-gate-jurong-island/
exxonmobil-aurore-project,https://www.instagram.com/explore/locations/1657782301188190/exxonmobil-aurore-project/
jurong-island-substation,https://www.instagram.com/explore/locations/427672287257008/jurong-island-substation/
petrofac,https://www.instagram.com/explore/locations/1018367622/petrofac/
pesek-intergrated-resort,https://www.instagram.com/explore/locations/190281127661382/pesek-intergrated-resort/
stone-and-webster-sg-ofc,https://www.instagram.com/explore/locations/131294663606728/stone-and-webster-sg-ofc/
kampong-wak-sekak-singapore,https://www.instagram.com/explore/locations/108978782468164/kampong-wak-sekak-singapore/
