cityname,url
bazaar-ramadan-geylang-serai,https://www.instagram.com/explore/locations/319826251/bazaar-ramadan-geylang-serai/
geylang-serai-market,https://www.instagram.com/explore/locations/459345/geylang-serai-market/
singpost-centre,https://www.instagram.com/explore/locations/565862893594677/singpost-centre/
wisma-geylang-serai,https://www.instagram.com/explore/locations/219260081459946/wisma-geylang-serai/
beauty-in-a-pot,https://www.instagram.com/explore/locations/557643487/beauty-in-a-pot/
heart-of-god-church,https://www.instagram.com/explore/locations/669604/heart-of-god-church/
kinex,https://www.instagram.com/explore/locations/437595834/kinex/
joo-chiat,https://www.instagram.com/explore/locations/1407568/joo-chiat/
peranakan-colourful-houses-katong,https://www.instagram.com/explore/locations/163577964280414/peranakan-colourful-houses-katong/
genting-highland-malaysia,https://www.instagram.com/explore/locations/497836996/genting-highland-malaysia/
tipsy-bird,https://www.instagram.com/explore/locations/174200070182884/tipsy-bird/
haig-road-market-food-centre,https://www.instagram.com/explore/locations/221434430/haig-road-market-food-centre/
geylang-serai,https://www.instagram.com/explore/locations/104827731610624/geylang-serai/
joo-chiat-historical-and-heritage-area,https://www.instagram.com/explore/locations/169475990275407/joo-chiat-historical-and-heritage-area/
boulder-world,https://www.instagram.com/explore/locations/479773185692737/boulder-world/
joo-chiat-complex,https://www.instagram.com/explore/locations/416089517/joo-chiat-complex/
joo-chiat-rd-singapore,https://www.instagram.com/explore/locations/316766655579466/joo-chiat-rd-singapore/
koon-seng-road,https://www.instagram.com/explore/locations/847140/koon-seng-road/
kucina-italian-restaurant,https://www.instagram.com/explore/locations/106657566425419/kucina-italian-restaurant/
tanjong-katong-complex,https://www.instagram.com/explore/locations/624048/tanjong-katong-complex/
cafe-natsu,https://www.instagram.com/explore/locations/106186781905141/cafe-natsu/
long-phung-vietnamese-restaurant,https://www.instagram.com/explore/locations/584078/long-phung-vietnamese-restaurant/
haig-road,https://www.instagram.com/explore/locations/214124183/haig-road/
wangsa-majukuala-lumpur,https://www.instagram.com/explore/locations/593771785/wangsa-majukuala-lumpur/
forma,https://www.instagram.com/explore/locations/105246355383492/forma/
city-plaza-singapore,https://www.instagram.com/explore/locations/599191/city-plaza-singapore/
mr-and-mrs-mohgan-super-crispy-roti-prata,https://www.instagram.com/explore/locations/257448400/mr-and-mrs-mohgan-super-crispy-roti-prata/
city-plaza,https://www.instagram.com/explore/locations/167166414085131/city-plaza/
geylang-serai-raya-bazaar,https://www.instagram.com/explore/locations/318873697/geylang-serai-raya-bazaar/
hjh-maimunah-restaurant-catering,https://www.instagram.com/explore/locations/289337745093152/hjh-maimunah-restaurant-catering/
eunos-mrt-station,https://www.instagram.com/explore/locations/16662016/eunos-mrt-station/
common-man-coffee-roasters-joo-chiat,https://www.instagram.com/explore/locations/105838975051878/common-man-coffee-roasters-joo-chiat/
hafary,https://www.instagram.com/explore/locations/242873256/hafary/
wisma-geylang-serai,https://www.instagram.com/explore/locations/631280113873152/wisma-geylang-serai/
sweet-tooth-addiction,https://www.instagram.com/explore/locations/297335260/sweet-tooth-addiction/
soul-coffee,https://www.instagram.com/explore/locations/111113871353053/soul-coffee/
