cityname,url
holy-tree-sri-balasubramaniar-temple,https://www.instagram.com/explore/locations/1815692/holy-tree-sri-balasubramaniar-temple/
canberra-plaza,https://www.instagram.com/explore/locations/106463207666380/canberra-plaza/
sabahmalaysia,https://www.instagram.com/explore/locations/430053438/sabahmalaysia/
canopy-park-jewel-changi-airport-singapore,https://www.instagram.com/explore/locations/105650231294063/canopy-park-jewel-changi-airport-singapore/
darul-makmur-mosque,https://www.instagram.com/explore/locations/761015913/darul-makmur-mosque/
church-of-our-lady-star-of-the-sea,https://www.instagram.com/explore/locations/2475872/church-of-our-lady-star-of-the-sea/
holycow-creamery,https://www.instagram.com/explore/locations/394328749/holycow-creamery/
modes4u,https://www.instagram.com/explore/locations/1008457856/modes4u/
one-canberra-yishun-condominium,https://www.instagram.com/explore/locations/1023736677/one-canberra-yishun-condominium/
aw,https://www.instagram.com/explore/locations/262855377111896/aw/
eight-courtyards,https://www.instagram.com/explore/locations/401952564/eight-courtyards/
kawaii-fabric,https://www.instagram.com/explore/locations/446590848869154/kawaii-fabric/
singapura,https://www.instagram.com/explore/locations/102888631568102/singapura/
holy-cow-creamery-yishun,https://www.instagram.com/explore/locations/104580951940936/holy-cow-creamery-yishun/
yishun-neighbourhood-park,https://www.instagram.com/explore/locations/374828179605880/yishun-neighbourhood-park/
8-courtyards,https://www.instagram.com/explore/locations/406711012/8-courtyards/
amoy-street-singapore,https://www.instagram.com/explore/locations/522337546/amoy-street-singapore/
church-of-our-lady-star-of-the-sea,https://www.instagram.com/explore/locations/201486056565667/church-of-our-lady-star-of-the-sea/
yishun-emerald,https://www.instagram.com/explore/locations/692038/yishun-emerald/
lepak-one-corner-canberra,https://www.instagram.com/explore/locations/128799896994508/lepak-one-corner-canberra/
gymboxx-canberra-plaza,https://www.instagram.com/explore/locations/100917085283407/gymboxx-canberra-plaza/
yishun-sapphire-condominium,https://www.instagram.com/explore/locations/260866059/yishun-sapphire-condominium/
taste-of-thailand,https://www.instagram.com/explore/locations/223235784/taste-of-thailand/
darul-makmur-mosque-yishun,https://www.instagram.com/explore/locations/1299580/darul-makmur-mosque-yishun/
aw-canberra-plaza,https://www.instagram.com/explore/locations/107237947907498/aw-canberra-plaza/
yishun-murugan-temple,https://www.instagram.com/explore/locations/376628091/yishun-murugan-temple/
titanic-ship,https://www.instagram.com/explore/locations/309411571/titanic-ship/
yishun-hill-top,https://www.instagram.com/explore/locations/790012/yishun-hill-top/
why-do-you-need-to-know-stalker,https://www.instagram.com/explore/locations/384003697/why-do-you-need-to-know-stalker/
syed-restaurant,https://www.instagram.com/explore/locations/5292793/syed-restaurant/
yishun-industrial-park-a,https://www.instagram.com/explore/locations/1240184/yishun-industrial-park-a/
mcdonalds-yishun-ring-road,https://www.instagram.com/explore/locations/250330457/mcdonalds-yishun-ring-road/
