cityname,url
kranji-singapore,https://www.instagram.com/explore/locations/249181320/kranji-singapore/
kranji-reservoir,https://www.instagram.com/explore/locations/930232902/kranji-reservoir/
kranji-recreation-centre,https://www.instagram.com/explore/locations/980714552081192/kranji-recreation-centre/
ja-kin-mukata,https://www.instagram.com/explore/locations/1278083342310167/ja-kin-mukata/
kranji-railway-train-crossing-kranji-heritage-trail,https://www.instagram.com/explore/locations/2186746448239540/kranji-railway-train-crossing-kranji-heritage-trail/
sungei-kadut-drive,https://www.instagram.com/explore/locations/45549591/sungei-kadut-drive/
at-motorworks,https://www.instagram.com/explore/locations/340462970036425/at-motorworks/
sungei-kadut-st-4,https://www.instagram.com/explore/locations/9567813/sungei-kadut-st-4/
pls-machinery-pte-ltd,https://www.instagram.com/explore/locations/137464859/pls-machinery-pte-ltd/
dream-drive-pte-ltd,https://www.instagram.com/explore/locations/249027105/dream-drive-pte-ltd/
timber-actually,https://www.instagram.com/explore/locations/196616427574547/timber-actually/
74-sungei-kadut-street-1,https://www.instagram.com/explore/locations/311771854/74-sungei-kadut-street-1/
jb-city-square,https://www.instagram.com/explore/locations/396590333/jb-city-square/
polystone,https://www.instagram.com/explore/locations/456249901250725/polystone/
ray-motorsports-pte-ltd,https://www.instagram.com/explore/locations/501394993/ray-motorsports-pte-ltd/
king-wan-construction,https://www.instagram.com/explore/locations/376336359126711/king-wan-construction/
sungei-kadut-street-6,https://www.instagram.com/explore/locations/247071881/sungei-kadut-street-6/
jkobecom,https://www.instagram.com/explore/locations/1018553786/jkobecom/
di-kampus-tercinta,https://www.instagram.com/explore/locations/326864064070141/di-kampus-tercinta/
porschify,https://www.instagram.com/explore/locations/102580134908236/porschify/
star-readmix,https://www.instagram.com/explore/locations/311830916432182/star-readmix/
kranji-beach,https://www.instagram.com/explore/locations/2176517579034595/kranji-beach/
ley-choon-group,https://www.instagram.com/explore/locations/43971616/ley-choon-group/
