cityname,url
dpusara-cafe,https://www.instagram.com/explore/locations/763125637/dpusara-cafe/
pasir-labar-jungle,https://www.instagram.com/explore/locations/501908799/pasir-labar-jungle/
lam-kiong,https://www.instagram.com/explore/locations/1030151370/lam-kiong/
tampines,https://www.instagram.com/explore/locations/450088858336907/tampines/
cafeteria,https://www.instagram.com/explore/locations/254851755217772/cafeteria/
bajal,https://www.instagram.com/explore/locations/237614132988551/bajal/
plc-lam-kiong,https://www.instagram.com/explore/locations/356408972/plc-lam-kiong/
e-shape-knoll,https://www.instagram.com/explore/locations/204080626367976/e-shape-knoll/
bajau-knoll,https://www.instagram.com/explore/locations/509938748/bajau-knoll/
kuala-lumpur,https://www.instagram.com/explore/locations/825422025/kuala-lumpur/
mbt,https://www.instagram.com/explore/locations/157971750911007/mbt/
kidney-hill-gpmg-live-firing,https://www.instagram.com/explore/locations/123489264410198/kidney-hill-gpmg-live-firing/
lam-kiong-estate-singapore,https://www.instagram.com/explore/locations/249047970/lam-kiong-estate-singapore/
?locale=en_US,https://help.instagram.com/581066165581870/?locale=en_US
