cityname,url
spca-singapore,https://www.instagram.com/explore/locations/234717465/spca-singapore/
animal-lovers-league-all-authorized-page,https://www.instagram.com/explore/locations/686971660/animal-lovers-league-all-authorized-page/
marriott-hotel,https://www.instagram.com/explore/locations/137114746466490/marriott-hotel/
hm-home-sweet-home,https://www.instagram.com/explore/locations/1017546904/hm-home-sweet-home/
evershine-flora-deco-team,https://www.instagram.com/explore/locations/446781370/evershine-flora-deco-team/
oasis-second-chance-animal-shelter-oscas,https://www.instagram.com/explore/locations/690517658/oasis-second-chance-animal-shelter-oscas/
farmart-prawning-pond,https://www.instagram.com/explore/locations/487794/farmart-prawning-pond/
the-animals-lodge,https://www.instagram.com/explore/locations/105178687716872/the-animals-lodge/
mutts-mittens-community,https://www.instagram.com/explore/locations/175084129305175/mutts-mittens-community/
farmart-centre-67-sungei-tengah-rd,https://www.instagram.com/explore/locations/252697969/farmart-centre-67-sungei-tengah-rd/
house-of-pups-sg,https://www.instagram.com/explore/locations/381420107/house-of-pups-sg/
mdm-wongs-shelter-and-friends,https://www.instagram.com/explore/locations/158387554225926/mdm-wongs-shelter-and-friends/
hai-inn-temple,https://www.instagram.com/explore/locations/1206982/hai-inn-temple/
princes-landscape-pte-ltd,https://www.instagram.com/explore/locations/250963121944518/princes-landscape-pte-ltd/
the-right-to-live-sg,https://www.instagram.com/explore/locations/133662043820693/the-right-to-live-sg/
sosd,https://www.instagram.com/explore/locations/114133850136798/sosd/
farm-mart,https://www.instagram.com/explore/locations/11781522/farm-mart/
the-green-corner,https://www.instagram.com/explore/locations/101150658369444/the-green-corner/
song-orchids,https://www.instagram.com/explore/locations/291961889/song-orchids/
sungai-tengah-road,https://www.instagram.com/explore/locations/546971965/sungai-tengah-road/
blk-461-choa-chu-kang-avenue-4,https://www.instagram.com/explore/locations/1222392/blk-461-choa-chu-kang-avenue-4/
kranji-expressway,https://www.instagram.com/explore/locations/16778572/kranji-expressway/
aust-wine-farmart,https://www.instagram.com/explore/locations/950874/aust-wine-farmart/
blk-484c-choa-chu-kang-ave-5,https://www.instagram.com/explore/locations/3093792/blk-484c-choa-chu-kang-ave-5/
cheng-tai-nursery,https://www.instagram.com/explore/locations/7870617/cheng-tai-nursery/
the-animal-lodge,https://www.instagram.com/explore/locations/607816159552244/the-animal-lodge/
paws-to-heaven-pet-cremation-services,https://www.instagram.com/explore/locations/1705745862979304/paws-to-heaven-pet-cremation-services/
the-hiding-place,https://www.instagram.com/explore/locations/321789331637268/the-hiding-place/
moder,https://www.instagram.com/explore/locations/1025593149/moder/
paw-buddies,https://www.instagram.com/explore/locations/588485321/paw-buddies/
