cityname,url
fraser-place-puteri-harbour-johor,https://www.instagram.com/explore/locations/479323432897737/fraser-place-puteri-harbour-johor/
ocoffee-club-atelier-at-puteri-cove-quayside,https://www.instagram.com/explore/locations/100763914774342/ocoffee-club-atelier-at-puteri-cove-quayside/
hard-rock-cafe-puteri-harbour,https://www.instagram.com/explore/locations/101817938968940/hard-rock-cafe-puteri-harbour/
pinetree-marina-resort,https://www.instagram.com/explore/locations/115050215813826/pinetree-marina-resort/
hard-rock-cafe-puteri-harbour,https://www.instagram.com/explore/locations/132250899038288/hard-rock-cafe-puteri-harbour/
puteri-harbour-international-ferry-terminal,https://www.instagram.com/explore/locations/993976889/puteri-harbour-international-ferry-terminal/
the-tribus-at-teega-puteri-harbour,https://www.instagram.com/explore/locations/348531105968948/the-tribus-at-teega-puteri-harbour/
puteri-cove-residences-quayside,https://www.instagram.com/explore/locations/337330764/puteri-cove-residences-quayside/
27-at-cove,https://www.instagram.com/explore/locations/496110607483141/27-at-cove/
les-bouchons-puteri-harbour,https://www.instagram.com/explore/locations/105541917687061/les-bouchons-puteri-harbour/
richiamo-coffee-puteri-harbour,https://www.instagram.com/explore/locations/112090931285754/richiamo-coffee-puteri-harbour/
ocoffee-club-atelier,https://www.instagram.com/explore/locations/107007971424136/ocoffee-club-atelier/
fraser-place,https://www.instagram.com/explore/locations/367779363793737/fraser-place/
puteri-harbour-international-ferry-terminal,https://www.instagram.com/explore/locations/244268276/puteri-harbour-international-ferry-terminal/
southern-marina-residences,https://www.instagram.com/explore/locations/619543884875856/southern-marina-residences/
teega-puteri-harbour,https://www.instagram.com/explore/locations/149188452403770/teega-puteri-harbour/
little-red-cube,https://www.instagram.com/explore/locations/53756523/little-red-cube/
heats-at-cove,https://www.instagram.com/explore/locations/101299169252324/heats-at-cove/
britz-cove,https://www.instagram.com/explore/locations/100462019337660/britz-cove/
heritage-whisky,https://www.instagram.com/explore/locations/109674911867875/heritage-whisky/
the-pasar,https://www.instagram.com/explore/locations/104030924558431/the-pasar/
fraser-place-puteri-harbour,https://www.instagram.com/explore/locations/205657520088060/fraser-place-puteri-harbour/
pejabat-imigresen-pelabuhan-terminal-feri-puteri-harbour,https://www.instagram.com/explore/locations/657344198047856/pejabat-imigresen-pelabuhan-terminal-feri-puteri-harbour/
iskarnival-nusajaya,https://www.instagram.com/explore/locations/1021736808/iskarnival-nusajaya/
dinasour-kingdom-puteri-harbour,https://www.instagram.com/explore/locations/372855400151522/dinasour-kingdom-puteri-harbour/
dinner-in-the-sky-jb,https://www.instagram.com/explore/locations/277151432627139/dinner-in-the-sky-jb/
puteri-cove-residences-at-puteri-harbour,https://www.instagram.com/explore/locations/451204885/puteri-cove-residences-at-puteri-harbour/
teega-walk,https://www.instagram.com/explore/locations/362417480886575/teega-walk/
kittyland,https://www.instagram.com/explore/locations/470430342988048/kittyland/
southern-marina-puteri-harbour,https://www.instagram.com/explore/locations/1013739040/southern-marina-puteri-harbour/
teega-walk-puteri-harbour,https://www.instagram.com/explore/locations/487777785020231/teega-walk-puteri-harbour/
puteri-harbour-convention-centre,https://www.instagram.com/explore/locations/2178303505786704/puteri-harbour-convention-centre/
hard-rock-cafe-puteri-harbour,https://www.instagram.com/explore/locations/106244471956254/hard-rock-cafe-puteri-harbour/
kyoo1945cove,https://www.instagram.com/explore/locations/260049170514705/kyoo1945cove/
lim-chu-kang-estate-singapore,https://www.instagram.com/explore/locations/648410190/lim-chu-kang-estate-singapore/
pelabuhan-putri-j-b,https://www.instagram.com/explore/locations/1564116913635534/pelabuhan-putri-j-b/
terminal-feri-antarabangsa-puteri-harbour-nusajaya,https://www.instagram.com/explore/locations/309169187/terminal-feri-antarabangsa-puteri-harbour-nusajaya/
