cityname,url
sixth-avenue-singapore,https://www.instagram.com/explore/locations/1025138369/sixth-avenue-singapore/
cold-storage-jelita-holland-road,https://www.instagram.com/explore/locations/241422044/cold-storage-jelita-holland-road/
civil-defence-academy,https://www.instagram.com/explore/locations/174477345942918/civil-defence-academy/
six-avenue,https://www.instagram.com/explore/locations/281234323/six-avenue/
cold-storage-singapore,https://www.instagram.com/explore/locations/1784144915157990/cold-storage-singapore/
jelita-shopping-centre,https://www.instagram.com/explore/locations/477235909439551/jelita-shopping-centre/
jelita,https://www.instagram.com/explore/locations/298019210/jelita/
between-two-trees-preschool,https://www.instagram.com/explore/locations/117868292/between-two-trees-preschool/
greenleaf-view-park-playground,https://www.instagram.com/explore/locations/858791104/greenleaf-view-park-playground/
ming-teck-park,https://www.instagram.com/explore/locations/4077344/ming-teck-park/
holland-road,https://www.instagram.com/explore/locations/1035625638/holland-road/
sixth-avenue-singapore,https://www.instagram.com/explore/locations/107743290971344/sixth-avenue-singapore/
trizon,https://www.instagram.com/explore/locations/19334682/trizon/
starbucks-singapore,https://www.instagram.com/explore/locations/108298933892262/starbucks-singapore/
greenleaf-drive,https://www.instagram.com/explore/locations/1795800/greenleaf-drive/
maryland-drive,https://www.instagram.com/explore/locations/358344937/maryland-drive/
delifrance-jelita,https://www.instagram.com/explore/locations/248010740/delifrance-jelita/
maryland-estate-singapore,https://www.instagram.com/explore/locations/552667676/maryland-estate-singapore/
jelita-shopping-centre,https://www.instagram.com/explore/locations/826783/jelita-shopping-centre/
greenleaf-view,https://www.instagram.com/explore/locations/327611905/greenleaf-view/
caltex-holland-rd,https://www.instagram.com/explore/locations/905693922/caltex-holland-rd/
la-braceria-pizza-grill,https://www.instagram.com/explore/locations/283473105938226/la-braceria-pizza-grill/
felling-sick,https://www.instagram.com/explore/locations/928454837/felling-sick/
suntec-convention-centre,https://www.instagram.com/explore/locations/1015557593/suntec-convention-centre/
delifrance-singapore,https://www.instagram.com/explore/locations/108191721038846/delifrance-singapore/
times-bookstores,https://www.instagram.com/explore/locations/296904060911766/times-bookstores/
bukit-sedap,https://www.instagram.com/explore/locations/760644767/bukit-sedap/
