cityname,url
botanic-gardenssingapore,https://www.instagram.com/explore/locations/242717064/botanic-gardenssingapore/
mellben-seafood,https://www.instagram.com/explore/locations/214940276/mellben-seafood/
jember-city,https://www.instagram.com/explore/locations/358631220905249/jember-city/
blk-628-ang-mo-kio-food-centre,https://www.instagram.com/explore/locations/1251225/blk-628-ang-mo-kio-food-centre/
mellben-seafood,https://www.instagram.com/explore/locations/542245/mellben-seafood/
soi-19-thai-wanton-mee,https://www.instagram.com/explore/locations/115068007/soi-19-thai-wanton-mee/
ang-mo-kio-city-singapore,https://www.instagram.com/explore/locations/252645307/ang-mo-kio-city-singapore/
negeri-kayangan,https://www.instagram.com/explore/locations/161137214052490/negeri-kayangan/
sumo-big-prawn-noodle-sumo-fried-hokkien-prawn-mee,https://www.instagram.com/explore/locations/100555313737833/sumo-big-prawn-noodle-sumo-fried-hokkien-prawn-mee/
tomato-town,https://www.instagram.com/explore/locations/589722008/tomato-town/
mayflower-secondary-school,https://www.instagram.com/explore/locations/508208538/mayflower-secondary-school/
kebun-baru-community-club,https://www.instagram.com/explore/locations/2707389/kebun-baru-community-club/
boon-tong-kee,https://www.instagram.com/explore/locations/142715363066511/boon-tong-kee/
mayflower-market-food-centre,https://www.instagram.com/explore/locations/48532/mayflower-market-food-centre/
kebun-baru-market-food-centre,https://www.instagram.com/explore/locations/1712657/kebun-baru-market-food-centre/
kebun-baru-birdsinging-club,https://www.instagram.com/explore/locations/34615922/kebun-baru-birdsinging-club/
united-veterinary-clinic-pte-ltd,https://www.instagram.com/explore/locations/288776385/united-veterinary-clinic-pte-ltd/
singapore-ang-mo-kio,https://www.instagram.com/explore/locations/249986419/singapore-ang-mo-kio/
the-animal-doctors-singapore,https://www.instagram.com/explore/locations/915598/the-animal-doctors-singapore/
melben-seafood,https://www.instagram.com/explore/locations/144230092973483/melben-seafood/
ang-mo-kio-methodist-church,https://www.instagram.com/explore/locations/1425823/ang-mo-kio-methodist-church/
good-night-3,https://www.instagram.com/explore/locations/609054942/good-night-3/
puppies-sale-in-amk-petshop,https://www.instagram.com/explore/locations/1607111762677070/puppies-sale-in-amk-petshop/
gymboxx,https://www.instagram.com/explore/locations/219860772/gymboxx/
marina-bay-sands,https://www.instagram.com/explore/locations/222753117/marina-bay-sands/
lao-san-kway-chap,https://www.instagram.com/explore/locations/104518691222118/lao-san-kway-chap/
