cityname,url
nus-utown,https://www.instagram.com/explore/locations/4826865/nus-utown/
lee-kong-chian-natural-history-museum,https://www.instagram.com/explore/locations/848763568/lee-kong-chian-natural-history-museum/
university-town,https://www.instagram.com/explore/locations/198996377365014/university-town/
yong-siew-toh-conservatory-of-music,https://www.instagram.com/explore/locations/234764846/yong-siew-toh-conservatory-of-music/
college-of-alice-peter-tan-capt,https://www.instagram.com/explore/locations/24775203/college-of-alice-peter-tan-capt/
tembusu-college,https://www.instagram.com/explore/locations/4140239/tembusu-college/
university-town-nus,https://www.instagram.com/explore/locations/879597/university-town-nus/
uwc-south-east-asia,https://www.instagram.com/explore/locations/219743536/uwc-south-east-asia/
nus-university-culture-centre,https://www.instagram.com/explore/locations/100344784678461/nus-university-culture-centre/
university-town-national-university-of-singapore,https://www.instagram.com/explore/locations/239355832/university-town-national-university-of-singapore/
utown-residence,https://www.instagram.com/explore/locations/313163977/utown-residence/
residential-college-4,https://www.instagram.com/explore/locations/649609247/residential-college-4/
lee-kong-chian-natural-history-museum,https://www.instagram.com/explore/locations/741032735/lee-kong-chian-natural-history-museum/
waa-cow,https://www.instagram.com/explore/locations/1670219833083500/waa-cow/
stephen-riady-centre,https://www.instagram.com/explore/locations/100223156/stephen-riady-centre/
cinnamon-college,https://www.instagram.com/explore/locations/237775345/cinnamon-college/
nus-university-cultural-centre,https://www.instagram.com/explore/locations/214798324/nus-university-cultural-centre/
dover-court-international-school,https://www.instagram.com/explore/locations/382175015/dover-court-international-school/
sp-media-arts-design-school,https://www.instagram.com/explore/locations/254561575/sp-media-arts-design-school/
one-raffles-quay,https://www.instagram.com/explore/locations/307431353069023/one-raffles-quay/
nus-museum,https://www.instagram.com/explore/locations/214943717/nus-museum/
cebu-philipines,https://www.instagram.com/explore/locations/263594002/cebu-philipines/
uwcsea-dover,https://www.instagram.com/explore/locations/432766340890148/uwcsea-dover/
united-world-college-dover-campus,https://www.instagram.com/explore/locations/246816951/united-world-college-dover-campus/
nus-university-town,https://www.instagram.com/explore/locations/250389652/nus-university-town/
uwcsea-dover-campus,https://www.instagram.com/explore/locations/235463290/uwcsea-dover-campus/
hwangskorean-restaurant,https://www.instagram.com/explore/locations/244238981/hwangskorean-restaurant/
the-royals-bistro-nus,https://www.instagram.com/explore/locations/1004261984/the-royals-bistro-nus/
town-green-nus-u-town,https://www.instagram.com/explore/locations/222551070/town-green-nus-u-town/
nus-museum,https://www.instagram.com/explore/locations/113315592192629/nus-museum/
tembusu-college,https://www.instagram.com/explore/locations/234876776/tembusu-college/
nus-utown,https://www.instagram.com/explore/locations/213383669207333/nus-utown/
spgg,https://www.instagram.com/explore/locations/551450588677759/spgg/
indonesia-bali,https://www.instagram.com/explore/locations/246478558/indonesia-bali/
digipen-institute-of-technology-singapore,https://www.instagram.com/explore/locations/711016067/digipen-institute-of-technology-singapore/
butter-my-buns,https://www.instagram.com/explore/locations/1024401092/butter-my-buns/
fine-food-at-utown,https://www.instagram.com/explore/locations/1582969245085002/fine-food-at-utown/
starbucks-nus-university-town,https://www.instagram.com/explore/locations/216467395/starbucks-nus-university-town/
uwc-dover-campus,https://www.instagram.com/explore/locations/218475260/uwc-dover-campus/
nus-ucc,https://www.instagram.com/explore/locations/4780155/nus-ucc/
singapore-polytechnic-graduatesguild,https://www.instagram.com/explore/locations/1080446/singapore-polytechnic-graduatesguild/
hwangs-utown,https://www.instagram.com/explore/locations/6251573/hwangs-utown/
national-university-of-singapore-university-cultural-centre,https://www.instagram.com/explore/locations/215736179/national-university-of-singapore-university-cultural-centre/
utown-greens,https://www.instagram.com/explore/locations/360455382/utown-greens/
nus-create-tower,https://www.instagram.com/explore/locations/278347895/nus-create-tower/
yong-siew-toh-conservatory-of-music,https://www.instagram.com/explore/locations/65580/yong-siew-toh-conservatory-of-music/
sapore-italian-restaurant,https://www.instagram.com/explore/locations/1033796209/sapore-italian-restaurant/
education-resource-centre-university-town-nus,https://www.instagram.com/explore/locations/237247233/education-resource-centre-university-town-nus/
singapore-polytechnic-graduates-guild,https://www.instagram.com/explore/locations/344281318968171/singapore-polytechnic-graduates-guild/
nus-school-of-engineering,https://www.instagram.com/explore/locations/328600824/nus-school-of-engineering/
singapore-polytechnic-stadium,https://www.instagram.com/explore/locations/32215789/singapore-polytechnic-stadium/
nus-college,https://www.instagram.com/explore/locations/104442898732258/nus-college/
berlin-wall-fragments,https://www.instagram.com/explore/locations/1911114205825226/berlin-wall-fragments/
nus-university-scholars-programme,https://www.instagram.com/explore/locations/252036258/nus-university-scholars-programme/
titans-rugby-football-club-singapore,https://www.instagram.com/explore/locations/134103314107417/titans-rugby-football-club-singapore/
technical-university-of-munich-asia-tum-asia,https://www.instagram.com/explore/locations/342271737/technical-university-of-munich-asia-tum-asia/
singapore-polytechnic-sports-complex,https://www.instagram.com/explore/locations/5589664/singapore-polytechnic-sports-complex/
united-world-college-of-south-east-asia-uwcseasingapore,https://www.instagram.com/explore/locations/248143010/united-world-college-of-south-east-asia-uwcseasingapore/
medway-park-singapore,https://www.instagram.com/explore/locations/670276785/medway-park-singapore/
singapore-polytechnic-the-hall,https://www.instagram.com/explore/locations/77022054/singapore-polytechnic-the-hall/
singapore-polytechnic-starbucks,https://www.instagram.com/explore/locations/110934165/singapore-polytechnic-starbucks/
singapore-polytechnic-swimming-pool,https://www.instagram.com/explore/locations/28452041/singapore-polytechnic-swimming-pool/
university-cultural-centre-hall-nus,https://www.instagram.com/explore/locations/246303602/university-cultural-centre-hall-nus/
flavours-at-utown,https://www.instagram.com/explore/locations/366750452/flavours-at-utown/
create-tower,https://www.instagram.com/explore/locations/294226254846783/create-tower/
udon-don-bar,https://www.instagram.com/explore/locations/645188656129115/udon-don-bar/
sapore-italiano,https://www.instagram.com/explore/locations/10240548/sapore-italiano/
nus-utown,https://www.instagram.com/explore/locations/1992531391019944/nus-utown/
skosk-beautique,https://www.instagram.com/explore/locations/1021678940/skosk-beautique/
university-town-cinnamon-college,https://www.instagram.com/explore/locations/764578592/university-town-cinnamon-college/
udon-don-bar,https://www.instagram.com/explore/locations/659549147992255/udon-don-bar/
nus-utown,https://www.instagram.com/explore/locations/1587718147918203/nus-utown/
natural-history-museum,https://www.instagram.com/explore/locations/562770801/natural-history-museum/
